"","names","cat","area"
"1","plastic15","plastic1",0.00724024
"2","plastic15","plastic1",0.0001493
"3","plastic15","plastic1",0.003
"4","plastic15","plastic1",0.0055772
"5","plastic15","plastic1",0.0006982
"6","plastic15","plastic1",0.0055989
"7","plastic15","plastic1",0.0069607425
"8","plastic15","plastic1",0.0004852
"9","plastic15","plastic1",0.003
"10","plastic15","plastic1",0.0005393
"11","plastic15","plastic1",0.0036074
"12","plastic15","plastic1",0.0060841
"13","plastic15","plastic1",0.0031869
"14","plastic15","plastic1",0.00297694
"15","plastic15","plastic1",0.001462591
"16","plastic15","plastic1",0.001
"17","plastic15","plastic1",7.945e-05
"18","plastic15","plastic1",0.000461
"19","plastic15","plastic1",0.0005709
"20","plastic15","plastic1",0.016
"21","plastic15","plastic1",0.0597715
"22","plastic15","plastic1",0.003605
"23","plastic15","plastic1",0.0003662
"24","plastic15","plastic1",0.068911188
"25","plastic15","plastic1",0.02493461
"26","plastic15","plastic1",0.00572393
"27","plastic15","plastic1",0.0024535
"28","plastic15","plastic1",0.0082606
"29","plastic15","plastic1",0.0039578
"30","plastic15","plastic1",0.00347542
"31","plastic15","plastic1",0.0085409
"32","plastic15","plastic1",0.0074494
"33","plastic15","plastic1",0.0001558
"34","plastic15","plastic1",0.0118571
"35","plastic15","plastic1",0.00050382
"36","plastic15","plastic1",7.833e-05
"37","plastic15","plastic1",0.0009775
"38","plastic15","plastic1",0.002247293
"39","plastic15","plastic1",0.003
"40","plastic15","plastic1",0.00064829
"41","plastic15","plastic1",0.0016031
