"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.001,0.853,0.046,2400,1437,81.539,0.036,1.289,0.776,0.983
"11","Fragments",0.001,0.581,0.055,1105,2817,54.913,0.032,1.847,0.541,0.949
"2","Particles",0.0007865,0.884,0.035,3788,533,170.838,0.029,1.224,0.817,0.979
"3","Particles",5.625e-07,0.857,0.001,1204,2744,56.31,0.00075,2,0.5,0.8
"4","Particles",9.844e-07,0.647,0.002,1198,2756,68.199,0.00075,2.731,0.366,0.824
"12","Particles",0.0001254,0.678,0.018,3531,2078,66.644,0.01,2.058,0.486,0.902
"21","Particles",2.531e-05,0.961,0.006,3424,2114,162.646,0.006,1.093,0.915,0.933
"13","Particles",0.0001806,0.716,0.019,1679,1704,113.499,0.013,1.429,0.7,0.937
"14","Particles",0.0002749,0.881,0.022,2723,884,120.466,0.016,1.368,0.731,0.968
"15","Particles",0.00074,0.904,0.032,3169,1450,164.511,0.029,1.093,0.915,0.979
"16","Fragments",0.002,0.474,0.078,2656,3441,64.916,0.034,2.429,0.412,0.938
"17","Particles",0.0003075,0.909,0.022,3434,1721,156.541,0.019,1.154,0.867,0.972
"18","Particles",0.0006567,0.888,0.033,1274,1646,130.389,0.025,1.304,0.767,0.979
"19","Particles",0.0001557,0.643,0.017,2521,2731,143.881,0.013,1.354,0.739,0.918
"110","Particles",0.0001749,0.915,0.016,3101,1026,118.393,0.015,1.061,0.942,0.964
"111","Particles",0.0006105,0.896,0.03,3074,2415,151.157,0.027,1.07,0.934,0.978
"112","Particles",1.744e-05,0.917,0.005,3719,2981,105.945,0.004,1.295,0.772,0.929
"113","Particles",0.0004638,0.898,0.026,2946,3085,70.017,0.024,1.114,0.897,0.974
"114","Particles",0.001,0.913,0.044,2877,2877,15.213,0.043,1.017,0.983,0.986
"115","Particles",0.000267,0.861,0.023,2516,2086,18.138,0.016,1.496,0.668,0.968
"116","Particles",0.0003441,0.896,0.023,2831,2997,76.866,0.02,1.127,0.887,0.973
"117","Particles",0.0004074,0.759,0.026,2599,884,49.128,0.022,1.181,0.847,0.96
"22","Particles",5.625e-07,0.698,0.002,2638,881,45,0.0007955,2.654,0.377,0.667
"31","Particles",0.0001844,0.905,0.017,2009,2392,166.908,0.015,1.118,0.895,0.964
"41","Particles",0.0001831,0.78,0.021,362,3242,113.86,0.011,1.973,0.507,0.961
"118","Particles",9.703e-05,0.897,0.012,592,3175,167.661,0.01,1.19,0.84,0.952
"119","Particles",0.0002278,0.907,0.019,1749,2559,167.593,0.015,1.217,0.822,0.971
"120","Particles",7.608e-05,0.893,0.012,2780,2890,24.146,0.009,1.404,0.712,0.958
"121","Particles",0.000505,0.839,0.032,3442,699,59.5,0.02,1.586,0.631,0.977
"122","Particles",0.000179,0.712,0.018,1654,2887,172.725,0.014,1.252,0.799,0.927
"23","Particles",4.219e-07,0.643,0.001,1699,2882,123.69,0.0006708,2.702,0.37,0.667
"123","Fragments",0.082,0.302,0.356,1811,2338,152.706,0.32,1.12,0.893,0.927
"210","Fragments",0.0001342,0.414,0.018,2560,2314,34.992,0.011,1.811,0.552,0.851
"310","Fragments",1.828e-06,0.567,0.002,2484,2303,128.66,0.002,1.973,0.507,0.65
"410","Fragments",1.266e-06,0.565,0.003,1848,2749,135,0.000975,3.747,0.267,0.643
"5","Fragments",1.125e-06,0.567,0.002,2460,2949,128.66,0.0007955,3.665,0.273,0.727
"6","Particles",1.547e-06,1,0.002,2140,2147,116.565,0.002,1.139,0.878,0.815
"7","Particles",4.219e-07,0.754,0.001,1955,2199,33.69,0.0006708,2.702,0.37,0.667
"8","Particles",5.625e-07,0.857,0.001,2541,2286,146.31,0.00075,2,0.5,0.8
"9","Particles",2.812e-06,0.657,0.003,2568,2293,29.745,0.002,1.782,0.561,0.755
"10","Particles",4.219e-07,0.643,0.001,1835,2299,56.31,0.0006708,2.702,0.37,0.667
"1110","Particles",5.484e-05,0.61,0.01,2558,2306,164.932,0.008,1.141,0.876,0.9
"124","Particles",7.031e-07,1,0.001,2542,2303,33.69,0.00075,1.553,0.644,0.909
"131","Particles",1.125e-06,0.785,0.002,2483,2312,26.565,0.001,1.624,0.616,0.727
"141","Particles",2.109e-06,0.976,0.002,2627,2356,51.34,0.002,1.759,0.569,0.882
"151","Particles",7.453e-06,0.862,0.004,2632,2377,29.055,0.003,1.226,0.815,0.828
"161","Particles",2.25e-06,0.958,0.002,2626,2375,149.036,0.002,1.09,0.918,0.889
"171","Particles",1.406e-06,0.887,0.002,2621,2376,158.199,0.001,1.69,0.592,0.833
"181","Particles",1.547e-06,1,0.002,2617,2412,143.13,0.001,1.372,0.729,0.957
"191","Particles",7.003e-05,0.653,0.011,2629,2466,178.025,0.01,1.097,0.911,0.861
"20","Particles",1.828e-06,0.627,0.003,2632,2461,39.806,0.001,2.952,0.339,0.722
"211","Particles",7.031e-07,0.764,0.002,2627,2458,165.964,0.00075,2.188,0.457,0.769
"221","Particles",5.063e-06,0.65,0.004,2621,2459,123.69,0.002,2.184,0.458,0.783
"231","Particles",1.406e-06,0.982,0.002,2626,2470,116.565,0.001,1.241,0.806,0.8
"24","Particles",7.031e-07,0.873,0.001,2630,2478,33.69,0.001,1.496,0.668,0.714
"25","Particles",7.031e-07,0.873,0.001,2678,2531,123.69,0.001,1.496,0.668,0.714
"26","Particles",5.625e-07,1,0.001,2638,2586,135,0.00075,1,1,1
"27","Particles",8.438e-07,1,0.002,2625,2604,45,0.001,1.809,0.553,0.8
"28","Particles",1.125e-06,0.74,0.002,2680,2601,101.31,0.00075,2.232,0.448,0.889
"29","Particles",2.391e-06,0.649,0.003,2654,2602,113.199,0.002,1.874,0.534,0.723
"30","Particles",1.828e-06,0.779,0.002,2677,2608,120.964,0.002,1.383,0.723,0.812
"311","Particles",7.031e-07,1,0.001,2635,2625,123.69,0.00075,1.553,0.644,0.909
"32","Particles",5.625e-07,0.857,0.001,2641,2669,123.69,0.00075,2.031,0.492,0.8
"33","Particles",1.688e-06,0.781,0.002,2646,2680,135,0.002,1.359,0.736,0.828
"34","Particles",7.031e-07,1,0.001,2648,2687,123.69,0.00075,1.553,0.644,0.909
"35","Particles",4.219e-07,0.643,0.001,1846,2742,123.69,0.0006708,2.702,0.37,0.667
"36","Particles",5.625e-07,1,0.001,2608,2805,135,0.00075,1,1,1
"37","Particles",5.625e-07,1,0.001,1927,2815,135,0.00075,1,1,1
"38","Particles",0.0001041,0.701,0.017,1903,2847,108.435,0.009,1.911,0.523,0.93
"39","Particles",3.797e-06,0.772,0.003,1970,2874,116.565,0.002,1.96,0.51,0.818
"40","Particles",6.328e-06,0.663,0.004,1972,2903,59.036,0.003,1.887,0.53,0.841
"411","Particles",4.641e-06,0.711,0.003,1972,2915,77.471,0.002,1.306,0.766,0.805
"42","Particles",5.484e-06,0.608,0.004,1977,2923,127.875,0.003,1.517,0.659,0.757
"43","Particles",2.25e-06,0.74,0.003,1979,2937,105.945,0.001,2.705,0.37,0.865
"44","Particles",5.625e-07,1,0.001,1983,2939,135,0.00075,1,1,1
"45","Particles",8.438e-07,1,0.001,2448,2942,146.31,0.001,1.124,0.89,0.8
"46","Particles",4.219e-07,1,0.001,2387,2961,45,0.00075,1.464,0.683,0.857
"47","Particles",3.516e-06,0.661,0.004,2319,2977,57.995,0.002,2.37,0.422,0.704
"48","Particles",1.406e-06,0.65,0.002,2310,2975,59.036,0.001,2.076,0.482,0.8
"49","Particles",1.266e-06,1,0.002,2314,2982,126.87,0.001,1.817,0.55,0.857
"50","Particles",4.219e-07,0.967,0.001,2148,2985,161.565,0.000375,3,0.333,1
"51","Particles",1.266e-06,0.799,0.002,2314,2991,53.13,0.001,1.417,0.706,0.75
"52","Particles",2.391e-06,1,0.002,2170,2990,149.036,0.002,1.336,0.749,0.919
