"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",4.88e-05,0.785,0.011,2694,603,16.504,0.006,1.843,0.542,0.937
"2","Particles",0.000281,0.842,0.021,1885,895,157.068,0.018,1.138,0.878,0.96
"3","Particles",1.406e-06,0.887,0.002,1886,890,36.87,0.001,1.587,0.63,0.8
"4","Particles",0.002,0.894,0.055,3366,2443,30.426,0.046,1.159,0.863,0.987
"5","Particles",0.001,0.719,0.06,2870,3247,122.196,0.032,1.955,0.512,0.967
"11","Particles",0.002,0.868,0.058,3054,2226,110.556,0.052,1.098,0.911,0.984
"12","Particles",0.001,0.834,0.047,2917,2742,169.939,0.039,1.204,0.83,0.977
"21","Particles",8.719e-05,0.909,0.013,3714,2986,38.928,0.009,1.394,0.717,0.957
"31","Particles",0.000583,0.799,0.032,1874,3999,31.079,0.024,1.239,0.807,0.979
"13","Particles",0.0003607,0.906,0.023,2880,1667,150.945,0.021,1.119,0.894,0.973
"14","Particles",0.003,0.775,0.082,1967,2554,78.896,0.052,1.552,0.644,0.973
"15","Particles",0.001,0.866,0.048,2288,1915,88.21,0.036,1.328,0.753,0.982
"16","Particles",0.0001259,0.857,0.016,2363,2744,9.689,0.011,1.496,0.668,0.957
"17","Particles",0.0007134,0.789,0.04,2745,2847,129.251,0.023,1.738,0.575,0.972
"18","Particles",0.0002396,0.783,0.021,3781,1216,57.144,0.015,1.473,0.679,0.951
"22","Particles",0.000933,0.724,0.05,1956,1902,58.085,0.024,2.116,0.473,0.973
"32","Particles",0.007,0.813,0.11,3024,2544,79.573,0.086,1.248,0.801,0.987
"19","Particles",0.000621,0.867,0.034,2279,2042,69.963,0.024,1.415,0.707,0.978
"23","Particles",1.575e-05,0.718,0.005,3616,2124,111.038,0.005,1.216,0.823,0.865
"110","Particles",0.0004546,0.904,0.026,2350,2320,141.34,0.022,1.181,0.846,0.976
"24","Particles",6.848e-05,0.774,0.011,1463,2886,144.689,0.009,1.252,0.799,0.921
"111","Particles",0.0002998,0.877,0.023,3298,1975,37.794,0.017,1.376,0.727,0.972
"25","Particles",9.675e-05,0.678,0.016,2575,2508,171.87,0.007,2.117,0.472,0.942
"33","Particles",0.001,0.766,0.05,2058,3380,25.408,0.037,1.321,0.757,0.977
"112","Particles",0.0003164,0.854,0.025,400,774,102.155,0.017,1.509,0.663,0.971
"113","Fragments",0.0001457,0.426,0.03,2006,3999,179.284,0.006,4.297,0.233,0.966
"114","Particles",0.001,0.833,0.047,1912,3317,108.579,0.029,1.633,0.612,0.982
"115","Fragments",6.638e-05,0.412,0.011,2338,2894,156.038,0.01,1.203,0.831,0.818
"26","Particles",5.625e-07,1,0.001,2340,2912,161.565,0.00075,1.468,0.681,0.8
"34","Particles",2.798e-05,0.989,0.006,332,3690,35.538,0.006,1.049,0.954,0.952
"116","Particles",0.002,0.629,0.068,2335,1076,97.951,0.054,1.185,0.844,0.936
"27","Particles",4.219e-07,0.643,0.001,3028,1285,56.31,0.0006708,2.702,0.37,0.667
"35","Particles",9.928e-05,0.887,0.012,3061,1467,165.53,0.011,1.029,0.972,0.936
"41","Particles",0.003,0.902,0.064,3444,3080,81.87,0.058,1.034,0.967,0.987
"117","Particles",2.63e-05,0.917,0.007,2899,1904,141.843,0.006,1.05,0.952,0.94
"28","Particles",0.001,0.838,0.051,2393,3007,98.907,0.036,1.441,0.694,0.981
"118","Fragments",0.0003369,0.569,0.023,3481,2028,78.503,0.02,1.074,0.931,0.915
"29","Particles",0.002,0.839,0.056,2939,1881,110.244,0.041,1.335,0.749,0.98
"36","Particles",7.031e-07,0.873,0.002,3460,2016,135,0.0007955,2.308,0.433,0.769
"119","Fragments",0.0002495,0.458,0.02,3101,2062,71.565,0.018,1.136,0.881,0.899
"210","Particles",0.0001699,0.877,0.016,3365,1436,113.552,0.014,1.103,0.907,0.955
"37","Particles",0.0004809,0.838,0.029,3360,1986,66.705,0.022,1.361,0.735,0.972
"42","Particles",0.001,0.662,0.05,2613,2497,7.765,0.039,1.287,0.777,0.939
"51","Particles",0.0007166,0.776,0.037,2613,2499,122.56,0.024,1.487,0.673,0.971
"120","Particles",0.0004643,0.911,0.025,2993,3080,99.324,0.024,1.052,0.951,0.976
"121","Particles",0.0008774,0.778,0.045,2453,791,92.839,0.025,1.878,0.533,0.977
"122","Particles",0.001,0.887,0.042,2899,2643,160.105,0.037,1.133,0.883,0.98
"123","Fragments",0.02,0.466,0.184,2832,1716,129.043,0.145,1.232,0.812,0.961
"211","Fragments",5.625e-07,0.539,0.002,2780,2008,116.565,0.0006708,3.493,0.286,0.667
"38","Fragments",6.469e-05,0.336,0.012,2782,2040,100.62,0.008,1.528,0.655,0.805
"43","Fragments",6.188e-06,0.351,0.007,2861,2083,146.31,0.002,4.113,0.243,0.652
"52","Fragments",5.077e-05,0.554,0.01,1558,3739,22.62,0.008,1.287,0.777,0.845
"6","Particles",5.625e-07,0.857,0.001,3176,1938,56.31,0.00075,2.031,0.492,0.8
"7","Particles",4.219e-07,0.809,0.001,2785,1955,108.435,0.000375,3,0.333,1
"8","Particles",8.438e-07,1,0.001,3162,2055,123.69,0.00075,1.5,0.667,1
"9","Particles",5.625e-07,0.645,0.002,2775,2061,104.036,0.000375,4,0.25,1
"10","Particles",2.109e-06,0.629,0.002,2855,2074,161.565,0.002,1.337,0.748,0.667
"1110","Particles",1.547e-06,0.637,0.003,2874,2087,146.31,0.001,3.117,0.321,0.71
"124","Particles",4.219e-07,0.967,0.001,3133,2101,161.565,0.000375,3,0.333,1
"131","Particles",7.031e-07,0.873,0.001,3127,2105,108.435,0.001,1,1,0.714
"141","Particles",5.063e-06,0.815,0.003,2939,2113,144.462,0.003,1.023,0.977,0.837
"151","Particles",1.266e-06,1,0.002,2935,2118,36.87,0.001,1.542,0.648,0.857
"161","Particles",4.219e-07,1,0.001,2945,2121,135,0.00075,1.464,0.683,0.857
"171","Particles",5.625e-07,1,0.001,3043,2144,161.565,0.00075,1.468,0.681,0.8
"181","Particles",1.125e-06,0.914,0.002,2977,2146,153.435,0.001,1.554,0.644,0.8
"191","Particles",2.391e-06,0.911,0.002,2990,2150,149.036,0.002,1.2,0.833,0.829
"20","Particles",2.109e-06,0.674,0.003,3015,2159,171.87,0.002,1.746,0.573,0.732
"212","Particles",0.001,0.654,0.045,3583,2853,15.88,0.031,1.479,0.676,0.964
"221","Particles",0.000209,0.875,0.02,1530,3556,172.333,0.013,1.428,0.7,0.968
"125","Particles",0.0004725,0.813,0.032,2819,1940,155.225,0.021,1.542,0.649,0.969
"213","Particles",1.688e-05,1,0.005,788,3126,116.565,0.005,1,1,0.952
"126","Particles",0.0008785,0.86,0.039,2883,2203,68.405,0.03,1.278,0.782,0.975
"214","Particles",0.0001555,0.906,0.015,1427,3238,159.274,0.014,1.04,0.961,0.957
"39","Particles",0.0002582,0.901,0.02,1441,3756,19.799,0.017,1.151,0.869,0.967
"44","Particles",0.00028,0.842,0.02,1469,3923,69.193,0.019,1.038,0.964,0.961
"127","Particles",0.000687,0.828,0.034,2067,1248,96.34,0.027,1.259,0.794,0.974
"215","Particles",0.0002677,0.809,0.023,1399,3406,78.69,0.015,1.52,0.658,0.959
"128","Particles",0.0005373,0.911,0.028,2078,2540,11.459,0.025,1.122,0.891,0.978
"129","Fibers",6.863e-05,0.189,0.017,3207,2247,110.41,0.009,1.872,0.534,0.646
"216","Fibers",0.002,0.239,0.079,3082,2388,20.076,0.033,2.254,0.444,0.853
"310","Fibers",0.002,0.214,0.096,2585,2426,177.549,0.03,3.684,0.271,0.756
"45","Fibers",0.0003078,0.174,0.052,2847,2432,9.462,0.01,7.236,0.138,0.669
"53","Fibers",0.001,0.289,0.081,2641,2564,174.395,0.024,3.888,0.257,0.86
"61","Fragments",4.641e-06,0.596,0.004,2862,2417,21.801,0.002,2.445,0.409,0.786
"71","Fragments",8.438e-07,0.589,0.002,2841,2440,45,0.001,2.963,0.338,0.6
"81","Fragments",9.844e-07,0.472,0.002,2854,2577,71.565,0.00075,3.982,0.251,0.737
"91","Particles",3.094e-06,0.665,0.003,3213,2274,23.199,0.002,1.44,0.694,0.746
"101","Particles",3.656e-06,0.666,0.003,3132,2305,26.565,0.002,1.776,0.563,0.812
"1111","Particles",2.391e-06,0.763,0.003,3120,2341,26.565,0.002,1.675,0.597,0.791
"1210","Particles",7.031e-07,1,0.001,2707,2387,146.31,0.00075,1.553,0.644,0.909
"132","Particles",4.219e-07,1,0.001,2954,2406,45,0.00075,1.464,0.683,0.857
"142","Particles",0.0002573,0.657,0.023,2629,2451,37.794,0.017,1.292,0.774,0.932
"152","Particles",5.625e-06,0.722,0.004,2855,2425,56.31,0.003,1.545,0.647,0.825
"162","Particles",4.219e-07,1,0.001,2847,2435,135,0.00075,1.464,0.683,0.857
"172","Particles",1.688e-06,0.664,0.003,2820,2549,171.87,0.00075,3.156,0.317,0.923
"182","Particles",9.844e-07,1,0.002,2851,2565,153.435,0.00075,1.936,0.517,0.933
"192","Particles",9.141e-06,0.681,0.005,2803,2580,32.471,0.003,1.558,0.642,0.833
"201","Particles",5.766e-06,0.639,0.005,2850,2589,65.556,0.002,1.968,0.508,0.804
"217","Particles",7.031e-07,1,0.001,2721,2599,33.69,0.00075,1.553,0.644,0.909
"130","Particles",0.0006726,0.895,0.032,3443,1705,147.061,0.028,1.152,0.868,0.978
"133","Particles",0.0002129,0.787,0.022,3738,972,60.376,0.013,1.701,0.588,0.948
"218","Particles",0.0003765,0.872,0.026,3749,1467,58.173,0.019,1.312,0.762,0.974
"311","Particles",2.095e-05,0.965,0.006,2808,2599,148.392,0.005,1.057,0.946,0.937
"46","Particles",0.0001091,0.842,0.013,1273,3484,9.728,0.011,1.205,0.83,0.942
"134","Particles",0.0005927,0.891,0.03,1813,1733,41.934,0.026,1.148,0.871,0.977
"219","Particles",7.144e-05,0.64,0.012,3699,2215,56.31,0.009,1.374,0.728,0.908
"312","Particles",0.0004539,0.895,0.026,1773,2817,164.168,0.023,1.145,0.873,0.975
"47","Particles",2.531e-06,0.755,0.003,1166,3158,156.801,0.001,2.536,0.394,0.878
"135","Particles",0.0003153,0.821,0.022,3210,1096,34.509,0.019,1.127,0.887,0.957
"220","Particles",0.00028,0.738,0.024,3252,1281,81.119,0.016,1.519,0.658,0.954
"313","Particles",0.0001742,0.808,0.017,3269,2399,38.853,0.014,1.29,0.775,0.946
"48","Particles",0.001,0.817,0.045,2751,2853,98.601,0.036,1.234,0.81,0.973
"136","Particles",0.0001725,0.869,0.017,2000,1423,52.125,0.014,1.263,0.792,0.957
"222","Particles",0.0003985,0.913,0.024,2361,2061,37.954,0.022,1.081,0.925,0.976
"314","Particles",0.0001897,0.748,0.02,1257,3227,20.171,0.013,1.561,0.64,0.947
"137","Fibers",0.006,0.276,0.162,2857,1660,48.576,0.08,2.341,0.427,0.692
"223","Fragments",0.003,0.459,0.102,2712,1504,69.567,0.054,2.245,0.445,0.809
"315","Particles",0.003,0.644,0.075,2716,1427,61.641,0.051,1.467,0.682,0.932
"49","Particles",0.0006552,0.8,0.033,2706,1501,56.129,0.028,1.158,0.864,0.958
"54","Particles",0.0005503,0.743,0.031,2853,1600,126.027,0.025,1.221,0.819,0.944
"62","Particles",1.969e-06,0.911,0.002,2928,1597,161.565,0.001,1.723,0.58,0.875
"72","Particles",0.001,0.855,0.047,2073,2028,173.61,0.038,1.221,0.819,0.976
"82","Particles",0.0007221,0.717,0.042,3285,2305,20.072,0.024,1.8,0.556,0.945
"92","Particles",0.000217,0.892,0.019,1781,2584,6.981,0.016,1.183,0.845,0.961
"102","Particles",0.0009172,0.859,0.036,2600,2685,76.109,0.033,1.064,0.94,0.977
"1112","Particles",0.000507,0.831,0.03,1779,2766,15.945,0.022,1.365,0.733,0.969
"1211","Particles",0.0003295,0.868,0.024,1790,2905,18.153,0.018,1.358,0.736,0.971
"138","Particles",5.822e-05,0.779,0.01,1806,3062,6.582,0.008,1.151,0.869,0.918
"143","Particles",6.413e-05,0.822,0.01,1796,3540,14.534,0.008,1.239,0.807,0.926
"153","Particles",0.0001508,0.807,0.017,1831,3736,58.392,0.012,1.446,0.692,0.944
"139","Particles",0.002,0.897,0.051,4466,1045,168.198,0.041,1.253,0.798,0.987
"224","Particles",0.0001389,0.601,0.016,3201,1149,164.624,0.012,1.264,0.791,0.915
"316","Particles",5.344e-05,0.876,0.009,4437,1899,158.629,0.008,1.142,0.876,0.936
"410","Particles",0.003,0.837,0.071,3848,2403,76.329,0.05,1.419,0.705,0.986
"55","Particles",0.0003462,0.755,0.025,3225,2633,17.354,0.019,1.36,0.736,0.954
"63","Particles",0.0003839,0.774,0.03,2840,2968,9.926,0.015,1.97,0.508,0.975
"73","Particles",0.002,0.752,0.073,2815,3195,37.282,0.04,1.85,0.541,0.982
"140","Fibers",0.0001416,0.125,0.02,2742,2240,125.789,0.014,1.482,0.675,0.668
"225","Fragments",3.094e-06,0.552,0.003,2473,2240,35.538,0.002,1.541,0.649,0.667
"317","Fragments",7.031e-07,0.462,0.002,2736,2249,68.199,0.0007276,3.678,0.272,0.667
"411","Fragments",9.844e-07,0.496,0.002,2777,2280,59.036,0.001,2.849,0.351,0.636
"56","Fragments",0.003,0.348,0.076,2659,2391,167.196,0.062,1.257,0.796,0.918
"64","Particles",0.0001606,0.713,0.021,1742,1580,12.529,0.01,2.096,0.477,0.944
"74","Particles",0.0005452,0.626,0.029,3037,1662,10.574,0.026,1.066,0.938,0.945
"83","Particles",4.219e-07,1,0.001,3052,1626,135,0.00075,1.464,0.683,0.857
"93","Particles",0.0001973,0.843,0.017,2190,2067,41.424,0.015,1.093,0.915,0.953
"103","Particles",5.625e-07,1,0.001,2768,2246,33.69,0.00075,2.031,0.492,0.8
"1113","Particles",2.109e-06,0.976,0.002,2751,2245,120.964,0.002,1.474,0.678,0.882
"1212","Particles",6.188e-06,0.76,0.004,2758,2247,100.305,0.002,1.961,0.51,0.838
"1310","Particles",2.391e-06,0.845,0.003,2751,2272,63.435,0.002,1.763,0.567,0.85
"144","Particles",2.531e-06,0.868,0.002,2755,2271,108.435,0.002,1.37,0.73,0.8
"154","Particles",3.797e-06,0.643,0.004,2786,2322,60.945,0.002,2.677,0.374,0.783
"163","Particles",3.516e-06,0.896,0.003,2808,2323,129.806,0.002,1.62,0.617,0.862
"173","Particles",7.031e-07,0.764,0.002,2781,2325,26.565,0.00075,2.61,0.383,0.769
"183","Particles",5.625e-07,1,0.001,2756,2324,161.565,0.00075,1.468,0.681,0.8
"193","Particles",1.547e-06,0.887,0.002,2783,2329,21.801,0.001,1.772,0.564,0.846
"202","Particles",3.234e-06,0.878,0.003,2811,2332,123.69,0.002,1.357,0.737,0.807
"2110","Particles",2.953e-06,0.88,0.003,2813,2339,116.565,0.002,1.308,0.764,0.824
"226","Particles",2.109e-06,0.976,0.002,2817,2342,135,0.002,1.161,0.862,0.857
"231","Particles",1.406e-06,0.982,0.002,2721,2347,116.565,0.001,1.241,0.806,0.8
"241","Particles",1.547e-06,0.637,0.003,2830,2348,153.435,0.001,2.206,0.453,0.71
"251","Particles",1.125e-06,1,0.002,2833,2353,153.435,0.001,1.605,0.623,0.8
"261","Particles",2.672e-06,0.879,0.003,2853,2388,123.69,0.002,1.916,0.522,0.884
"271","Particles",5.625e-07,0.857,0.001,2858,2403,108.435,0.00075,1.468,0.681,0.8
"281","Particles",1.688e-05,0.689,0.006,2441,2408,169.992,0.004,1.612,0.62,0.851
"291","Particles",9.844e-07,0.943,0.002,2857,2410,116.565,0.00075,1.936,0.517,0.933
"30","Particles",1.252e-05,0.834,0.006,1637,2539,153.435,0.003,1.989,0.503,0.904
"318","Particles",0.0002128,0.65,0.023,1774,2831,21.631,0.012,1.973,0.507,0.917
"321","Particles",0.000443,0.748,0.03,1794,3149,167.856,0.02,1.552,0.645,0.964
"331","Particles",0.00071,0.76,0.035,1813,3347,16.113,0.026,1.345,0.743,0.964
"341","Particles",0.000659,0.782,0.037,1813,3467,177.663,0.024,1.538,0.65,0.963
"145","Particles",7.369e-05,0.937,0.01,2766,1980,52.306,0.009,1.076,0.929,0.958
"146","Fragments",0.003,0.398,0.106,1884,1011,142.927,0.052,2.054,0.487,0.845
"227","Particles",3.052e-05,0.822,0.007,1863,991,124.509,0.006,1.148,0.871,0.91
"319","Particles",4.219e-07,1,0.001,1903,1047,45,0.00075,1.464,0.683,0.857
"412","Particles",0.003,0.658,0.075,1926,1122,170.491,0.052,1.479,0.676,0.966
"147","Particles",0.001,0.76,0.058,3967,622,6.34,0.032,1.852,0.54,0.979
"228","Particles",0.0002213,0.783,0.022,1373,1081,21.801,0.014,1.728,0.579,0.952
"320","Particles",0.0001779,0.87,0.017,3281,1379,52.125,0.014,1.211,0.826,0.954
"413","Particles",0.0001149,0.924,0.013,1804,2484,150.461,0.012,1.091,0.917,0.961
"57","Particles",0.000687,0.859,0.036,1409,3228,121.171,0.025,1.418,0.705,0.978
"65","Particles",0.0001607,0.691,0.017,1658,3489,149.036,0.013,1.411,0.709,0.921
"148","Particles",0.0002576,0.858,0.02,3338,1617,52.696,0.017,1.147,0.872,0.957
"229","Particles",0.0002679,0.814,0.023,3347,1791,65.943,0.016,1.475,0.678,0.96
"322","Particles",0.0003974,0.821,0.026,3360,1939,75.964,0.02,1.321,0.757,0.965
"414","Particles",5.006e-05,0.939,0.009,1895,3544,149.036,0.007,1.115,0.897,0.948
"149","Particles",5.822e-05,0.904,0.01,3975,1430,19.799,0.008,1.179,0.848,0.943
"230","Particles",0.000219,0.812,0.02,3145,1976,162.255,0.014,1.398,0.715,0.954
"323","Particles",0.0001132,0.901,0.014,4016,2061,53.746,0.011,1.278,0.782,0.954
"150","Fibers",0.001,0.298,0.082,1962,2663,153.669,0.029,3.906,0.256,0.697
"232","Fragments",6.427e-05,0.586,0.011,1488,2237,57.995,0.009,1.221,0.819,0.87
"324","Particles",9.408e-05,0.612,0.014,1478,2386,32.005,0.009,1.609,0.622,0.905
"415","Particles",0.0002042,0.834,0.02,1510,2557,54.211,0.014,1.479,0.676,0.959
"58","Particles",0.0003634,0.601,0.029,1967,2656,140.29,0.018,1.544,0.648,0.929
"66","Particles",1.828e-06,0.697,0.002,2027,2681,141.34,0.002,1.717,0.582,0.743
"75","Particles",1.266e-06,1,0.002,2016,2701,135,0.001,1,1,1
"84","Particles",0.0005335,0.713,0.031,2083,2727,156.251,0.025,1.224,0.817,0.936
"94","Particles",0.0001756,0.899,0.017,1555,3818,6.483,0.014,1.171,0.854,0.962
"155","Particles",0.0003698,0.758,0.028,2255,1065,101.768,0.017,1.621,0.617,0.962
"156","Particles",0.0002454,0.719,0.023,2703,1610,15.819,0.014,1.672,0.598,0.949
"233","Particles",0.001,0.899,0.039,2078,1892,107.387,0.035,1.11,0.901,0.983
"325","Particles",0.000198,0.725,0.021,1239,3934,150.751,0.012,1.838,0.544,0.935
"157","Fragments",0.0004442,0.497,0.039,3692,1886,75.964,0.016,2.531,0.395,0.918
"234","Particles",4.219e-07,1,0.001,3678,1839,135,0.00075,1.464,0.683,0.857
"326","Particles",0.002,0.827,0.063,2163,2409,60.382,0.048,1.324,0.755,0.981
"158","Fragments",0.0008606,0.558,0.055,2119,2412,140.793,0.02,2.953,0.339,0.94
"235","Particles",0.0002718,0.889,0.021,3458,252,56.592,0.017,1.228,0.814,0.969
"327","Particles",0.0002753,0.87,0.022,3477,575,62.103,0.017,1.26,0.793,0.965
"416","Particles",0.0001803,0.846,0.019,3326,1718,54.728,0.013,1.521,0.657,0.95
"59","Particles",0.0002374,0.79,0.023,3551,1848,60.018,0.014,1.613,0.62,0.952
"67","Particles",7.931e-05,0.605,0.014,3584,1986,72.553,0.008,1.86,0.538,0.916
"76","Particles",0.002,0.81,0.067,1789,2262,5.774,0.042,1.627,0.615,0.984
"85","Particles",0.001,0.751,0.047,2443,2424,82.131,0.028,1.625,0.615,0.972
"95","Particles",0.0001014,0.834,0.013,3584,2338,66.371,0.011,1.21,0.826,0.939
"104","Particles",0.0005548,0.762,0.038,2124,2570,118.072,0.02,2.023,0.494,0.969
"1114","Particles",0.0001475,0.772,0.018,3606,2654,67.109,0.011,1.709,0.585,0.947
"159","Fibers",0.0004649,0.201,0.042,2618,2707,72.708,0.017,2.732,0.366,0.846
"236","Fragments",0.0004091,0.462,0.025,3264,1628,85.732,0.022,1.127,0.887,0.931
"328","Fragments",3.361e-05,0.305,0.009,2335,3103,102.265,0.007,1.274,0.785,0.713
"417","Fragments",5.583e-05,0.431,0.01,1993,3350,51.009,0.009,1.036,0.965,0.805
"510","Particles",0.0001679,0.83,0.019,3498,1277,73.74,0.012,1.566,0.638,0.959
"68","Particles",0.001,0.856,0.042,2208,1791,23.6,0.034,1.251,0.799,0.979
"77","Particles",9.605e-05,0.741,0.014,3516,2088,66.194,0.01,1.47,0.68,0.931
"86","Particles",4.219e-06,0.714,0.004,2627,2621,71.565,0.002,2.154,0.464,0.833
"96","Particles",5.625e-07,0.857,0.001,2621,2622,56.31,0.00075,2.031,0.492,0.8
"105","Particles",0.0001266,0.854,0.015,1011,3807,148.299,0.011,1.347,0.743,0.95
"160","Particles",0.0009359,0.828,0.042,2231,1201,144.162,0.03,1.372,0.729,0.977
"237","Particles",0.0007941,0.777,0.039,3119,2286,52.465,0.028,1.426,0.701,0.969
"164","Particles",0.0002849,0.905,0.02,2790,2460,20.807,0.019,1.064,0.94,0.97
