"","names","cat","area"
"1","paper1","paper",0.0257177189
"2","paper1","paper",0.000129
"3","paper1","paper",0.0200177196
"4","paper1","paper",0.0025851
"5","paper1","paper",0.00107695
"6","paper1","paper",0.0034852
"7","paper1","paper",0.0004137
"8","paper1","paper",0.003
"9","paper1","paper",0.0069308
"10","paper1","paper",0.0009508
"11","paper1","paper",0.0030008438
"12","paper1","paper",0.0007826
"13","paper1","paper",0.00102095
"14","paper1","paper",0.0016316625
"15","paper1","paper",0.0095273095
"16","paper1","paper",0.0184152526
"17","paper1","paper",0.005
"18","paper1","paper",0.0034937219
"19","paper1","paper",0.0637756617
"20","paper1","paper",0.0011977
"21","paper1","paper",0.00309169
"22","paper1","paper",0.01079677
"23","paper1","paper",0.0085130119
"24","paper1","paper",0.002065399
"25","paper1","paper",0.0015186519
"26","paper1","paper",0.0054726062
"27","paper1","paper",0.00055363
"28","paper1","paper",0.001
"29","paper1","paper",0.0020007031
"30","paper1","paper",0.007951109
"31","paper1","paper",0.0004395
"32","paper1","paper",0.025862563
"33","paper1","paper",0.0151390219
"34","paper1","paper",0.007743388
"35","paper1","paper",0.0098606127
"36","paper1","paper",0.00087088
"37","paper1","paper",0.0104964
"38","paper1","paper",0.0068512
"39","paper1","paper",0.0033296
"40","paper1","paper",0.0012949
"41","paper1","paper",0.00112929
"42","paper1","paper",0.0002474
"43","paper1","paper",0.0030063283
"44","paper1","paper",0.0018128
"45","paper1","paper",0.000566
"46","paper1","paper",0.0139583388
"47","paper1","paper",0.0053548
"48","paper1","paper",0.0002226
"49","paper1","paper",0.0010667
"50","paper1","paper",0.0088868869
"51","paper1","paper",0.00050556
"52","paper1","paper",0.002
"53","paper1","paper",0.0001856
"54","paper1","paper",0.0032877625
"55","paper1","paper",0.006503
"56","paper1","paper",0.0157157225
"57","paper1","paper",0.0087391044
"58","paper1","paper",0.0350040787
"59","paper1","paper",0.0230021098
"60","paper1","paper",0.0802483562
"61","paper1","paper",0.0005770438
"62","paper1","paper",0.0088461219
"63","paper1","paper",0.003
"64","paper1","paper",0.014
"65","paper1","paper",0.0044958
"66","paper1","paper",0.007
"67","paper1","paper",0.0027342
"68","paper1","paper",0.000675
"69","paper1","paper",0.0039889
"70","paper1","paper",0.0121243
"71","paper1","paper",0.0044509
"72","paper1","paper",0.0160108277
"73","paper1","paper",0.052002672
"74","paper1","paper",0.0016908
"75","paper1","paper",0.0038904026
"76","paper1","paper",0.0100945
"77","paper1","paper",0.0088500598
"78","paper1","paper",0.0159145219
"79","paper1","paper",0.002001125
"80","paper1","paper",0.000469
"81","paper1","paper",0.000564
"82","paper1","paper",0.007123328
"83","paper1","paper",0.004
"84","paper1","paper",0.0023533
"85","paper1","paper",0.0032606219
"86","paper1","paper",0.000154
"87","paper1","paper",0.0088553219
"88","paper1","paper",0.0200158031
"89","paper1","paper",0.0031460689
"90","paper1","paper",0.0086713
"91","paper1","paper",0.000555077
"92","paper1","paper",0.0032618844
"93","paper1","paper",3.488e-05
"94","paper1","paper",0.00204416
"95","paper1","paper",0.011892
