"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.002,0.688,0.059,2136,2292,167.471,0.039,1.521,0.657,0.971
"11","Particles",0.0001717,0.918,0.016,3496,1449,52.853,0.015,1.043,0.959,0.966
"2","Particles",2.531e-05,0.938,0.006,2384,2252,32.735,0.006,1.093,0.915,0.921
"12","Fragments",0.0003108,0.555,0.022,2640,1448,123.69,0.02,1.084,0.923,0.924
"13","Particles",0.0008007,0.775,0.042,3264,2674,69.8,0.028,1.494,0.669,0.961
"21","Particles",0.0005708,0.792,0.032,3226,2685,74.511,0.022,1.39,0.719,0.97
"14","Fragments",0.0001558,0.318,0.018,3085,2234,73.072,0.013,1.338,0.748,0.816
"22","Fragments",0.003,0.488,0.081,2980,2429,59.265,0.063,1.226,0.815,0.944
"3","Particles",4.219e-06,0.907,0.003,3074,2205,29.745,0.002,1.566,0.639,0.833
"4","Particles",9.844e-07,0.8,0.002,3073,2213,116.565,0.001,1.668,0.6,0.778
"5","Particles",5.625e-07,0.857,0.001,3110,2214,108.435,0.00075,1.468,0.681,0.8
"6","Particles",1.406e-06,0.887,0.002,3078,2227,168.69,0.001,1.577,0.634,0.8
"7","Particles",4.641e-06,0.846,0.003,3083,2232,26.565,0.002,1.512,0.662,0.846
"8","Particles",4.922e-06,0.809,0.003,3060,2254,49.399,0.002,1.222,0.818,0.921
"9","Particles",1.547e-06,0.637,0.003,3048,2256,26.565,0.001,2.307,0.434,0.71
"10","Particles",1.266e-06,1,0.002,3090,2257,126.87,0.001,1.542,0.648,0.857
"111","Particles",8.438e-07,0.916,0.002,3096,2295,45,0.001,1.593,0.628,0.857
"121","Particles",1.125e-06,0.914,0.002,3094,2300,26.565,0.001,1.435,0.697,0.842
"15","Particles",1.673e-05,1,0.005,2850,2293,114.775,0.004,1.169,0.855,0.944
"16","Particles",0.0003206,0.905,0.023,3379,2116,68.895,0.019,1.231,0.812,0.975
"17","Particles",0.0004656,0.851,0.03,3634,2054,95.711,0.02,1.506,0.664,0.972
"18","Particles",0.0001467,0.916,0.015,2352,2091,107.103,0.013,1.203,0.831,0.965
"19","Particles",0.0001319,0.917,0.014,2215,2231,68.749,0.012,1.202,0.832,0.966
"110","Particles",0.001,0.684,0.051,2754,1363,82.047,0.033,1.6,0.625,0.956
"112","Particles",0.0001146,0.916,0.014,3277,2282,157.62,0.011,1.276,0.784,0.964
"113","Particles",1.856e-05,0.993,0.005,3872,2077,33.69,0.005,1.11,0.901,0.933
"114","Particles",0.0002988,0.903,0.021,3083,2356,171.87,0.018,1.131,0.884,0.971
"115","Particles",0.0003776,0.915,0.023,3239,1822,29.055,0.021,1.087,0.92,0.975
"23","Particles",7.65e-05,0.766,0.012,505,3833,111.801,0.009,1.307,0.765,0.91
"116","Fragments",0.000114,0.437,0.017,1891,3096,97.765,0.011,1.626,0.615,0.86
"117","Particles",0.0003202,0.844,0.026,3082,1492,23.199,0.016,1.613,0.62,0.972
"24","Particles",7.228e-05,0.763,0.013,2164,3137,76.373,0.008,1.793,0.558,0.912
