"","names","cat","area"
"1","blank6","blank",0.0016234
"2","blank6","blank",0.00231334
"3","blank6","blank",0.0001423
"4","blank6","blank",0.0004182
"5","blank6","blank",0.00065589
"6","blank6","blank",0.0135287
"7","blank6","blank",0.0022258
"8","blank6","blank",0.01645564
"9","blank6","blank",0.002
"10","blank6","blank",0.0169425
"11","blank6","blank",0.003
"12","blank6","blank",0.0014878
"13","blank6","blank",0.0027949438
"14","blank6","blank",0.004973733
"15","blank6","blank",0.000852
"16","blank6","blank",0.0007147
"17","blank6","blank",0.00314572
"18","blank6","blank",0.0043467
"19","blank6","blank",0.0001065
"20","blank6","blank",0.0017795
"21","blank6","blank",0.0001603
"22","blank6","blank",0.0101605
"23","blank6","blank",0.001
"24","blank6","blank",0.0025711
