"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.003,0.857,0.068,2410,2138,111.448,0.047,1.407,0.711,0.987
"11","Particles",0.0003264,0.817,0.024,3058,2115,128.108,0.019,1.309,0.764,0.962
"2","Particles",0.002,0.822,0.062,1922,2222,139.662,0.042,1.417,0.705,0.98
"12","Particles",0.0007689,0.848,0.038,2766,606,66.727,0.027,1.432,0.698,0.978
"21","Particles",0.0002659,0.921,0.019,2656,2669,120.018,0.018,1.043,0.958,0.972
"13","Particles",0.001,0.856,0.049,3046,742,119.691,0.038,1.319,0.758,0.982
"14","Particles",0.0007405,0.843,0.038,3116,2609,83.723,0.025,1.525,0.656,0.978
"15","Particles",0.002,0.874,0.052,2008,1421,96.203,0.043,1.182,0.846,0.985
"16","Particles",0.0001685,0.909,0.016,2450,1638,158.962,0.014,1.084,0.922,0.962
"22","Particles",0.0002227,0.883,0.019,2296,3529,79.992,0.015,1.322,0.756,0.965
"17","Particles",0.0007093,0.903,0.032,2356,2563,69.206,0.029,1.042,0.96,0.98
"18","Fibers",0.0001668,0.283,0.022,2127,3354,28.301,0.012,2.027,0.493,0.811
"23","Fragments",3.234e-06,0.577,0.004,2125,3346,53.13,0.002,2.568,0.389,0.73
"3","Fragments",0.0001049,0.35,0.017,2067,3395,54.162,0.011,1.624,0.616,0.777
"4","Fragments",1.434e-05,0.354,0.008,2041,3383,58.57,0.004,2.742,0.365,0.602
"5","Fragments",3.937e-06,0.396,0.005,2063,3382,57.529,0.002,3.712,0.269,0.629
"6","Fragments",0.0003431,0.409,0.025,2337,3518,16.294,0.02,1.209,0.827,0.888
"7","Fragments",4.219e-07,0.524,0.002,2390,3525,45,0.0005303,4.123,0.243,0.6
"8","Particles",0.0003441,0.891,0.024,2170,1201,149.808,0.019,1.244,0.804,0.972
"9","Particles",1.828e-06,0.753,0.002,2092,3361,128.66,0.001,2.222,0.45,0.765
"10","Particles",7.031e-07,1,0.001,2138,3361,146.31,0.00075,1.553,0.644,0.909
"111","Particles",8.438e-07,0.916,0.002,2146,3364,26.565,0.00075,2.082,0.48,0.857
"121","Particles",6.891e-06,0.622,0.004,2046,3369,158.199,0.003,1.2,0.833,0.754
"131","Particles",7.031e-06,0.631,0.004,2041,3383,52.125,0.003,1.57,0.637,0.781
"141","Particles",6.891e-06,0.632,0.004,2048,3384,10.305,0.003,1.295,0.772,0.721
"151","Particles",4.359e-06,0.702,0.004,2067,3394,163.301,0.002,2.251,0.444,0.795
"161","Particles",4.219e-06,0.811,0.003,2392,3515,20.556,0.002,1.242,0.805,0.857
"171","Particles",2.25e-06,0.857,0.002,2390,3515,108.435,0.002,1.519,0.658,0.842
"19","Particles",0.0003485,0.894,0.023,2903,3218,54.246,0.02,1.169,0.856,0.974
"110","Fragments",0.000407,0.565,0.038,0,2746,38.125,0.016,2.43,0.411,0.895
"24","Particles",0.0006871,0.887,0.033,3166,2107,39.971,0.026,1.271,0.787,0.978
"31","Particles",0.0003898,0.654,0.034,9,2741,39.155,0.016,2.238,0.447,0.937
"41","Particles",1.519e-05,0.707,0.006,0,2730,111.801,0.003,1.808,0.553,0.9
"112","Particles",0.0006526,0.893,0.03,2887,2233,130.446,0.029,1.043,0.958,0.977
"113","Fragments",0.0002272,0.429,0.019,3280,1315,29.604,0.017,1.082,0.925,0.896
"25","Particles",8.438e-07,0.686,0.002,3285,1318,126.87,0.0007955,2.81,0.356,0.75
"32","Particles",0.000628,0.847,0.032,2057,2102,171.304,0.026,1.229,0.814,0.976
"114","Fibers",0.011,0.263,0.159,3610,1315,138.053,0.096,1.653,0.605,0.952
"26","Fragments",7.031e-07,0.572,0.002,3599,1367,53.13,0.0007955,3.145,0.318,0.667
"33","Particles",7.031e-07,1,0.001,3661,1305,33.69,0.00075,1.553,0.644,0.909
"42","Particles",4.078e-06,0.691,0.004,3603,1330,53.13,0.002,2.316,0.432,0.744
"51","Particles",7.031e-07,1,0.001,3723,1324,146.31,0.00075,1.553,0.644,0.909
"61","Particles",5.625e-07,0.611,0.002,3786,1344,153.435,0.0007115,3.093,0.323,0.667
"71","Particles",5.203e-06,0.602,0.004,3600,1352,143.13,0.003,1.459,0.685,0.733
"81","Particles",1.828e-06,0.753,0.002,3599,1368,120.964,0.002,1.568,0.638,0.703
"91","Particles",9.844e-07,0.898,0.002,3866,1388,143.13,0.001,2.339,0.427,0.778
"101","Particles",5.625e-07,0.857,0.001,3582,1405,123.69,0.00075,2.031,0.492,0.8
"115","Particles",5.625e-07,1,0.001,3934,1477,135,0.00075,1,1,1
"122","Particles",4.219e-07,1,0.001,3619,1512,45,0.00075,1.464,0.683,0.857
