"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",1.828e-06,0.697,0.002,2844,1904,120.964,0.002,1.215,0.823,0.743
"2","Particles",9.844e-07,0.8,0.002,2598,2183,104.036,0.001,1.387,0.721,0.737
"3","Particles",5.625e-07,0.857,0.001,2680,2184,108.435,0.00075,1.468,0.681,0.8
"4","Particles",5.625e-07,1,0.001,2595,2187,135,0.00075,1,1,1
"5","Particles",2.812e-06,0.994,0.002,2665,2195,38.66,0.002,1.231,0.812,0.889
"6","Particles",5.625e-07,1,0.001,2582,2214,146.31,0.00075,2.031,0.492,0.8
"7","Particles",9.844e-07,0.718,0.002,2588,2216,168.69,0.00075,2.423,0.413,0.824
"11","Particles",0.001,0.648,0.042,2898,1815,94.594,0.032,1.313,0.762,0.959
"12","Fragments",0.0006341,0.414,0.04,2610,1602,23.412,0.023,1.734,0.577,0.92
"21","Particles",5.625e-07,1,0.001,2699,1553,146.31,0.00075,2.031,0.492,0.8
"13","Particles",0.0001811,0.877,0.018,3311,3338,102.265,0.013,1.33,0.752,0.963
"14","Particles",0.0005306,0.897,0.029,1689,2040,110.298,0.024,1.234,0.81,0.979
"15","Particles",0.001,0.879,0.046,3336,1602,67.416,0.034,1.325,0.755,0.983
"16","Particles",0.0004475,0.893,0.026,1866,1948,49.044,0.022,1.197,0.835,0.975
"17","Particles",0.004,0.651,0.105,1994,1422,105.076,0.054,1.978,0.506,0.974
"18","Particles",0.0009883,0.898,0.038,2687,2885,67.467,0.033,1.133,0.883,0.981
"19","Particles",0.0005435,0.72,0.032,3211,1638,56.497,0.024,1.372,0.729,0.956
"110","Fragments",0.004,0.537,0.099,2903,1427,58.888,0.051,2.002,0.5,0.936
"22","Fragments",0.0003921,0.45,0.044,2797,3301,70.801,0.011,4.382,0.228,0.905
"31","Particles",0.0001768,0.719,0.02,2809,3236,55.437,0.011,1.755,0.57,0.936
"111","Particles",0.0002693,0.885,0.02,2289,3386,119.476,0.018,1.063,0.941,0.968
"112","Particles",0.0008969,0.899,0.038,3259,1723,82.666,0.031,1.227,0.815,0.983
"23","Particles",1.659e-05,0.964,0.005,3072,2108,33.69,0.005,1.161,0.861,0.94
"32","Particles",0.0001138,0.868,0.015,2999,2164,55.491,0.01,1.416,0.706,0.954
"113","Particles",0.0001408,0.875,0.016,192,1439,80.311,0.012,1.302,0.768,0.951
"24","Particles",0.0003419,0.786,0.022,3425,2141,144.118,0.021,1.015,0.985,0.961
"33","Particles",3.797e-06,0.967,0.003,1730,3944,66.801,0.002,1.439,0.695,0.885
"114","Particles",0.001,0.783,0.042,2667,1508,117.924,0.037,1.088,0.919,0.973
"115","Particles",0.0007422,0.821,0.033,3521,1487,78.311,0.03,1.085,0.922,0.973
"116","Particles",0.002,0.748,0.055,3624,3857,106.323,0.042,1.285,0.778,0.974
"117","Particles",0.002,0.863,0.058,3428,2282,41.878,0.041,1.412,0.708,0.985
