"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.001,0.885,0.043,1750,2263,144.638,0.033,1.288,0.776,0.984
"2","Particles",0.001,0.846,0.05,1064,3191,84.459,0.032,1.542,0.649,0.983
"3","Particles",0.000611,0.91,0.029,1327,3338,98.973,0.028,1.035,0.966,0.979
"11","Particles",0.0001274,0.711,0.019,3059,2574,143.13,0.009,2.046,0.489,0.927
"21","Particles",0.0004091,0.84,0.026,1979,3468,80.942,0.021,1.209,0.827,0.969
"12","Particles",0.0009698,0.842,0.044,2509,1403,163.72,0.03,1.499,0.667,0.982
"13","Particles",0.0001164,0.892,0.014,2876,3024,71.565,0.011,1.326,0.754,0.96
"14","Particles",0.0002024,0.9,0.017,4057,1787,143.13,0.016,1.031,0.97,0.966
"15","Particles",0.0001389,0.906,0.015,3696,1156,105.751,0.012,1.257,0.795,0.962
"16","Particles",0.001,0.821,0.053,2248,2245,158.124,0.038,1.432,0.698,0.967
"17","Particles",0.008,0.664,0.114,2593,1873,154.108,0.089,1.27,0.788,0.964
"18","Particles",0.005,0.644,0.123,3042,945,106.833,0.064,2.04,0.49,0.919
"19","Particles",8.719e-05,0.931,0.011,3355,1685,60.018,0.011,1.058,0.945,0.956
"110","Particles",3.192e-05,0.959,0.007,2183,1904,109.44,0.006,1.007,0.993,0.94
"22","Particles",0.001,0.903,0.039,2864,2542,167.829,0.038,1.019,0.981,0.982
"111","Particles",0.013,0.8,0.155,2390,1531,52.076,0.115,1.333,0.75,0.985
"112","Fragments",0.002,0.382,0.07,2269,1134,166.038,0.041,1.896,0.528,0.859
"23","Particles",0.0003939,0.658,0.026,2384,1184,23.629,0.02,1.233,0.811,0.942
"31","Particles",0.0005542,0.863,0.032,3708,2746,28.072,0.024,1.367,0.732,0.976
"113","Particles",0.0001651,0.785,0.02,2071,1269,125.789,0.011,1.894,0.528,0.958
"114","Particles",0.007,0.869,0.11,3311,1732,67.908,0.087,1.259,0.794,0.989
"24","Particles",0.0002011,0.893,0.018,3551,2088,77.093,0.014,1.296,0.772,0.969
"32","Particles",0.0002715,0.854,0.024,2718,2922,78.158,0.015,1.617,0.618,0.973
"115","Particles",0.0002717,0.91,0.02,3079,1736,32.229,0.018,1.155,0.866,0.972
"116","Fragments",0.007,0.339,0.155,2131,3081,83.047,0.071,2.198,0.455,0.843
"25","Particles",0.003,0.638,0.072,2088,2839,59.444,0.055,1.215,0.823,0.93
"33","Particles",2.953e-06,0.707,0.003,2125,2971,135,0.002,1.375,0.727,0.808
"4","Particles",3.867e-05,0.624,0.01,2136,2984,136.548,0.007,1.334,0.75,0.855
"5","Particles",1.941e-05,0.651,0.008,2130,2988,129.094,0.004,2.165,0.462,0.86
"6","Particles",4.922e-06,0.777,0.004,2152,3009,29.055,0.002,1.68,0.595,0.805
"7","Particles",1.828e-06,1,0.002,2142,3005,135,0.002,1.45,0.69,0.897
"8","Particles",2.109e-06,0.804,0.002,2159,3011,18.435,0.002,1.494,0.669,0.789
"9","Particles",5.625e-07,1,0.001,2182,3022,161.565,0.00075,1.468,0.681,0.8
"10","Particles",1.688e-06,0.883,0.002,2140,3023,111.801,0.001,1.61,0.621,0.889
"117","Particles",4.219e-07,1,0.001,2141,3053,135,0.00075,1.464,0.683,0.857
"118","Particles",0.0003066,0.906,0.022,1111,316,144.689,0.019,1.189,0.841,0.973
"26","Particles",0.003,0.82,0.076,160,2482,37.603,0.048,1.595,0.627,0.986
"34","Particles",0.001,0.761,0.052,3348,3416,117.489,0.027,1.983,0.504,0.977
