"","names","cat","area"
"1","plastic6","plastic",0.0080683
"2","plastic6","plastic",0.0009722
"3","plastic6","plastic",0.0421468531
"4","plastic6","plastic",0.0489245348
"5","plastic6","plastic",0.00245917
"6","plastic6","plastic",0.00572899
"7","plastic6","plastic",0.0352236864
"8","plastic6","plastic",0.0197964
"9","plastic6","plastic",0.0225818245
"10","plastic6","plastic",0.029703
"11","plastic6","plastic",0.0156388
"12","plastic6","plastic",0.0008596
"13","plastic6","plastic",0.00690417
"14","plastic6","plastic",0.0112294031
"15","plastic6","plastic",0.0308296125
"16","plastic6","plastic",0.0301980222
"17","plastic6","plastic",0.004
"18","plastic6","plastic",0.00175653
"19","plastic6","plastic",0.00063627
"20","plastic6","plastic",0.003236978
"21","plastic6","plastic",0.0002877
"22","plastic6","plastic",0.0084409
"23","plastic6","plastic",0.0035726
"24","plastic6","plastic",0.00706405
"25","plastic6","plastic",0.0212846
"26","plastic6","plastic",0.0043589058
"27","plastic6","plastic",0.00076725
"28","plastic6","plastic",0.005
"29","plastic6","plastic",0.004350785
"30","plastic6","plastic",0.0064361031
"31","plastic6","plastic",0.0046163
"32","plastic6","plastic",0.00574329
"33","plastic6","plastic",0.000399
"34","plastic6","plastic",0.006
"35","plastic6","plastic",0.009
"36","plastic6","plastic",0.00338798
"37","plastic6","plastic",0.0055829
"38","plastic6","plastic",0.0094416031
"39","plastic6","plastic",0.0003219
"40","plastic6","plastic",0.0120223609
"41","plastic6","plastic",0.003
"42","plastic6","plastic",0.00430829
