"","names","cat","area"
"1","blank1","blank",0.002041166
"2","blank1","blank",0.0009446219
"3","blank1","blank",0.0008494219
"4","blank1","blank",0.00059438
"5","blank1","blank",0.0023594
"6","blank1","blank",0.0009718
"7","blank1","blank",0.001076859
"8","blank1","blank",0.0011084
"9","blank1","blank",0.0025719
"10","blank1","blank",0.00502135
"11","blank1","blank",0.002304
"12","blank1","blank",0.0067057
"13","blank1","blank",0.0002634
"14","blank1","blank",0.0087944
"15","blank1","blank",0.007592
"16","blank1","blank",0.0080940771
"17","blank1","blank",0.006
"18","blank1","blank",0.0033954725
"19","blank1","blank",0.005
"20","blank1","blank",0.0015636
"21","blank1","blank",0.0001785
"22","blank1","blank",0.0044062
"23","blank1","blank",0.0005465
"24","blank1","blank",0.0038847
"25","blank1","blank",1.139e-05
"26","blank1","blank",0.001
"27","blank1","blank",0.0007499
"28","blank1","blank",0.002
"29","blank1","blank",0.003
"30","blank1","blank",0.0006702
"31","blank1","blank",0.0015813
"32","blank1","blank",0.0002275
"33","blank1","blank",0.0028674
"34","blank1","blank",0.0023284
"35","blank1","blank",0.00086059
"36","blank1","blank",1.294e-05
