"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.0001111,0.819,0.015,1417,2394,174.428,0.009,1.731,0.578,0.956
"11","Particles",0.0001519,0.896,0.016,2026,2896,7.943,0.012,1.301,0.769,0.964
"12","Particles",0.001,0.661,0.062,1860,3213,73.864,0.034,1.854,0.539,0.943
"13","Particles",0.0003146,0.77,0.027,1883,3323,56.746,0.015,1.886,0.53,0.959
"14","Particles",0.0001849,0.903,0.018,2617,2255,101.07,0.013,1.282,0.78,0.968
"15","Particles",0.000705,0.904,0.032,2461,2040,149.265,0.028,1.135,0.881,0.981
"16","Particles",0.0003268,0.873,0.023,2089,2311,136.332,0.018,1.231,0.812,0.966
"17","Particles",2.109e-05,0.987,0.006,1994,2764,26.565,0.005,1.122,0.891,0.935
"18","Particles",0.0007411,0.86,0.038,1851,1080,136.614,0.026,1.398,0.715,0.98
"19","Particles",0.0009751,0.688,0.053,2186,1260,95.305,0.025,2.177,0.459,0.973
"110","Particles",0.0002732,0.819,0.022,2867,1238,119.624,0.018,1.136,0.881,0.956
"2","Particles",0.000421,0.79,0.03,2830,1338,36.444,0.019,1.484,0.674,0.959
"3","Particles",0.006,0.715,0.115,2588,1341,91.493,0.072,1.625,0.615,0.951
"111","Particles",5.808e-05,0.916,0.01,3132,2425,37.304,0.008,1.284,0.779,0.951
"112","Particles",0.003,0.725,0.093,1918,2805,119.37,0.044,2.08,0.481,0.981
"113","Particles",6.989e-05,0.807,0.012,2089,2757,22.479,0.008,1.568,0.638,0.93
"114","Particles",0.0004064,0.9,0.026,3680,2695,164.745,0.021,1.226,0.815,0.976
"115","Fibers",0.007,0.155,0.16,4235,1866,32.204,0.068,2.862,0.349,0.818
"28","Particles",1.125e-06,0.71,0.002,4452,1677,30.964,0.001,2.463,0.406,0.727
"31","Particles",2.109e-06,0.746,0.002,4392,1691,38.66,0.002,1.494,0.669,0.811
"4","Particles",3.234e-06,0.775,0.003,4364,1712,29.745,0.002,1.562,0.64,0.836
"5","Particles",5.203e-06,0.602,0.004,4360,1723,63.435,0.002,2.166,0.462,0.755
"6","Particles",3.797e-06,0.866,0.003,4456,1740,125.538,0.002,1.754,0.57,0.806
"7","Particles",3.234e-06,0.878,0.003,4343,1750,153.435,0.002,1.103,0.906,0.821
"8","Particles",9.844e-07,0.898,0.002,4456,1750,165.964,0.001,1.387,0.721,0.737
"9","Particles",4.5e-06,0.725,0.003,4338,1753,139.399,0.002,1.524,0.656,0.831
"10","Particles",8.438e-07,1,0.001,4453,1756,146.31,0.00075,1.5,0.667,1
"116","Particles",5.625e-07,1,0.001,4334,1759,161.565,0.00075,1.468,0.681,0.8
"121","Particles",4.219e-06,0.769,0.004,4547,1771,57.995,0.002,1.606,0.623,0.822
"131","Particles",2.109e-06,0.869,0.002,4554,1768,30.964,0.002,1.423,0.703,0.811
"141","Particles",9.844e-07,1,0.001,4311,1767,123.69,0.001,1.069,0.936,0.875
"151","Particles",4.781e-06,0.733,0.004,4537,1774,29.055,0.002,2.009,0.498,0.81
"161","Particles",5.625e-07,0.611,0.002,4534,1775,153.435,0.0007115,3.093,0.323,0.667
"171","Particles",1.547e-06,0.976,0.002,4511,1777,116.565,0.002,1.035,0.966,0.846
"181","Particles",1.406e-06,0.65,0.002,4521,1777,161.565,0.00075,3.306,0.303,0.833
"191","Particles",2.109e-06,0.804,0.003,4448,1779,116.565,0.001,1.993,0.502,0.811
"20","Particles",5.625e-07,1,0.001,4491,1783,33.69,0.00075,2.031,0.492,0.8
"21","Particles",4.359e-06,0.717,0.004,4224,1813,119.055,0.002,1.939,0.516,0.827
"22","Particles",1.828e-06,0.846,0.002,4227,1825,128.66,0.002,1.694,0.59,0.812
"23","Particles",7.031e-07,0.873,0.001,4467,1852,33.69,0.001,1.496,0.668,0.714
"24","Particles",1.969e-06,0.911,0.002,4431,1869,59.036,0.002,1.308,0.765,0.824
"25","Particles",1.969e-06,0.993,0.002,4244,1873,120.964,0.002,1.471,0.68,0.848
"26","Particles",1.688e-06,0.967,0.002,4248,1878,126.87,0.002,1.218,0.821,0.889
"27","Particles",4.219e-07,0.754,0.001,4373,1892,33.69,0.0006708,2.702,0.37,0.667
"117","Particles",0.0002933,0.905,0.021,3720,829,160.907,0.019,1.104,0.906,0.97
"118","Particles",2.194e-05,0.949,0.006,2276,1001,18.435,0.005,1.154,0.867,0.94
"119","Particles",0.000458,0.74,0.034,3501,1947,77.335,0.018,1.998,0.5,0.973
"120","Particles",0.0004535,0.866,0.027,2627,2373,123.69,0.023,1.2,0.834,0.971
"122","Particles",0.0002215,0.873,0.02,2998,1833,68.199,0.014,1.41,0.709,0.967
"123","Particles",0.0008748,0.771,0.043,2528,2167,34.38,0.026,1.687,0.593,0.969
"124","Particles",0.0008257,0.891,0.037,2896,2788,121.569,0.029,1.244,0.804,0.981
"29","Particles",9.506e-05,0.74,0.016,13,3288,71.996,0.008,2.037,0.491,0.938
"125","Fragments",0.003,0.487,0.093,2248,2229,29.974,0.04,2.275,0.44,0.923
"210","Particles",4.5e-06,0.865,0.003,2258,2204,40.601,0.002,1.796,0.557,0.853
"32","Particles",1.406e-06,0.806,0.002,2257,2210,30.964,0.001,2.212,0.452,0.833
"41","Particles",1.547e-06,0.976,0.002,2270,2232,126.87,0.001,1.45,0.689,0.846
"51","Particles",2.25e-06,0.857,0.002,2266,2234,149.036,0.002,1.107,0.904,0.842
"126","Particles",0.0002332,0.919,0.019,1923,3711,102.653,0.016,1.139,0.878,0.973
"127","Particles",0.0001164,0.926,0.014,1139,2341,112.38,0.011,1.217,0.821,0.964
"128","Particles",0.0005642,0.822,0.03,1798,1858,151.844,0.025,1.219,0.821,0.97
"211","Particles",6.328e-06,0.827,0.004,2513,1990,73.301,0.002,1.644,0.608,0.9
"129","Particles",3.263e-05,0.981,0.007,2126,2517,112.38,0.006,1.01,0.99,0.949
"130","Particles",0.001,0.748,0.055,1886,1604,111.801,0.038,1.479,0.676,0.931
"132","Particles",0.0003133,0.914,0.021,1916,1135,143.746,0.019,1.061,0.943,0.973
"212","Particles",0.0001733,0.834,0.019,2172,3475,104.574,0.012,1.704,0.587,0.963
"133","Particles",3.319e-05,0.803,0.008,3637,528,53.13,0.006,1.092,0.915,0.908
"134","Particles",0.0003188,0.903,0.022,3366,1832,166.201,0.019,1.142,0.876,0.972
"135","Particles",0.0006126,0.816,0.034,2665,3025,139.538,0.024,1.377,0.726,0.969
"136","Particles",3.136e-05,0.943,0.007,2766,1768,123.69,0.006,1.013,0.988,0.933
"137","Particles",0.0006093,0.895,0.031,2019,2079,104.207,0.026,1.184,0.845,0.978
"138","Fragments",0.0002474,0.6,0.029,2075,2406,54.462,0.011,2.736,0.366,0.912
"139","Particles",0.0006107,0.869,0.032,1851,3176,167.905,0.024,1.305,0.766,0.977
"140","Particles",0.0002185,0.901,0.019,3238,1794,170.727,0.015,1.206,0.829,0.967
"142","Particles",4.598e-05,0.922,0.008,3325,2570,35.838,0.007,1.064,0.939,0.94
"143","Particles",0.002,0.686,0.064,2234,1988,93.702,0.039,1.589,0.629,0.975
"144","Particles",0.0006384,0.638,0.033,2892,3223,121.522,0.026,1.232,0.812,0.957
"145","Particles",0.0004186,0.877,0.026,1968,2563,32.093,0.022,1.192,0.839,0.973
"146","Particles",5.063e-05,0.895,0.009,1739,2320,161.565,0.007,1.413,0.707,0.957
"147","Particles",0.0004009,0.847,0.027,2883,2574,166.535,0.019,1.403,0.713,0.967
"148","Particles",0.0001697,0.756,0.021,3009,2676,56.592,0.011,1.966,0.509,0.951
"149","Particles",0.001,0.891,0.044,2020,1291,80.698,0.034,1.272,0.786,0.985
"150","Particles",0.000637,0.784,0.039,2036,2109,129.523,0.021,1.882,0.531,0.969
"152","Particles",0.0002971,0.853,0.024,1771,1756,36.158,0.016,1.512,0.661,0.97
"153","Particles",0.0004473,0.713,0.03,1895,1781,148.069,0.022,1.373,0.728,0.93
"154","Fragments",0.042,0.599,0.325,1965,3203,10.234,0.195,1.809,0.553,0.962
"213","Particles",7.031e-07,0.764,0.002,2558,3304,26.565,0.00075,2.61,0.383,0.769
"155","Particles",0.001,0.782,0.054,1954,1927,61.101,0.028,1.879,0.532,0.973
"156","Particles",8.691e-05,0.651,0.013,2774,2810,9.728,0.009,1.445,0.692,0.902
"157","Particles",3.009e-05,0.945,0.007,1688,2233,38.157,0.006,1.051,0.951,0.93
"158","Particles",0.0005916,0.818,0.036,3217,2926,36.511,0.02,1.76,0.568,0.975
"159","Fragments",0.003,0.534,0.087,2202,1584,73.818,0.043,2.019,0.495,0.938
"214","Fragments",7.031e-07,0.599,0.002,2207,1585,168.69,0.000375,5,0.2,1
"33","Particles",0.002,0.647,0.055,2188,1477,19.051,0.043,1.15,0.869,0.951
"42","Particles",0.0004427,0.867,0.026,2625,3430,35.727,0.022,1.192,0.839,0.97
"160","Particles",0.0001482,0.669,0.021,1998,1637,126.469,0.01,2.528,0.396,0.932
"162","Particles",6.483e-05,0.956,0.01,2874,2371,109.799,0.009,1.124,0.89,0.958
"163","Particles",0.001,0.899,0.042,3097,1411,142.927,0.038,1.118,0.895,0.984
"164","Particles",5.625e-05,0.928,0.01,1971,1681,110.556,0.008,1.189,0.841,0.947
"165","Particles",1.8e-05,0.947,0.006,1911,2208,109.654,0.004,1.263,0.792,0.945
"166","Particles",0.0003222,0.843,0.026,2218,2793,16.858,0.017,1.547,0.646,0.968
"167","Particles",0.000691,0.884,0.035,2976,1917,9.36,0.026,1.333,0.75,0.98
"168","Particles",0.0002461,0.884,0.021,2497,1165,126.254,0.016,1.358,0.737,0.969
"215","Particles",0.0006529,0.827,0.036,2463,2321,30.861,0.024,1.513,0.661,0.974
"169","Particles",2.995e-05,0.94,0.007,2753,1859,22.38,0.006,1.09,0.917,0.928
"170","Particles",6.609e-05,0.879,0.011,2676,1864,38.047,0.008,1.418,0.705,0.94
"172","Particles",0.0003864,0.87,0.026,3573,1996,65.695,0.02,1.274,0.785,0.973
"173","Particles",0.0008018,0.781,0.039,3713,1951,14.967,0.028,1.365,0.733,0.948
"174","Particles",0.002,0.79,0.06,2899,981,150.21,0.047,1.101,0.908,0.974
"216","Particles",0.002,0.722,0.056,2841,1120,68.412,0.038,1.459,0.686,0.958
"34","Particles",5.625e-07,0.857,0.001,2808,1075,123.69,0.00075,2.031,0.492,0.8
"175","Particles",4.05e-05,0.82,0.008,1832,1954,103.392,0.007,1.102,0.908,0.913
"176","Fibers",0.002,0.241,0.09,1200,3171,40.757,0.038,2.395,0.418,0.881
"217","Particles",0.0001434,0.843,0.017,3087,2096,58.815,0.011,1.447,0.691,0.956
"35","Particles",3.516e-06,0.896,0.003,1369,3009,150.255,0.002,1.68,0.595,0.847
"43","Particles",1.406e-06,0.982,0.002,1350,3013,26.565,0.001,1.241,0.806,0.8
"52","Particles",1.828e-06,0.922,0.002,1348,3014,120.964,0.002,1.616,0.619,0.812
"61","Particles",2.531e-06,0.895,0.002,1336,3025,38.66,0.002,1.309,0.764,0.837
"71","Particles",2.812e-06,0.815,0.002,1348,3107,38.66,0.002,1.173,0.853,0.769
"81","Particles",4.219e-07,0.809,0.001,1222,3114,108.435,0.000375,3,0.333,1
"91","Particles",5.625e-07,1,0.001,1215,3125,161.565,0.00075,1.468,0.681,0.8
"177","Particles",0.0002963,0.741,0.029,2436,2530,38.073,0.013,2.208,0.453,0.964
"178","Particles",0.0003475,0.907,0.023,2377,2931,73.301,0.019,1.191,0.84,0.975
"179","Particles",0.0002389,0.831,0.022,3462,1727,68.199,0.014,1.611,0.621,0.965
"180","Particles",0.0006647,0.683,0.039,2966,1285,163.301,0.026,1.531,0.653,0.96
"182","Particles",0.0002243,0.806,0.022,2083,1573,159.102,0.014,1.666,0.6,0.96
"218","Particles",8.48e-05,0.9,0.012,4112,2707,52.431,0.009,1.355,0.738,0.951
"183","Particles",0.0004705,0.861,0.03,1640,2743,35.455,0.02,1.537,0.651,0.975
"184","Particles",0.000605,0.91,0.03,2674,2421,13.861,0.027,1.082,0.924,0.98
"185","Particles",0.000236,0.897,0.02,2815,881,35.166,0.015,1.335,0.749,0.968
"186","Particles",0.0006515,0.722,0.042,1831,2789,98.631,0.019,2.219,0.451,0.974
"187","Particles",7.327e-05,0.926,0.011,2579,3136,80.218,0.009,1.235,0.81,0.956
"188","Particles",0.001,0.636,0.054,2499,2229,112.989,0.034,1.641,0.609,0.941
"219","Particles",7.031e-07,1,0.001,2498,2323,33.69,0.00075,1.553,0.644,0.909
"189","Fragments",0.0007012,0.462,0.04,3297,1478,113.908,0.027,1.602,0.624,0.914
"220","Fragments",0.0004785,0.388,0.051,3845,2818,52.792,0.015,4.344,0.23,0.749
"36","Particles",5.625e-07,0.698,0.002,3334,1504,135,0.0007955,2.654,0.377,0.667
"44","Particles",0.0001678,0.787,0.018,3913,2756,80.538,0.013,1.426,0.701,0.929
"53","Particles",0.0001768,0.767,0.02,3880,2796,69.829,0.012,1.675,0.597,0.94
"62","Particles",0.000127,0.777,0.016,3845,2818,57.426,0.011,1.51,0.662,0.917
"190","Particles",0.0005712,0.898,0.03,1871,2745,102.995,0.025,1.179,0.848,0.98
"192","Fibers",0.0006757,0.182,0.043,2246,3100,61.666,0.028,1.706,0.586,0.815
"221","Fibers",0.0008702,0.266,0.044,2315,3086,177.532,0.034,1.294,0.773,0.808
"37","Fragments",5.484e-06,0.495,0.005,2361,3020,155.556,0.002,2.358,0.424,0.645
"45","Fragments",8.438e-07,0.532,0.002,2360,3031,53.13,0.001,1.862,0.537,0.632
"54","Fragments",1.828e-06,0.438,0.003,2337,3054,60.255,0.002,2.242,0.446,0.553
"63","Particles",3.234e-06,0.756,0.003,2362,3019,125.538,0.002,2.329,0.429,0.793
"72","Particles",1.969e-06,0.993,0.002,2369,3021,111.801,0.002,1.24,0.807,0.824
"82","Particles",1.969e-06,1,0.002,2358,3037,30.964,0.001,1.662,0.602,0.966
"92","Particles",7.031e-07,0.873,0.001,2261,3039,33.69,0.001,1.496,0.668,0.714
"101","Particles",4.219e-07,1,0.001,2402,3054,135,0.00075,1.464,0.683,0.857
"1110","Particles",4.219e-07,0.643,0.001,2405,3057,123.69,0.0006708,2.702,0.37,0.667
"1210","Particles",9.844e-07,0.8,0.002,2333,3063,53.13,0.001,2.211,0.452,0.778
"1310","Particles",5.625e-07,0.857,0.001,2241,3073,56.31,0.00075,2,0.5,0.8
"1410","Particles",2.953e-06,0.943,0.002,2313,3074,128.66,0.002,1.25,0.8,0.857
"1510","Particles",4.219e-06,0.811,0.003,2308,3087,54.462,0.002,1.404,0.712,0.8
"193","Particles",0.001,0.616,0.054,3079,2241,121.032,0.03,1.934,0.517,0.944
"194","Particles",0.0001191,0.923,0.014,3263,1762,147.171,0.012,1.187,0.842,0.963
"195","Particles",0.0004864,0.606,0.039,3344,330,16.172,0.018,2.367,0.422,0.868
"196","Particles",0.0002589,0.898,0.021,3608,1172,148.861,0.016,1.303,0.768,0.971
"197","Particles",0.0002379,0.873,0.022,3284,1777,20.323,0.015,1.492,0.67,0.972
"198","Particles",4.064e-05,0.922,0.008,2962,1340,111.801,0.007,1.153,0.867,0.943
"199","Particles",0.0004698,0.917,0.025,2391,1205,78.024,0.024,1.025,0.976,0.978
"1100","Particles",0.0005465,0.675,0.039,1619,2219,16.327,0.02,2.104,0.475,0.922
"1101","Particles",0.003,0.849,0.064,2967,1986,84.323,0.052,1.175,0.851,0.983
"222","Particles",3.502e-05,0.951,0.007,2202,3116,147.995,0.007,1.005,0.995,0.94
"1102","Fibers",0.01,0.202,0.168,3968,1848,81.254,0.131,1.287,0.777,0.667
"223","Fragments",0.002,0.331,0.079,4184,1514,86.168,0.051,1.797,0.557,0.84
"38","Fragments",0.017,0.344,0.247,3272,1661,21.025,0.098,2.753,0.363,0.912
"46","Fragments",7.031e-07,0.572,0.002,4128,1366,63.435,0.0009487,2.126,0.47,0.625
"55","Fragments",9.844e-07,0.515,0.002,4219,1429,101.31,0.001,1.569,0.637,0.636
"64","Particles",4.219e-07,0.754,0.001,3625,1382,33.69,0.0006708,2.702,0.37,0.667
"73","Particles",4.219e-07,0.967,0.001,4026,1402,161.565,0.000375,3,0.333,1
