"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.000507,0.89,0.028,3213,1924,149.036,0.024,1.207,0.829,0.975
"11","Particles",0.0009113,0.867,0.04,1917,3796,176.222,0.029,1.371,0.73,0.98
"12","Particles",0.0001599,0.922,0.016,3164,1861,52.853,0.014,1.122,0.891,0.968
"13","Particles",0.000136,0.909,0.014,2535,1646,40.764,0.013,1.112,0.899,0.959
"14","Particles",0.0001842,0.885,0.018,4040,1969,141.911,0.014,1.278,0.782,0.962
"15","Particles",8.072e-05,0.93,0.011,2944,1513,102.095,0.01,1.064,0.94,0.956
"16","Particles",0.001,0.91,0.043,1964,1569,10.037,0.041,1.047,0.955,0.985
"17","Particles",1.645e-05,0.985,0.005,2862,1839,116.565,0.005,1.036,0.965,0.94
"18","Particles",0.000189,0.817,0.02,2337,1669,108.778,0.013,1.601,0.625,0.956
"19","Particles",5.625e-05,0.861,0.01,2994,3102,145.713,0.007,1.411,0.709,0.935
"110","Particles",4.388e-05,0.686,0.009,2876,2298,157.751,0.007,1.175,0.851,0.888
"2","Particles",4.402e-05,0.639,0.009,2883,2329,53.616,0.008,1.035,0.966,0.871
"111","Particles",0.0002069,0.915,0.017,2934,1894,111.571,0.015,1.099,0.91,0.97
"112","Particles",8.817e-05,0.913,0.012,2813,2571,77.276,0.01,1.207,0.829,0.954
"113","Particles",0.0003787,0.652,0.035,2986,1950,54.246,0.015,2.633,0.38,0.945
"21","Particles",2.756e-05,0.965,0.006,3104,1907,107.354,0.006,1.008,0.992,0.936
"114","Particles",0.0009671,0.608,0.046,2558,2174,150.719,0.03,1.613,0.62,0.951
"22","Particles",7.031e-07,1,0.001,2638,2180,123.69,0.00075,1.553,0.644,0.909
"115","Particles",0.0001803,0.923,0.016,3579,1569,100.784,0.015,1.063,0.94,0.968
"23","Particles",3.08e-05,0.946,0.007,3561,2439,160.56,0.006,1.001,0.999,0.94
"116","Particles",0.0002351,0.902,0.019,2138,2463,13.761,0.017,1.111,0.9,0.97
"117","Particles",0.0002642,0.878,0.022,2401,2377,101.889,0.016,1.399,0.715,0.97
"118","Particles",4.191e-05,0.95,0.008,3563,2114,73.301,0.007,1.053,0.95,0.948
"119","Particles",9.563e-05,0.901,0.013,2901,861,33.232,0.01,1.344,0.744,0.954
"120","Particles",0.0007779,0.846,0.039,910,2869,70.159,0.026,1.456,0.687,0.98
"121","Particles",0.0002898,0.918,0.021,2880,2009,99.293,0.018,1.137,0.879,0.974
"122","Particles",0.0003991,0.864,0.028,2620,1821,39.508,0.019,1.471,0.68,0.974
"123","Particles",0.0001313,0.836,0.016,3343,3291,123.311,0.011,1.367,0.732,0.95
"124","Particles",0.001,0.854,0.044,3572,2525,7.306,0.038,1.103,0.907,0.978
"125","Particles",0.006,0.776,0.103,2834,2097,56.714,0.082,1.247,0.802,0.984
"126","Particles",7.72e-05,0.913,0.011,2261,1113,122.619,0.01,1.152,0.868,0.947
"127","Particles",0.0001436,0.795,0.018,2782,1998,21.801,0.011,1.777,0.563,0.944
"128","Particles",0.0002344,0.89,0.02,3486,1871,102.758,0.015,1.344,0.744,0.969
"129","Particles",0.0008802,0.819,0.04,3583,1998,21.801,0.028,1.498,0.667,0.971
"130","Particles",0.0001021,0.743,0.016,2816,2070,137.911,0.01,1.742,0.574,0.896
"24","Particles",2.489e-05,0.978,0.006,2740,2074,107.354,0.005,1.134,0.882,0.944
"131","Particles",0.000165,0.834,0.018,3868,1810,106.113,0.013,1.413,0.708,0.945
"132","Particles",0.0002149,0.911,0.017,2260,957,122.661,0.016,1.046,0.956,0.967
"133","Particles",0.0001119,0.783,0.016,2238,2045,109.29,0.01,1.778,0.562,0.936
"134","Particles",9.197e-05,0.807,0.014,3377,1512,18.925,0.009,1.582,0.632,0.943
"135","Particles",0.001,0.872,0.046,1977,2229,65.095,0.036,1.287,0.777,0.983
"136","Particles",0.000342,0.872,0.022,3399,1070,148.707,0.02,1.089,0.919,0.966
"137","Particles",0.0005124,0.77,0.034,3375,1739,32.998,0.02,1.701,0.588,0.966
"138","Particles",0.0001256,0.914,0.014,2916,2095,144.638,0.012,1.205,0.83,0.961
"139","Fragments",0.001,0.401,0.052,2820,951,55.62,0.035,1.424,0.702,0.819
"25","Fragments",2.25e-06,0.496,0.003,2880,874,75.964,0.002,2.151,0.465,0.711
"3","Particles",4.219e-07,1,0.001,2849,877,135,0.00075,1.464,0.683,0.857
"4","Particles",1.266e-06,0.923,0.002,2865,880,36.87,0.001,1.539,0.65,0.9
"5","Particles",0.000404,0.688,0.032,3792,2618,98.13,0.018,1.859,0.538,0.927
"140","Particles",0.0004075,0.883,0.025,2678,2235,130.135,0.021,1.161,0.862,0.971
"141","Particles",2.812e-05,0.856,0.007,3723,2207,47.291,0.006,1.047,0.955,0.913
"142","Particles",0.008,0.743,0.138,1829,2396,82.663,0.085,1.548,0.646,0.974
