"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.003,0.628,0.081,2755,3362,30.237,0.049,1.709,0.585,0.964
"11","Particles",0.0001283,0.933,0.014,3568,610,149.3,0.012,1.104,0.906,0.965
"2","Particles",7.003e-05,0.948,0.01,2874,3266,34.287,0.009,1.02,0.981,0.957
"12","Particles",0.0003954,0.849,0.027,3372,2497,107.162,0.019,1.375,0.727,0.971
"13","Particles",0.0005334,0.862,0.032,2364,2100,140.194,0.021,1.532,0.653,0.977
"14","Particles",0.0003038,0.912,0.022,3163,2443,108.122,0.018,1.176,0.85,0.974
"15","Particles",0.002,0.771,0.076,3954,1806,155.462,0.04,1.937,0.516,0.983
"16","Particles",0.0003421,0.884,0.024,3127,1230,8.881,0.018,1.34,0.746,0.974
"17","Particles",0.0003212,0.819,0.026,3918,2567,110.746,0.015,1.72,0.581,0.97
"18","Particles",0.000686,0.867,0.035,2808,2289,22.145,0.025,1.392,0.718,0.978
"19","Fragments",0.0008962,0.593,0.055,3159,1779,128.904,0.023,2.631,0.38,0.9
"110","Particles",7.594e-05,0.921,0.011,2286,2246,165.964,0.009,1.173,0.853,0.957
"111","Particles",0.002,0.86,0.055,3524,2102,126.401,0.038,1.466,0.682,0.985
"112","Particles",0.002,0.751,0.07,3376,1796,96.782,0.048,1.534,0.652,0.96
"21","Particles",0.004,0.722,0.089,3188,2016,51.978,0.063,1.36,0.735,0.962
"113","Particles",0.002,0.771,0.052,2556,1856,147.688,0.04,1.322,0.757,0.974
"114","Particles",0.0002623,0.893,0.021,154,1917,58.861,0.017,1.275,0.784,0.971
"115","Particles",0.0008238,0.898,0.035,3205,1788,155.606,0.03,1.16,0.862,0.98
"116","Particles",0.0001884,0.716,0.022,3455,2202,7.722,0.011,2.22,0.45,0.955
"117","Particles",0.0004496,0.888,0.027,3147,1971,104.226,0.021,1.301,0.768,0.98
"118","Particles",0.001,0.887,0.048,2717,1542,83.709,0.039,1.216,0.822,0.984
"119","Particles",0.00036,0.898,0.024,3106,1991,68.703,0.02,1.18,0.848,0.971
"120","Fragments",0.0002725,0.375,0.026,2381,3310,44.421,0.016,1.834,0.545,0.844
"22","Particles",0.0001499,0.902,0.015,2674,1839,21.541,0.013,1.184,0.845,0.959
"3","Particles",1.547e-06,0.976,0.002,2396,3260,116.565,0.002,1.035,0.966,0.846
"4","Particles",4.5e-06,0.69,0.004,2376,3302,78.69,0.002,1.873,0.534,0.853
"121","Particles",0.0005761,0.854,0.032,2732,3437,108.435,0.024,1.365,0.733,0.971
"122","Particles",0.0005591,0.902,0.03,3145,2462,140.659,0.025,1.17,0.855,0.98
"123","Particles",0.001,0.825,0.048,3560,1368,103.928,0.03,1.63,0.613,0.982
"124","Particles",0.00074,0.9,0.035,2661,1747,22.954,0.027,1.243,0.805,0.983
"125","Particles",0.000153,0.933,0.015,1311,2726,121.701,0.013,1.089,0.918,0.968
"126","Particles",0.00089,0.904,0.035,3099,2167,96.746,0.033,1.044,0.958,0.981
"127","Fragments",0.022,0.592,0.197,3617,1842,154.363,0.157,1.303,0.768,0.926
"23","Particles",0.022,0.622,0.197,3617,1842,154.363,0.157,1.309,0.764,0.929
"31","Particles",3.769e-05,0.654,0.009,3812,2209,162.35,0.007,1.354,0.738,0.841
"41","Particles",3.811e-05,0.82,0.009,3144,2582,15.255,0.006,1.385,0.722,0.908
"128","Particles",7.495e-05,0.857,0.012,3470,1819,112.479,0.008,1.46,0.685,0.949
"129","Particles",0.0002332,0.908,0.019,2953,1529,22.443,0.017,1.123,0.89,0.967
"130","Particles",4.823e-05,0.934,0.009,3167,1460,115.463,0.007,1.154,0.866,0.954
"131","Particles",0.0002689,0.81,0.025,2111,1873,18.435,0.014,1.8,0.556,0.971
"24","Particles",0.003,0.697,0.076,2958,2381,161.121,0.044,1.748,0.572,0.974
