"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.0002725,0.859,0.021,3350,3473,143.746,0.017,1.224,0.817,0.96
"11","Fragments",0.001,0.592,0.067,3274,2906,22.989,0.026,2.791,0.358,0.944
"12","Particles",0.0002036,0.844,0.02,3019,2267,146.31,0.013,1.563,0.64,0.963
"13","Particles",0.0004345,0.852,0.027,3242,739,12.7,0.021,1.263,0.792,0.972
"2","Particles",0.0008827,0.807,0.045,2294,1122,162.933,0.027,1.68,0.595,0.977
"14","Fragments",0.0009176,0.569,0.039,2857,1787,175.054,0.033,1.122,0.892,0.917
"15","Particles",0.000127,0.821,0.014,3067,760,32.829,0.012,1.105,0.905,0.945
"21","Particles",0.003,0.83,0.076,2786,3141,158.881,0.049,1.578,0.634,0.987
"16","Particles",1.828e-05,0.889,0.005,1773,1439,15.945,0.005,1.153,0.867,0.9
"17","Particles",6.694e-05,0.925,0.01,2877,1672,146.889,0.009,1.144,0.874,0.952
"18","Particles",0.01,0.723,0.128,2954,2643,86.13,0.104,1.1,0.909,0.951
"19","Particles",4.416e-05,0.941,0.008,2306,1886,123.69,0.007,1.104,0.905,0.944
"110","Fragments",0.0009699,0.388,0.045,2399,1225,56.837,0.03,1.303,0.767,0.869
"22","Particles",1.406e-06,0.806,0.002,2440,1116,158.199,0.001,1.74,0.575,0.8
"3","Particles",1.688e-06,0.695,0.002,2453,1125,51.34,0.001,1.741,0.574,0.8
"4","Particles",5.625e-06,0.613,0.004,2446,1121,123.69,0.003,1.435,0.697,0.748
"5","Particles",2.391e-06,0.693,0.002,2395,1184,141.34,0.002,1.169,0.856,0.739
"111","Fragments",0.0006577,0.57,0.046,3375,2800,59.91,0.021,2.521,0.397,0.894
"23","Particles",0.0005958,0.805,0.034,2391,1545,164.141,0.024,1.398,0.715,0.968
"31","Particles",0.002,0.715,0.059,3494,2558,13.681,0.048,1.151,0.869,0.965
"112","Particles",0.001,0.838,0.045,2996,1789,96.183,0.03,1.452,0.689,0.982
"113","Particles",0.0001426,0.738,0.015,1993,2636,160.641,0.013,1.083,0.923,0.928
"114","Particles",0.0001928,0.903,0.018,3132,2342,12.011,0.014,1.292,0.774,0.969
"115","Particles",0.0001284,0.925,0.014,3654,1667,120.7,0.012,1.115,0.897,0.964
"116","Particles",0.0002572,0.849,0.023,2335,2485,147.894,0.015,1.535,0.651,0.967
"117","Particles",0.006,0.669,0.125,2731,2947,66.282,0.064,2.039,0.491,0.97
"118","Fragments",6.145e-05,0.387,0.012,3459,1898,118.887,0.008,1.584,0.631,0.792
"24","Particles",5.583e-05,0.608,0.01,3459,1898,115.641,0.008,1.34,0.746,0.871
"32","Particles",8.438e-07,0.686,0.002,3454,1920,63.435,0.001,1.809,0.553,0.667
"41","Particles",1.125e-06,0.914,0.002,3476,1922,63.435,0.001,1.554,0.644,0.8
"119","Particles",0.022,0.608,0.213,2021,2210,18.371,0.133,1.621,0.617,0.974
"25","Particles",3.937e-06,0.718,0.003,2516,1973,116.565,0.002,1.802,0.555,0.778
"120","Particles",0.0007201,0.733,0.045,2688,387,24.206,0.022,2.036,0.491,0.973
"121","Particles",2.433e-05,0.99,0.006,3297,1352,68.199,0.005,1.06,0.943,0.948
"26","Particles",6.202e-05,0.849,0.011,1648,1648,74.578,0.007,1.61,0.621,0.949
"122","Particles",0.0008113,0.699,0.039,2357,2320,19.316,0.028,1.303,0.768,0.95
"123","Particles",0.000124,0.912,0.014,3129,2124,119.358,0.012,1.137,0.879,0.959
"124","Particles",0.0003331,0.797,0.028,532,3592,23.499,0.016,1.853,0.54,0.97
"125","Particles",7.959e-05,0.865,0.012,1908,3348,162.121,0.009,1.419,0.705,0.953
"126","Particles",0.0002762,0.793,0.025,3252,2420,174.036,0.014,1.872,0.534,0.965
"127","Particles",0.0009429,0.731,0.044,2468,1951,113.263,0.028,1.571,0.637,0.969
"128","Particles",0.0001659,0.863,0.019,2686,1948,68.629,0.012,1.601,0.625,0.97
"129","Particles",7.298e-05,0.726,0.012,2320,2924,150.255,0.009,1.414,0.707,0.901
"130","Fragments",0.0002959,0.535,0.035,2787,1067,114.087,0.011,3.438,0.291,0.936
"131","Particles",3.727e-05,0.964,0.007,3389,2343,165.256,0.007,1.033,0.968,0.945
"132","Particles",0.0003938,0.776,0.031,3455,2337,149.744,0.017,1.922,0.52,0.968
"133","Particles",0.0004347,0.618,0.031,2536,2076,21.93,0.021,1.439,0.695,0.943
"27","Particles",0.0008966,0.758,0.04,2577,2092,175.147,0.031,1.22,0.82,0.959
"134","Particles",0.0004288,0.779,0.032,2160,1776,145.939,0.018,1.866,0.536,0.963
"135","Particles",0.0001634,0.835,0.019,2171,2022,10.408,0.011,1.676,0.597,0.966
"136","Particles",1.336e-05,0.932,0.005,2485,2850,158.962,0.003,1.497,0.668,0.927
"137","Particles",6.441e-05,0.916,0.01,2996,1053,59.421,0.009,1.046,0.956,0.944
"138","Particles",0.0001813,0.908,0.016,3939,2330,74.055,0.015,1.118,0.894,0.963
"139","Particles",0.0004472,0.833,0.03,2705,878,145.528,0.019,1.607,0.622,0.975
"140","Particles",0.002,0.665,0.08,2423,1498,163.173,0.046,1.858,0.538,0.917
"141","Particles",0.002,0.709,0.058,2191,1880,154.601,0.041,1.421,0.703,0.969
"142","Particles",0.001,0.837,0.053,2685,1949,142.232,0.038,1.448,0.691,0.978
"143","Particles",0.0002237,0.93,0.018,3684,2400,57.619,0.016,1.109,0.902,0.973
"144","Particles",5.667e-05,0.914,0.01,3552,3851,157.38,0.008,1.255,0.797,0.946
"145","Fragments",0.003,0.536,0.09,2288,1865,117.204,0.045,2.155,0.464,0.889
"28","Particles",5.78e-05,0.76,0.01,2290,1889,77.471,0.008,1.281,0.781,0.912
"146","Particles",0.0002964,0.863,0.024,2588,2383,99.904,0.015,1.533,0.652,0.975
"147","Particles",0.0004995,0.843,0.032,2095,1785,38.234,0.021,1.529,0.654,0.973
"148","Particles",0.0003267,0.897,0.022,2272,1638,38.811,0.019,1.149,0.871,0.97
"29","Particles",2.925e-05,0.978,0.007,3088,2672,30.964,0.006,1.015,0.985,0.945
"149","Particles",0.000331,0.833,0.025,2297,1181,52.792,0.017,1.475,0.678,0.965
"150","Particles",0.0009205,0.872,0.038,2875,1754,53.471,0.033,1.118,0.895,0.976
"151","Particles",0.0001218,0.909,0.014,3220,1706,101.004,0.012,1.178,0.849,0.958
"210","Particles",0.0004867,0.885,0.028,3157,1748,110.821,0.022,1.294,0.773,0.978
"152","Particles",0.0001052,0.934,0.012,2499,2054,54.866,0.011,1.05,0.953,0.962
"153","Particles",0.0005297,0.908,0.028,3374,1202,12.529,0.024,1.107,0.903,0.979
"211","Particles",0.0004711,0.912,0.026,3451,1269,114.305,0.024,1.058,0.945,0.976
"33","Particles",0.0003545,0.898,0.024,2238,3068,173.66,0.019,1.206,0.829,0.974
"154","Particles",9.563e-05,0.91,0.013,1839,1897,166.373,0.01,1.283,0.78,0.96
"155","Particles",2.995e-05,0.937,0.007,2903,1077,45,0.006,1.026,0.975,0.942
"156","Particles",0.0001882,0.927,0.016,2953,1504,101.821,0.015,1.089,0.918,0.97
"157","Particles",6.455e-05,0.932,0.009,3702,500,99.09,0.009,1.019,0.981,0.947
"212","Particles",0.0001439,0.831,0.018,3651,659,129.806,0.011,1.688,0.592,0.955
"158","Particles",0.0006512,0.874,0.033,2105,2192,97.853,0.026,1.278,0.783,0.978
