"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.0006683,0.715,0.043,2476,2467,105.739,0.02,2.202,0.454,0.969
"11","Particles",0.001,0.821,0.051,3328,1759,94.624,0.029,1.714,0.583,0.984
"12","Particles",0.0003805,0.877,0.026,2381,1865,71.565,0.019,1.36,0.735,0.974
"13","Particles",0.0002267,0.917,0.018,3023,1904,163.413,0.016,1.109,0.902,0.97
"14","Particles",0.001,0.757,0.049,3751,951,140.587,0.027,1.938,0.516,0.957
"2","Particles",5.794e-05,0.894,0.011,2153,1255,53.531,0.007,1.519,0.658,0.95
"15","Particles",0.000702,0.903,0.032,1409,2392,108.004,0.028,1.097,0.912,0.979
"16","Particles",1.35e-05,0.911,0.005,2377,810,24.775,0.003,1.499,0.667,0.932
"17","Fragments",0.009,0.304,0.168,956,1735,69.548,0.096,1.584,0.631,0.738
"21","Particles",0.002,0.697,0.069,1003,1461,52.07,0.046,1.441,0.694,0.957
"3","Particles",0.002,0.751,0.059,1004,1581,49.399,0.045,1.054,0.949,0.961
"18","Particles",0.002,0.879,0.057,1985,2133,121.092,0.049,1.132,0.883,0.985
"19","Particles",0.0001976,0.862,0.02,2584,1589,142.028,0.013,1.521,0.657,0.963
"22","Particles",2.644e-05,0.913,0.007,2547,1610,126.254,0.005,1.287,0.777,0.928
"31","Particles",1.364e-05,0.97,0.005,3299,3537,112.62,0.004,1.18,0.848,0.911
"4","Particles",0.0003919,0.875,0.027,1866,3867,159.538,0.019,1.392,0.718,0.974
"110","Particles",0.001,0.789,0.051,1635,2192,142.125,0.03,1.761,0.568,0.966
"111","Particles",0.002,0.833,0.056,2165,2304,85.014,0.034,1.62,0.617,0.986
"23","Particles",0.0005417,0.753,0.038,2202,3754,100.305,0.018,2.135,0.468,0.979
"112","Particles",8.578e-06,0.913,0.004,2270,2614,52.125,0.003,1.397,0.716,0.904
"113","Particles",0.0004608,0.849,0.029,2307,2244,8.858,0.022,1.386,0.722,0.976
"114","Particles",0.0001001,0.899,0.013,2935,1091,22.989,0.01,1.368,0.731,0.961
"24","Particles",0.005,0.759,0.103,3577,1442,168.854,0.075,1.319,0.758,0.959
"32","Particles",0.003,0.774,0.075,3724,1607,162.646,0.067,1.03,0.971,0.966
"115","Particles",0.004,0.815,0.078,3298,1658,141.47,0.059,1.251,0.799,0.979
"116","Particles",0.0003675,0.781,0.03,3510,609,109.799,0.016,1.928,0.519,0.97
"117","Particles",1.336e-05,0.919,0.005,4144,2272,36.027,0.004,1.401,0.714,0.913
"118","Particles",6.75e-05,0.856,0.012,2034,3675,14.931,0.007,1.625,0.615,0.952
"119","Particles",7.031e-05,0.933,0.01,2289,3302,165.466,0.009,1.146,0.873,0.953
"120","Particles",2.433e-05,0.923,0.006,2970,536,122.735,0.006,1.091,0.917,0.915
"25","Particles",0.004,0.889,0.076,2225,2394,13.9,0.068,1.061,0.942,0.989
"121","Particles",0.0002759,0.927,0.02,3258,1277,32.471,0.019,1.04,0.962,0.974
"122","Particles",0.00027,0.916,0.021,2120,1559,109.093,0.017,1.195,0.837,0.975
"26","Particles",9.141e-06,0.973,0.004,3443,2798,111.801,0.003,1.291,0.774,0.922
"123","Particles",7.58e-05,0.843,0.012,3886,1479,54.866,0.008,1.617,0.618,0.937
"124","Particles",0.001,0.813,0.046,3412,3591,83.506,0.027,1.738,0.575,0.983
"27","Particles",7.144e-05,0.691,0.014,1297,3766,105.524,0.007,2.182,0.458,0.928
"125","Particles",4.092e-05,0.713,0.009,3038,2636,119.745,0.006,1.424,0.702,0.887
"126","Particles",0.0001111,0.769,0.017,4531,1910,10.305,0.008,2.152,0.465,0.965
"127","Particles",0.0002914,0.907,0.022,3656,1995,14.995,0.017,1.255,0.797,0.975
"128","Particles",0.0006518,0.894,0.031,3902,1563,36.18,0.028,1.103,0.907,0.98
"28","Particles",0.001,0.852,0.049,1227,3333,102.766,0.036,1.36,0.735,0.977
"129","Particles",0.0001277,0.891,0.015,2045,2641,99.926,0.01,1.422,0.703,0.965
"130","Fragments",8.438e-07,0.39,0.002,2858,2514,158.199,0.001,2.352,0.425,0.545
"29","Fragments",4.106e-05,0.449,0.009,2852,2516,139.899,0.008,1.214,0.824,0.774
"131","Particles",9.886e-05,0.929,0.012,2673,1397,142.765,0.011,1.029,0.971,0.961
"210","Particles",0.0008471,0.906,0.036,2770,1480,155.056,0.031,1.135,0.881,0.983
"132","Particles",0.001,0.821,0.047,2485,3593,79.939,0.033,1.417,0.706,0.977
"133","Particles",0.0003653,0.906,0.023,2017,2087,12.926,0.02,1.143,0.875,0.974
"134","Particles",0.0001042,0.813,0.016,2234,844,99.689,0.008,1.933,0.517,0.968
"135","Particles",0.001,0.873,0.049,2673,2408,6.963,0.039,1.207,0.828,0.985
"136","Particles",0.007,0.839,0.102,2010,1986,78.318,0.091,1.096,0.913,0.987
