"","names","cat","area"
"1","paper4","paper",0.0044357
"2","paper4","paper",8.648e-05
"3","paper4","paper",0.0055643129
"4","paper4","paper",0.0040053437
"5","paper4","paper",0.0245241828
"6","paper4","paper",0.0010275405
"7","paper4","paper",0.0167602844
"8","paper4","paper",0.0077983
"9","paper4","paper",0.00537883
"10","paper4","paper",0.002001125
"11","paper4","paper",0.025542634
"12","paper4","paper",0.0112706
"13","paper4","paper",0.0200185623
"14","paper4","paper",0.0391293568
"15","paper4","paper",0.0006695
"16","paper4","paper",0.0118323
