"","names","cat","area"
"1","plastic1","plastic",0.0007277
"2","plastic1","plastic",0.00060819
"3","plastic1","plastic",0.0546735089
"4","plastic1","plastic",0.0293319905
"5","plastic1","plastic",0.0010981
"6","plastic1","plastic",0.001
"7","plastic1","plastic",0.002482628
"8","plastic1","plastic",0.00702307
"9","plastic1","plastic",0.00109802
"10","plastic1","plastic",3.122e-05
"11","plastic1","plastic",0.002
"12","plastic1","plastic",6.187e-05
"13","plastic1","plastic",0.0015608
"14","plastic1","plastic",0.0005827
"15","plastic1","plastic",0.00102518
"16","plastic1","plastic",0.0019011
"17","plastic1","plastic",0.00746853
"18","plastic1","plastic",0.00289339
"19","plastic1","plastic",0.009859
"20","plastic1","plastic",0.015
"21","plastic1","plastic",0.0004666
"22","plastic1","plastic",0.01301507
"23","plastic1","plastic",0.0183834
"24","plastic1","plastic",0.0332839
"25","plastic1","plastic",0.007
"26","plastic1","plastic",0.00122291
"27","plastic1","plastic",0.0162485
"28","plastic1","plastic",0.001
"29","plastic1","plastic",0.004
"30","plastic1","plastic",5.161e-05
"31","plastic1","plastic",0.00254
"32","plastic1","plastic",0.002
"33","plastic1","plastic",0.002
"34","plastic1","plastic",0.0031703
"35","plastic1","plastic",0.0025335
"36","plastic1","plastic",0.0009375
"37","plastic1","plastic",0.0004358
"38","plastic1","plastic",0.0003967
"39","plastic1","plastic",0.00039197
"40","plastic1","plastic",0.0252740119
"41","plastic1","plastic",0.00090615
"42","plastic1","plastic",0.0007999
"43","plastic1","plastic",0.0003721
"44","plastic1","plastic",2.363e-05
