"","names","cat","area"
"1","paper14","paper1",0.0037628
"2","paper14","paper1",0.0004091
"3","paper14","paper1",0.0025895
"4","paper14","paper1",0.0011301
"5","paper14","paper1",0.0001209
"6","paper14","paper1",0.00022509
"7","paper14","paper1",0.0005597
"8","paper14","paper1",4.458e-05
"9","paper14","paper1",0.0005453
"10","paper14","paper1",0.001106
"11","paper14","paper1",0.0058211
"12","paper14","paper1",0.000286
"13","paper14","paper1",0.0006376
"14","paper14","paper1",0.00031122
"15","paper14","paper1",0.00062075
"16","paper14","paper1",0.0196077
"17","paper14","paper1",0.00186469
"18","paper14","paper1",0.0001922
"19","paper14","paper1",0.001179975
"20","paper14","paper1",0.0004178
"21","paper14","paper1",0.00123823
"22","paper14","paper1",0.00038069
"23","paper14","paper1",0.007
"24","paper14","paper1",0.0013223
