"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.001,0.896,0.044,1742,1496,21.073,0.037,1.146,0.873,0.986
"11","Particles",0.002,0.775,0.056,3134,2411,70.115,0.041,1.325,0.754,0.972
"12","Particles",0.0003088,0.861,0.023,2485,2203,144.782,0.018,1.311,0.763,0.966
"13","Particles",0.0008259,0.89,0.037,2932,2175,174.114,0.029,1.248,0.801,0.982
"14","Particles",0.0002631,0.859,0.023,3630,2478,78.69,0.015,1.554,0.643,0.971
"15","Fibers",0.0004077,0.295,0.032,773,3499,28.346,0.02,1.587,0.63,0.844
"2","Fragments",8.648e-05,0.34,0.013,912,3339,30.379,0.011,1.127,0.888,0.831
"3","Fragments",0.0001886,0.38,0.019,663,3540,18.435,0.015,1.297,0.771,0.854
"4","Particles",0.002,0.813,0.052,2184,2414,85.855,0.04,1.345,0.744,0.974
"5","Particles",1.125e-06,1,0.002,938,3322,135,0.001,1.229,0.814,0.941
"6","Particles",4.5e-06,0.658,0.004,938,3339,68.199,0.002,2.187,0.457,0.831
"7","Particles",5.625e-07,0.857,0.001,792,3453,33.69,0.00075,2,0.5,0.8
"8","Particles",7.031e-07,0.873,0.002,843,3469,135,0.0007955,2.308,0.433,0.769
"9","Particles",2.953e-06,0.856,0.003,831,3480,116.565,0.002,1.285,0.778,0.808
"10","Particles",0.0002905,0.839,0.025,3018,3869,147.995,0.016,1.596,0.627,0.97
"16","Particles",0.000448,0.855,0.029,3225,1797,171.027,0.021,1.368,0.731,0.971
"17","Particles",0.000651,0.746,0.034,4001,1664,20.854,0.028,1.237,0.809,0.955
"21","Particles",0.0001837,0.912,0.016,3484,1920,165.324,0.015,1.078,0.927,0.967
"18","Particles",0.0002185,0.845,0.021,1882,1901,159.326,0.014,1.582,0.632,0.965
"19","Fragments",0.0001215,0.586,0.021,3042,2169,19.093,0.008,2.971,0.337,0.878
"110","Particles",0.0008138,0.863,0.038,1828,1957,53.354,0.029,1.315,0.761,0.981
"111","Particles",0.0002268,0.918,0.019,3651,2309,15.154,0.016,1.164,0.859,0.971
"112","Particles",0.000411,0.892,0.026,2521,2096,57.465,0.021,1.245,0.803,0.974
"22","Particles",0.0003125,0.715,0.024,2983,2116,129.226,0.018,1.32,0.758,0.945
"113","Particles",4.669e-05,0.936,0.008,2381,2403,110.854,0.007,1.093,0.915,0.947
"114","Particles",7.72e-05,0.913,0.011,3143,2421,161.565,0.01,1.084,0.923,0.948
"115","Particles",0.002,0.81,0.053,4384,2086,126.146,0.039,1.309,0.764,0.969
