"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.008,0.718,0.13,2467,1873,97.31,0.082,1.605,0.623,0.945
"11","Particles",0.001,0.85,0.045,3802,2020,95.237,0.03,1.494,0.669,0.983
"12","Particles",0.0006813,0.654,0.043,3759,2537,107.176,0.022,2.093,0.478,0.91
"13","Particles",0.0005515,0.868,0.028,2424,2081,100.856,0.026,1.064,0.94,0.974
"14","Particles",0.0005373,0.909,0.028,2490,2089,112.797,0.025,1.141,0.877,0.978
"15","Particles",0.0001723,0.879,0.018,3114,1295,36.384,0.013,1.389,0.72,0.963
"16","Particles",3.038e-05,0.929,0.007,2209,2125,130.601,0.006,1.024,0.977,0.945
"17","Particles",0.0001688,0.91,0.016,3155,2242,37.405,0.014,1.155,0.866,0.965
"18","Particles",0.000162,0.696,0.022,2966,1744,121.477,0.009,2.363,0.423,0.948
"110","Fibers",0.002,0.212,0.062,2479,873,11.782,0.038,1.71,0.585,0.87
"2","Fragments",1.266e-06,0.521,0.003,2550,837,26.565,0.001,3.433,0.291,0.643
"3","Fragments",1.125e-06,0.479,0.003,2539,843,26.565,0.0008301,4,0.25,0.667
"4","Fragments",6.609e-05,0.375,0.012,2450,882,132.397,0.009,1.319,0.758,0.786
"5","Fragments",2.25e-06,0.401,0.004,2490,902,126.87,0.001,3.628,0.276,0.582
"6","Particles",2.531e-06,0.645,0.003,2592,816,159.444,0.001,2.496,0.401,0.783
"7","Particles",4.219e-07,1,0.001,2573,822,45,0.00075,1.464,0.683,0.857
"8","Particles",4.641e-06,0.965,0.003,2601,826,39.806,0.002,1.098,0.911,0.892
"9","Particles",2.25e-06,0.795,0.003,2616,827,116.565,0.002,1.692,0.591,0.821
"10","Particles",1.969e-06,0.75,0.003,2524,849,26.565,0.001,2.219,0.451,0.778
"111","Particles",1.969e-06,0.911,0.002,2515,851,149.036,0.002,1.461,0.684,0.824
"121","Particles",4.641e-06,0.803,0.003,2636,863,135,0.002,1.094,0.914,0.88
"131","Particles",5.203e-06,0.668,0.004,2480,868,111.801,0.002,2.09,0.478,0.755
"141","Particles",2.953e-06,0.666,0.003,2639,878,75.964,0.002,1.838,0.544,0.808
"151","Particles",1.547e-06,0.887,0.002,2460,878,149.036,0.001,1.892,0.528,0.88
"161","Particles",2.672e-06,0.64,0.003,2452,881,172.875,0.002,2.242,0.446,0.76
"171","Particles",1.547e-06,0.853,0.002,2448,884,168.69,0.002,1.27,0.788,0.759
"181","Particles",1.547e-06,0.887,0.002,2484,888,111.801,0.001,1.714,0.583,0.846
"19","Particles",4.219e-07,1,0.001,2487,895,45,0.00075,1.464,0.683,0.857
"20","Particles",9.141e-06,0.796,0.005,2464,903,28.61,0.003,1.533,0.652,0.855
"21","Particles",1.547e-06,0.976,0.002,2449,897,158.199,0.001,1.454,0.688,0.846
"22","Particles",9.844e-07,1,0.001,2463,908,123.69,0.001,1.069,0.936,0.875
"23","Particles",2.25e-06,0.719,0.003,2598,915,63.435,0.002,1.784,0.561,0.78
"24","Particles",1.406e-06,0.982,0.002,2490,913,26.565,0.002,1.165,0.858,0.769
"25","Particles",2.672e-06,0.853,0.003,2593,919,63.435,0.002,1.496,0.669,0.864
"26","Particles",6.469e-06,0.795,0.004,2497,915,150.945,0.003,1.525,0.656,0.829
"27","Particles",2.953e-06,0.6,0.003,2507,919,125.538,0.002,2.204,0.454,0.689
"28","Particles",2.25e-06,0.958,0.002,2573,929,51.34,0.002,1.443,0.693,0.889
"29","Particles",1.688e-06,1,0.002,2538,927,126.87,0.002,1.281,0.781,0.857
"30","Particles",5.063e-06,0.726,0.004,2523,928,150.945,0.002,1.795,0.557,0.809
"31","Particles",4.219e-07,1,0.001,2536,934,45,0.00075,1.464,0.683,0.857
"112","Particles",0.0001806,0.913,0.017,3614,2080,61.699,0.014,1.149,0.87,0.965
"113","Particles",1.364e-05,0.951,0.005,2352,2685,108.435,0.004,1.197,0.835,0.928
"114","Particles",0.0006656,0.9,0.032,3106,1292,36.87,0.028,1.119,0.894,0.98
"115","Particles",4.163e-05,0.944,0.008,3029,1401,123.69,0.007,1.153,0.868,0.944
"116","Particles",0.0002935,0.884,0.023,3048,1398,78.69,0.016,1.398,0.716,0.971
"117","Particles",7.073e-05,0.751,0.011,2380,2154,132.274,0.009,1.239,0.807,0.916
"118","Particles",0.000701,0.753,0.041,2227,2060,127.504,0.027,1.547,0.646,0.965
"210","Particles",0.0005487,0.802,0.033,2184,2138,62.571,0.021,1.463,0.684,0.979
"119","Particles",0.0009117,0.887,0.039,1988,2372,80.087,0.031,1.246,0.803,0.981
"120","Particles",0.000543,0.861,0.032,2755,2199,158.819,0.022,1.462,0.684,0.978
"122","Particles",7.833e-05,0.879,0.012,1788,1679,72.121,0.008,1.503,0.665,0.957
"123","Particles",0.0004008,0.837,0.026,2797,2005,52.633,0.021,1.266,0.79,0.964
"124","Particles",9.703e-06,0.857,0.005,2956,1947,108.435,0.003,1.583,0.632,0.89
"125","Particles",0.0002115,0.861,0.02,2759,1275,72.582,0.014,1.468,0.681,0.967
"211","Particles",0.0005503,0.884,0.028,3032,3040,79.287,0.025,1.097,0.912,0.974
"126","Fragments",0.001,0.579,0.073,2724,1102,94.149,0.025,2.874,0.348,0.962
"127","Particles",0.001,0.795,0.049,3150,2232,32.237,0.028,1.833,0.545,0.979
"128","Particles",0.0001884,0.688,0.023,2966,2029,172.528,0.011,2.299,0.435,0.951
"129","Particles",0.0001853,0.883,0.018,3862,1930,113.839,0.014,1.258,0.795,0.961
"212","Particles",0.0002384,0.882,0.019,1825,2345,172.185,0.016,1.186,0.843,0.964
"130","Particles",0.0001336,0.896,0.015,2615,2144,171.469,0.011,1.325,0.755,0.963
"132","Particles",0.003,0.903,0.062,2831,2486,21.482,0.058,1.047,0.955,0.989
"133","Particles",0.007,0.802,0.108,1836,1738,127.387,0.08,1.332,0.751,0.983
"134","Particles",0.0003542,0.797,0.029,1729,2342,106.771,0.016,1.817,0.55,0.97
"135","Particles",5.259e-05,0.917,0.009,2355,2419,146.976,0.008,1.133,0.883,0.941
"136","Particles",0.0008175,0.866,0.036,2674,1978,170.34,0.03,1.153,0.867,0.979
"137","Particles",0.0003817,0.908,0.024,2836,1982,162.962,0.021,1.173,0.852,0.976
"138","Particles",0.0009273,0.889,0.038,3131,2025,28.566,0.031,1.236,0.809,0.982
"139","Particles",0.0003618,0.864,0.027,2637,1894,123.024,0.018,1.505,0.664,0.975
"140","Particles",0.002,0.834,0.064,2998,1792,61.496,0.04,1.606,0.623,0.986
"142","Particles",0.0002278,0.854,0.021,1593,1961,105.524,0.014,1.503,0.665,0.967
"143","Particles",0.0005406,0.88,0.03,2497,2151,159.955,0.025,1.206,0.829,0.972
"144","Particles",3.825e-05,0.926,0.008,2899,2215,36.87,0.007,1.035,0.966,0.933
"145","Particles",0.0009295,0.807,0.043,2704,2787,109.552,0.028,1.511,0.662,0.975
"146","Particles",0.0002475,0.753,0.025,3046,1617,23.085,0.014,1.95,0.513,0.938
"147","Particles",9.534e-05,0.907,0.013,3130,1000,150.461,0.01,1.263,0.792,0.956
"148","Particles",0.0004226,0.79,0.026,1823,2464,33.917,0.021,1.264,0.791,0.962
"149","Particles",0.0003617,0.856,0.024,2804,2934,98.13,0.02,1.222,0.819,0.97
"150","Particles",0.0002263,0.919,0.018,2515,1940,19.179,0.016,1.099,0.91,0.971
"152","Particles",0.001,0.891,0.041,2887,2269,95.763,0.037,1.088,0.919,0.982
"153","Particles",3.023e-05,0.954,0.007,2305,1134,128.66,0.006,1.066,0.938,0.962
"154","Fragments",0.005,0.568,0.134,3455,2065,67.306,0.058,2.408,0.415,0.958
"213","Particles",3.08e-05,0.946,0.007,2599,2198,51.843,0.006,1.009,0.991,0.932
"155","Particles",0.000169,0.838,0.019,3230,1454,99.09,0.011,1.677,0.596,0.972
"214","Particles",2.039e-05,0.944,0.006,2581,2379,168.69,0.005,1.131,0.884,0.915
"156","Particles",0.0003499,0.732,0.031,2867,1273,83.13,0.014,2.263,0.442,0.974
"157","Particles",2.194e-05,0.963,0.006,1965,1813,55.305,0.005,1.135,0.881,0.926
"158","Particles",0.000569,0.891,0.031,1492,1527,10.62,0.024,1.27,0.788,0.979
"159","Particles",0.0005685,0.892,0.031,3780,1510,83.66,0.024,1.24,0.807,0.978
"160","Particles",0.0002479,0.891,0.02,3015,2143,52.696,0.017,1.198,0.835,0.968
"162","Particles",0.0002229,0.828,0.022,1856,2498,99.782,0.012,1.761,0.568,0.974
"163","Particles",0.0003191,0.87,0.022,1684,3561,115.677,0.019,1.099,0.91,0.966
"164","Particles",0.0004745,0.872,0.029,2299,897,83.333,0.022,1.331,0.752,0.975
"165","Particles",5.78e-05,0.918,0.01,3313,1645,119.476,0.008,1.302,0.768,0.952
"166","Particles",0.0002354,0.724,0.023,3263,1976,6.654,0.014,1.583,0.632,0.943
"167","Particles",9.309e-05,0.912,0.012,2560,2033,60.255,0.01,1.146,0.873,0.954
"168","Particles",0.0004373,0.916,0.024,2522,3315,99.752,0.024,1.018,0.983,0.977
"169","Particles",3.937e-06,1,0.003,3031,2638,113.199,0.002,1.307,0.765,0.903
