"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.001,0.823,0.047,1689,2799,120.42,0.033,1.447,0.691,0.975
"11","Particles",0.003,0.636,0.09,3263,2211,67.27,0.055,1.769,0.565,0.941
"12","Particles",0.001,0.846,0.048,3418,2336,50.08,0.031,1.542,0.648,0.982
"13","Particles",9.914e-05,0.923,0.012,2675,1678,125.134,0.011,1.153,0.867,0.955
"14","Particles",0.0005472,0.811,0.028,3277,2180,121.759,0.026,1.077,0.928,0.966
"15","Particles",0.0003192,0.871,0.025,1790,1562,149.931,0.017,1.472,0.679,0.973
"16","Fragments",0.002,0.386,0.063,1472,3204,113.199,0.044,1.309,0.764,0.874
"2","Fragments",1.266e-06,0.461,0.003,1460,3260,74.055,0.00075,4.065,0.246,0.783
"3","Fragments",4.219e-07,0.524,0.002,1469,3270,135,0.0005303,4.123,0.243,0.6
"4","Particles",8.016e-05,0.941,0.011,2742,2135,67.834,0.009,1.112,0.9,0.961
"5","Particles",7.031e-07,0.641,0.002,1568,3304,36.87,0.0007955,3.053,0.328,0.625
"17","Particles",0.0004002,0.899,0.025,3786,1581,22.286,0.022,1.129,0.886,0.97
"21","Particles",0.0002462,0.64,0.02,3676,1637,28.009,0.016,1.182,0.846,0.931
"18","Particles",0.0001416,0.881,0.016,2202,2368,13.707,0.012,1.348,0.742,0.96
"19","Particles",4.219e-07,0.809,0.001,1908,2500,108.435,0.000375,3,0.333,1
"110","Particles",6.033e-05,0.903,0.009,3650,2573,9.09,0.009,1.084,0.923,0.939
"111","Particles",2.7e-05,0.932,0.007,4067,1330,42.709,0.006,1.082,0.925,0.934
"112","Particles",0.000614,0.892,0.031,2367,1725,102.381,0.024,1.286,0.778,0.981
"113","Particles",0.0001022,0.684,0.014,2882,2206,4.635,0.011,1.359,0.736,0.908
"114","Particles",5.541e-05,0.95,0.009,2655,1716,123.024,0.008,1.03,0.971,0.954
"115","Particles",0.000325,0.752,0.024,2780,1801,163.811,0.018,1.339,0.747,0.958
"116","Particles",0.0001915,0.805,0.019,3219,1948,16.26,0.014,1.386,0.722,0.956
"117","Fragments",0.0009793,0.404,0.059,3199,1528,9.162,0.023,2.777,0.36,0.887
"22","Particles",1.266e-06,1,0.002,3246,1545,53.13,0.001,1.542,0.648,0.857
"118","Particles",0.0002206,0.903,0.019,2742,1523,164.055,0.015,1.261,0.793,0.968
"23","Particles",0.0002517,0.907,0.019,1830,3223,38.66,0.017,1.111,0.9,0.972
"119","Fibers",0.0001747,0.271,0.021,2362,1985,173.774,0.015,1.249,0.801,0.791
"24","Fragments",8.719e-06,0.309,0.006,2348,1982,113.199,0.003,1.819,0.55,0.639
"31","Particles",7.031e-07,0.873,0.001,2405,1974,108.435,0.001,1,1,0.714
"41","Particles",4.219e-07,1,0.001,2408,1981,45,0.00075,1.464,0.683,0.857
"51","Particles",5.625e-07,1,0.001,2358,1989,33.69,0.00075,2.031,0.492,0.8
"6","Particles",3.656e-06,0.703,0.003,2353,1996,63.435,0.002,1.82,0.549,0.788
"7","Particles",1.406e-06,1,0.002,2364,1998,153.435,0.001,1.236,0.809,0.909
"8","Particles",1.969e-06,0.75,0.003,2368,2007,153.435,0.002,1.877,0.533,0.778
"120","Particles",0.0002409,0.845,0.022,3709,2384,148.707,0.014,1.639,0.61,0.963
"121","Particles",0.011,0.72,0.125,2256,1845,43.059,0.119,1.042,0.96,0.971
"122","Particles",0.0002284,0.893,0.019,2881,2172,11.094,0.015,1.26,0.794,0.968
"123","Fragments",0.0006808,0.457,0.032,2508,1432,79.992,0.03,1.048,0.955,0.913
"25","Particles",1.547e-06,0.887,0.002,2527,1352,21.801,0.001,1.772,0.564,0.846
"32","Particles",2.391e-06,0.649,0.003,2501,1357,45,0.002,2.148,0.465,0.739
"42","Particles",4.219e-07,0.643,0.001,2562,1410,56.31,0.0006708,2.702,0.37,0.667
"52","Particles",7.031e-07,1,0.001,2731,1712,33.69,0.00075,1.553,0.644,0.909
"124","Particles",0.000326,0.646,0.024,2374,2799,158.199,0.018,1.381,0.724,0.941
"125","Particles",0.0004044,0.86,0.027,2565,1860,170.538,0.019,1.445,0.692,0.975
"126","Particles",0.003,0.702,0.065,2337,2633,97.943,0.051,1.275,0.784,0.974
"127","Fragments",0.004,0.539,0.103,2470,1958,4.175,0.051,1.82,0.549,0.937
"26","Particles",0.004,0.609,0.096,2470,1944,176.858,0.051,1.773,0.564,0.959
"33","Particles",4.542e-05,0.708,0.01,2726,1956,52.696,0.007,1.552,0.645,0.877
"128","Particles",0.0005889,0.84,0.032,2610,2112,169.089,0.024,1.258,0.795,0.962
"27","Particles",5.625e-06,0.722,0.004,2347,2674,163.301,0.002,2.058,0.486,0.808
"129","Particles",0.0001475,0.9,0.015,2119,2396,169.824,0.013,1.135,0.881,0.959
"130","Particles",0.0003783,0.893,0.024,2545,3895,112.135,0.02,1.152,0.868,0.971
"131","Particles",0.003,0.738,0.072,2778,1673,48.786,0.047,1.51,0.662,0.972
"132","Particles",9.563e-06,0.877,0.005,1989,2839,99.462,0.003,1.559,0.641,0.883
"133","Particles",3.277e-05,0.872,0.007,3428,876,38.66,0.006,1.012,0.988,0.926
"134","Particles",0.0001747,0.868,0.018,1812,2215,149.237,0.013,1.476,0.678,0.965
"28","Particles",0.0005462,0.724,0.038,1759,3872,173.845,0.019,2.083,0.48,0.968
"135","Particles",0.0003594,0.863,0.023,2587,1495,20.772,0.021,1.101,0.908,0.969
"29","Particles",0.000132,0.914,0.014,2254,2830,131.634,0.013,1.017,0.983,0.959
"136","Particles",0.000667,0.747,0.032,2088,2274,142.722,0.029,1.061,0.942,0.961
"137","Particles",0.0006016,0.661,0.036,2427,3332,51.809,0.022,1.605,0.623,0.948
"138","Particles",0.002,0.657,0.07,3685,1939,119.859,0.043,1.624,0.616,0.968
