"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Fragments",0.000352,0.449,0.037,3176,1745,31.457,0.015,2.835,0.353,0.827
"2","Particles",0.0001102,0.936,0.013,5673,1326,146.768,0.011,1.142,0.875,0.965
"3","Particles",9.478e-05,0.744,0.014,3225,1699,4.635,0.01,1.378,0.726,0.923
"4","Particles",4.219e-07,1,0.001,3233,1725,135,0.00075,1.464,0.683,0.857
"5","Particles",0.0003431,0.879,0.025,2503,2841,78.69,0.018,1.391,0.719,0.975
"11","Particles",0.005,0.712,0.114,3245,1593,138.195,0.062,1.956,0.511,0.967
"12","Particles",0.0007649,0.853,0.038,3071,3543,96.843,0.026,1.424,0.702,0.978
"13","Particles",0.0006065,0.914,0.029,2789,1677,168.835,0.027,1.073,0.932,0.981
"21","Particles",0.002,0.909,0.055,3622,2584,40.815,0.05,1.068,0.936,0.988
"14","Particles",0.001,0.707,0.047,2462,1733,111.038,0.032,1.449,0.69,0.966
"15","Particles",0.002,0.745,0.066,3783,1392,3.597,0.055,1.19,0.84,0.944
"16","Particles",7.608e-05,0.855,0.012,2731,1129,32.735,0.008,1.609,0.622,0.95
"17","Particles",0.002,0.844,0.061,4429,2009,77.586,0.05,1.213,0.824,0.969
"18","Particles",0.002,0.774,0.066,1269,3864,4.224,0.053,1.249,0.801,0.95
"19","Particles",0.001,0.83,0.046,2683,1853,34.606,0.032,1.386,0.722,0.975
"110","Particles",0.003,0.88,0.066,1864,2000,103.408,0.058,1.118,0.894,0.985
"111","Particles",0.0001353,0.858,0.017,2456,1596,158.682,0.011,1.536,0.651,0.95
"112","Particles",0.0001935,0.815,0.021,3759,1399,9.462,0.012,1.74,0.575,0.964
"113","Particles",0.0001464,0.827,0.018,3893,2879,13.449,0.01,1.71,0.585,0.965
"114","Particles",0.0003825,0.913,0.023,2302,1865,31.908,0.021,1.086,0.921,0.975
"115","Particles",0.0004348,0.898,0.026,2618,662,15.611,0.022,1.194,0.838,0.976
"116","Particles",0.0006917,0.877,0.034,2707,2738,12.184,0.027,1.234,0.81,0.978
"117","Particles",0.002,0.803,0.068,3510,2231,168.503,0.047,1.416,0.706,0.979
"118","Fragments",0.101,0.508,0.486,2719,1641,119.674,0.307,1.589,0.629,0.907
"22","Fragments",1.969e-06,0.348,0.004,3561,2206,101.31,0.0008837,6.087,0.164,0.636
"31","Particles",0.046,0.628,0.303,2593,1791,177.59,0.228,1.208,0.828,0.956
"41","Particles",8.438e-07,1,0.001,2978,1636,146.31,0.00075,1.5,0.667,1
"51","Particles",1.688e-06,0.851,0.002,3400,1827,111.801,0.001,1.515,0.66,0.774
"6","Particles",2.812e-06,0.838,0.003,3406,1843,146.31,0.002,1.29,0.775,0.816
"119","Particles",3.333e-05,0.929,0.007,269,1635,40.914,0.006,1.124,0.89,0.954
"23","Particles",0.0002946,0.908,0.021,2098,1827,99.13,0.018,1.183,0.846,0.974
"120","Particles",0.0001219,0.813,0.016,2701,1569,164.055,0.009,1.798,0.556,0.961
"121","Particles",0.003,0.839,0.073,3468,1912,106.473,0.061,1.152,0.868,0.984
"122","Particles",0.000353,0.905,0.023,3897,2609,73.301,0.02,1.183,0.845,0.973
"123","Particles",0.0001403,0.919,0.014,4061,2447,156.801,0.013,1.084,0.922,0.963
