"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.000222,0.674,0.026,2776,1414,95.711,0.011,2.539,0.394,0.959
"11","Particles",0.0002422,0.825,0.023,3768,2899,53.13,0.015,1.536,0.651,0.957
"12","Particles",0.0009439,0.892,0.039,2919,2343,59.507,0.032,1.24,0.806,0.982
"13","Particles",0.0001953,0.877,0.019,2720,2539,97.97,0.013,1.449,0.69,0.969
"14","Fragments",0.000659,0.583,0.044,1650,2489,55.768,0.021,2.131,0.469,0.947
"2","Particles",7.988e-05,0.891,0.012,2073,1044,73.301,0.009,1.261,0.793,0.95
"15","Particles",0.0001197,0.927,0.013,3451,1681,173.48,0.012,1.079,0.927,0.963
"16","Particles",0.001,0.87,0.042,2980,2836,39.936,0.033,1.266,0.79,0.982
"17","Particles",0.0001323,0.906,0.015,2785,1482,57.095,0.012,1.301,0.768,0.961
"18","Particles",0.0002147,0.781,0.022,2986,1563,99.62,0.012,1.873,0.534,0.958
"19","Particles",0.002,0.72,0.073,2741,2549,10.384,0.037,2.062,0.485,0.964
"110","Particles",0.0004593,0.906,0.025,2705,1608,9.462,0.024,1.021,0.979,0.976
"111","Particles",0.0005608,0.899,0.029,2610,2199,29.932,0.025,1.13,0.885,0.976
"21","Particles",0.0002731,0.908,0.02,1794,2461,37.304,0.018,1.088,0.92,0.969
"112","Particles",0.0003174,0.701,0.03,2136,2164,176.468,0.013,2.342,0.427,0.961
"113","Particles",0.0003901,0.892,0.025,1905,2624,51.605,0.02,1.269,0.788,0.973
"114","Particles",0.0002784,0.882,0.02,1543,784,51.17,0.019,1.023,0.977,0.97
"22","Particles",0.000208,0.896,0.019,2802,3629,51.34,0.014,1.356,0.737,0.968
"115","Fragments",0.001,0.581,0.065,3104,141,54.118,0.024,2.707,0.369,0.96
"23","Particles",0.0002814,0.66,0.026,3140,18,15.255,0.017,1.658,0.603,0.935
"3","Particles",0.0008785,0.639,0.048,3104,141,49.399,0.024,2.106,0.475,0.952
"116","Particles",0.0003663,0.879,0.025,2582,979,165.343,0.019,1.3,0.769,0.973
"24","Particles",0.0003852,0.901,0.024,3350,2642,98.13,0.021,1.119,0.894,0.974
"117","Particles",0.002,0.861,0.059,2633,2605,56.208,0.043,1.355,0.738,0.985
"118","Particles",0.0002693,0.843,0.024,2394,2658,102.724,0.014,1.663,0.601,0.974
"119","Particles",1.308e-05,0.912,0.005,1734,1607,53.973,0.003,1.452,0.689,0.921
"120","Particles",0.0001052,0.929,0.012,2296,3253,64.983,0.011,1.076,0.93,0.959
"121","Particles",0.0001738,0.898,0.017,1825,2062,110.854,0.014,1.226,0.816,0.962
"122","Particles",5.541e-05,0.929,0.009,3754,1532,33.69,0.008,1.172,0.853,0.948
"25","Particles",3e-04,0.907,0.021,2768,2506,7.253,0.019,1.091,0.917,0.972
"123","Particles",0.0003471,0.895,0.025,2441,2163,74.055,0.018,1.339,0.747,0.976
"124","Particles",0.0002152,0.85,0.02,3821,1295,23.629,0.015,1.324,0.755,0.956
"125","Particles",4.317e-05,0.927,0.008,3090,1777,129.472,0.007,1.165,0.859,0.95
"126","Particles",0.0004245,0.799,0.031,2804,1691,128.66,0.018,1.778,0.563,0.97
"127","Particles",0.0001837,0.912,0.017,2538,2187,36.87,0.015,1.159,0.863,0.967
"128","Particles",3.881e-05,0.907,0.008,2177,2214,74.055,0.007,1.246,0.803,0.926
"129","Particles",0.0002551,0.897,0.02,3338,3203,112.203,0.017,1.142,0.876,0.969
"130","Particles",0.001,0.902,0.04,2892,2717,126.978,0.035,1.138,0.879,0.984
"131","Particles",0.0001233,0.879,0.015,2513,2485,97.125,0.011,1.412,0.708,0.959
"132","Particles",0.0002597,0.881,0.022,2807,2126,101.889,0.016,1.394,0.717,0.971
"133","Particles",3.248e-05,0.964,0.007,1942,3066,143.746,0.006,1.037,0.964,0.953
"134","Particles",0.0004825,0.896,0.027,1607,1880,42.754,0.023,1.146,0.873,0.976
"135","Particles",5.428e-05,0.895,0.01,2844,2140,145.713,0.007,1.446,0.692,0.952
"136","Particles",0.0001101,0.925,0.013,3070,2269,18.97,0.012,1.079,0.927,0.961
"137","Particles",1.688e-06,0.967,0.002,3354,1686,36.87,0.002,1.218,0.821,0.889
"138","Particles",0.0004598,0.833,0.031,2248,3150,173.737,0.019,1.613,0.62,0.975
"139","Particles",0.0001041,0.919,0.013,2355,1937,54.462,0.011,1.183,0.845,0.959
"140","Particles",3.277e-05,0.985,0.007,2079,2101,122.005,0.006,1.077,0.928,0.951
"141","Particles",0.001,0.879,0.042,2589,1827,83.83,0.036,1.18,0.847,0.979
"142","Particles",0.0003329,0.902,0.023,2657,1752,129.806,0.019,1.251,0.799,0.975
"143","Particles",0.0004835,0.883,0.03,2697,3130,80.538,0.02,1.44,0.694,0.98
"144","Particles",0.015,0.607,0.211,3052,2050,55.858,0.098,2.181,0.459,0.907
