"","names","cat","area"
"1","paper10","paper1",0.01890278
"2","paper10","paper1",0.00667001
"3","paper10","paper1",6.3984e-05
"4","paper10","paper1",0.0035078
"5","paper10","paper1",0.00027673
"6","paper10","paper1",0.002
"7","paper10","paper1",4.345e-05
"8","paper10","paper1",0.0008537
"9","paper10","paper1",0.0185223
"10","paper10","paper1",0.000214
"11","paper10","paper1",0.003
"12","paper10","paper1",9.604e-05
"13","paper10","paper1",0.0003452
"14","paper10","paper1",0.0018782
"15","paper10","paper1",0.0285183
"16","paper10","paper1",0.0031259
