"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",9.408e-05,0.922,0.012,3672,2669,54.246,0.011,1.028,0.973,0.956
"11","Particles",0.0003772,0.88,0.026,3157,1913,171.634,0.018,1.403,0.713,0.977
"12","Particles",0.0001114,0.754,0.017,2664,2343,125.096,0.008,2.16,0.463,0.945
"13","Fragments",0.003,0.544,0.08,2112,2170,81.152,0.056,1.4,0.714,0.942
"2","Fragments",7.031e-07,0.572,0.002,2140,2136,63.435,0.0009487,2.126,0.47,0.625
"14","Particles",0.0005655,0.852,0.032,2098,2075,69.677,0.022,1.45,0.689,0.974
"15","Fragments",0.001,0.582,0.064,3654,1915,104.281,0.036,1.871,0.535,0.853
"16","Particles",0.0007592,0.844,0.038,3068,1143,61.39,0.028,1.316,0.76,0.98
"17","Particles",8.719e-05,0.831,0.014,1901,1804,150.642,0.008,1.722,0.581,0.947
"18","Particles",0.0008371,0.735,0.043,2199,1737,101.113,0.026,1.689,0.592,0.954
"19","Particles",0.0005825,0.872,0.031,3215,2413,99.009,0.023,1.339,0.747,0.976
"110","Particles",9.703e-06,0.884,0.005,3430,2092,114.444,0.003,1.616,0.619,0.945
"111","Particles",6.455e-05,0.913,0.01,2483,1780,8.746,0.009,1.079,0.927,0.932
"112","Particles",0.00011,0.939,0.013,1752,2424,63.435,0.011,1.066,0.938,0.965
"113","Fragments",0.001,0.349,0.048,2293,1774,35.433,0.037,1.538,0.65,0.806
"21","Particles",0.0003361,0.605,0.028,2305,1781,80.789,0.016,1.816,0.551,0.918
"3","Particles",2.672e-06,0.916,0.003,2320,1757,146.31,0.002,1.892,0.529,0.809
"114","Particles",0.0007564,0.869,0.033,2973,3497,34.939,0.031,1.048,0.955,0.978
"115","Particles",0.0006673,0.691,0.043,2767,2083,65.433,0.02,2.229,0.449,0.966
"116","Particles",0.000439,0.845,0.03,3444,1238,80.538,0.018,1.619,0.617,0.98
"117","Particles",9.802e-05,0.9,0.013,3158,946,101.634,0.009,1.355,0.738,0.963
"118","Particles",0.0001237,0.834,0.016,3103,2520,96.633,0.009,1.697,0.589,0.964
"119","Particles",0.0002852,0.749,0.027,1977,3054,97.224,0.013,2.002,0.499,0.965
"120","Particles",0.0002035,0.753,0.023,2629,2442,84.472,0.011,2.199,0.455,0.969
"121","Particles",0.009,0.702,0.126,3196,1267,117.329,0.096,1.246,0.803,0.972
"22","Particles",8.269e-05,0.731,0.014,3127,1428,105.124,0.008,1.917,0.522,0.915
"31","Particles",0.0004081,0.886,0.027,2911,3337,163.072,0.02,1.351,0.74,0.976
"122","Particles",0.0004172,0.913,0.024,3174,2997,79.38,0.022,1.079,0.927,0.978
"123","Particles",0.000136,0.922,0.014,3092,1628,77.8,0.012,1.106,0.904,0.964
"124","Particles",0.0003423,0.903,0.023,2597,1979,121.908,0.019,1.215,0.823,0.974
"125","Particles",0.001,0.878,0.048,2433,1897,99.904,0.038,1.263,0.792,0.984
"126","Particles",0.0002052,0.894,0.019,2348,996,125.272,0.014,1.304,0.767,0.966
"127","Particles",0.0007372,0.902,0.032,2784,2366,118.989,0.03,1.03,0.97,0.98
"128","Particles",0.0003434,0.892,0.022,3167,1284,128.211,0.02,1.11,0.901,0.971
"129","Particles",0.002,0.816,0.05,3522,2432,12.995,0.042,1.171,0.854,0.954
"130","Particles",0.0006341,0.862,0.034,2448,2235,114.864,0.025,1.325,0.755,0.976
"131","Particles",3.136e-05,0.943,0.007,1646,1775,102.529,0.006,1.054,0.949,0.937
"132","Particles",7.622e-05,0.945,0.011,3170,1702,157.834,0.009,1.154,0.867,0.96
"23","Particles",0.001,0.805,0.054,2751,3286,28.516,0.036,1.564,0.639,0.973
"133","Particles",0.0001823,0.925,0.016,2959,3124,126.607,0.015,1.093,0.915,0.966
"134","Particles",0.003,0.842,0.08,2253,2105,61.024,0.059,1.346,0.743,0.987
"135","Particles",0.002,0.808,0.068,2272,1059,7.595,0.041,1.627,0.615,0.985
"136","Particles",0.0005051,0.796,0.034,2208,1899,96.968,0.018,1.877,0.533,0.974
"137","Particles",0.002,0.807,0.055,2679,2977,161.318,0.035,1.555,0.643,0.973
"138","Particles",0.005,0.793,0.1,1587,1715,103.204,0.069,1.452,0.689,0.979
"139","Particles",3.909e-05,0.964,0.008,2890,1723,122.905,0.007,1.063,0.941,0.947
"140","Particles",0.000325,0.776,0.028,1903,423,95.332,0.014,1.962,0.51,0.971
"141","Particles",0.0001077,0.894,0.014,1444,2486,107.447,0.01,1.356,0.738,0.958
"142","Particles",8.62e-05,0.92,0.012,2975,2519,71.565,0.01,1.16,0.862,0.956
