"","names","cat","area"
"1","plastic3","plastic",0.0004028
"2","plastic3","plastic",0.0007668
"3","plastic3","plastic",0.0001264
"4","plastic3","plastic",0.0008478844
"5","plastic3","plastic",0.0006853
"6","plastic3","plastic",0.000825
"7","plastic3","plastic",0.002
"8","plastic3","plastic",0.0007264
"9","plastic3","plastic",0.001
"10","plastic3","plastic",0.000549394
"11","plastic3","plastic",0.00602925
"12","plastic3","plastic",0.0002048
"13","plastic3","plastic",0.0086737
"14","plastic3","plastic",0.010898
"15","plastic3","plastic",0.0007741
"16","plastic3","plastic",0.005856
"17","plastic3","plastic",0.00241744
"18","plastic3","plastic",0.00047796
"19","plastic3","plastic",0.00021729
"20","plastic3","plastic",0.0014143
"21","plastic3","plastic",4.711e-05
"22","plastic3","plastic",2.545e-05
"23","plastic3","plastic",0.0006443874
"24","plastic3","plastic",0.0010942
"25","plastic3","plastic",0.0058945
