"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.002,0.723,0.071,3204,1136,55.305,0.042,1.842,0.543,0.965
"11","Particles",0.0001343,0.92,0.015,3456,1343,145.491,0.012,1.186,0.843,0.964
"12","Particles",5.962e-05,0.775,0.011,2696,1546,60.751,0.008,1.378,0.725,0.914
"13","Particles",0.004,0.828,0.082,2725,2809,113.405,0.067,1.17,0.854,0.963
"14","Particles",0.0008678,0.799,0.037,3517,869,154.983,0.03,1.236,0.809,0.965
"15","Particles",0.001,0.689,0.054,3671,791,141.71,0.029,1.948,0.513,0.953
"16","Particles",0.0002579,0.878,0.022,3706,2340,171.027,0.015,1.406,0.711,0.97
"17","Particles",8.606e-05,0.935,0.011,3478,2732,58.392,0.01,1.119,0.894,0.962
"18","Particles",0.0006969,0.894,0.032,1954,2315,6.044,0.029,1.099,0.91,0.979
"19","Particles",3.305e-05,0.964,0.007,2915,1711,167.471,0.006,1.041,0.961,0.938
"110","Particles",5.822e-05,0.925,0.01,2846,2084,51.34,0.008,1.122,0.891,0.948
"111","Particles",0.0003833,0.709,0.028,2351,2334,83.157,0.018,1.589,0.629,0.947
"112","Particles",0.0001198,0.932,0.013,2532,2966,106.39,0.012,1.11,0.901,0.967
"113","Particles",0.0004033,0.873,0.026,1989,2323,148.61,0.02,1.28,0.781,0.973
"114","Particles",0.0005475,0.897,0.029,3296,2227,142.386,0.024,1.173,0.852,0.977
"115","Particles",3.291e-05,0.936,0.007,284,2976,34.509,0.006,1.179,0.848,0.959
"116","Particles",0.0003284,0.89,0.023,4106,1984,99.31,0.019,1.24,0.806,0.971
"117","Particles",3.122e-05,0.947,0.007,2839,1793,160.56,0.006,1.03,0.97,0.949
"118","Particles",0.0007708,0.887,0.035,2253,1223,23.279,0.029,1.182,0.846,0.982
"119","Particles",0.0001237,0.914,0.014,2376,2039,73.443,0.011,1.275,0.785,0.964
"120","Particles",0.0008913,0.824,0.041,2383,1137,107.942,0.027,1.448,0.691,0.978
"2","Particles",0.001,0.825,0.05,2325,1308,80.538,0.038,1.202,0.832,0.982
"3","Particles",0.0002357,0.785,0.024,4613,2589,12.724,0.012,1.93,0.518,0.966
