"","names","cat","area"
"1","paper15","paper1",0.0015237004
"2","paper15","paper1",0.00244842
"3","paper15","paper1",0.0001121
"4","paper15","paper1",0.002
"5","paper15","paper1",0.00161883
"6","paper15","paper1",0.0018255
"7","paper15","paper1",0.02
"8","paper15","paper1",0.00234294
"9","paper15","paper1",0.002147
"10","paper15","paper1",9.759e-05
"11","paper15","paper1",0.01017943
"12","paper15","paper1",0.0033224
"13","paper15","paper1",0.001
"14","paper15","paper1",0.0002206
"15","paper15","paper1",0.00011447
"16","paper15","paper1",0.0004655
"17","paper15","paper1",0.00218325
"18","paper15","paper1",0.004
"19","paper15","paper1",0.002119806
"20","paper15","paper1",0.0029378219
"21","paper15","paper1",0.0283097
"22","paper15","paper1",0.0022851
