"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.0004771,0.881,0.027,2958,2909,149.859,0.024,1.096,0.913,0.973
"11","Particles",0.0007255,0.907,0.032,2645,1051,15.018,0.03,1.038,0.963,0.98
"2","Particles",9.422e-06,0.948,0.004,3636,1486,123.69,0.003,1.194,0.838,0.899
"3","Particles",0.0003533,0.853,0.026,1315,2869,174.289,0.018,1.461,0.685,0.971
"4","Particles",0.0002448,0.867,0.022,2700,3339,157.457,0.015,1.423,0.703,0.968
"12","Particles",0.001,0.767,0.051,3792,2614,24.479,0.027,1.946,0.514,0.979
"13","Particles",0.0005662,0.781,0.034,2584,2998,31.399,0.023,1.475,0.678,0.971
"21","Particles",4.641e-06,0.803,0.004,2764,3122,71.565,0.002,1.956,0.511,0.868
"31","Particles",0.0005487,0.897,0.028,2057,3530,100.098,0.026,1.057,0.946,0.974
"14","Particles",0.000361,0.826,0.026,1930,1017,56.768,0.018,1.405,0.712,0.963
"22","Particles",0.0003251,0.873,0.024,1176,2336,72.962,0.018,1.355,0.738,0.971
"15","Particles",0.002,0.754,0.063,3178,1378,49.622,0.042,1.482,0.675,0.97
"16","Particles",0.002,0.634,0.062,3196,2197,4.879,0.055,1.067,0.937,0.966
"23","Particles",8.438e-07,0.769,0.002,3309,2102,165.964,0.001,1.675,0.597,0.667
"32","Particles",0.0005846,0.802,0.033,1765,3042,14.973,0.022,1.506,0.664,0.97
"41","Particles",0.0003798,0.798,0.029,1764,3189,23.295,0.017,1.725,0.58,0.966
"5","Particles",9.759e-05,0.913,0.012,1805,3348,61.113,0.011,1.136,0.881,0.955
"6","Particles",5.203e-06,0.881,0.003,1780,3497,159.444,0.003,1.258,0.795,0.851
"7","Particles",0.0002081,0.708,0.02,1809,4000,44.256,0.015,1.159,0.863,0.958
"17","Particles",0.0004298,0.885,0.026,2571,2045,105.255,0.022,1.139,0.878,0.974
"18","Fragments",0.001,0.518,0.059,1783,2334,150.03,0.032,2.179,0.459,0.91
"24","Fragments",1.913e-05,0.447,0.006,3456,2695,96.71,0.005,1.298,0.771,0.733
"33","Particles",0.0003036,0.745,0.026,1782,2337,175.101,0.017,1.566,0.639,0.933
"19","Particles",0.0001309,0.834,0.016,1253,3033,68.199,0.011,1.482,0.675,0.95
"25","Particles",0.0003182,0.87,0.024,1237,3184,54.36,0.018,1.395,0.717,0.972
"110","Particles",0.0007334,0.907,0.033,3444,2524,84.094,0.029,1.096,0.913,0.98
"26","Particles",0.0001304,0.705,0.017,1366,4000,35.838,0.012,1.269,0.788,0.945
"111","Particles",0.0009547,0.782,0.042,3352,1685,19.411,0.033,1.262,0.792,0.963
"27","Particles",0.0003669,0.806,0.027,1637,3820,51.71,0.018,1.494,0.67,0.956
"34","Particles",0.0003028,0.826,0.025,1663,3977,68.523,0.016,1.538,0.65,0.968
"112","Particles",0.004,0.76,0.092,2928,2503,114.366,0.055,1.692,0.591,0.982
"28","Particles",0.0001471,0.873,0.017,1466,3549,166.908,0.012,1.424,0.702,0.958
"113","Particles",0.002,0.723,0.072,1764,1659,97.199,0.041,1.813,0.552,0.971
"114","Fragments",0.004,0.418,0.144,3043,2596,76.905,0.056,2.826,0.354,0.854
"29","Particles",0.0002181,0.796,0.021,3491,1103,58.861,0.014,1.542,0.648,0.948
"35","Particles",6.061e-05,0.907,0.01,3519,1391,35.538,0.009,1.08,0.926,0.947
"42","Particles",0.000259,0.876,0.02,3522,1570,22.782,0.017,1.206,0.829,0.966
"51","Particles",9.844e-05,0.905,0.012,3530,1729,52.431,0.011,1.11,0.901,0.958
"61","Particles",0.000242,0.861,0.02,3517,1911,42.769,0.016,1.275,0.784,0.963
"71","Particles",2.531e-06,1,0.002,3535,2028,120.964,0.002,1.257,0.795,0.857
"8","Particles",0.0001157,0.814,0.015,3528,2215,48.945,0.01,1.513,0.661,0.939
"9","Particles",0.0006352,0.65,0.04,3095,2323,70.887,0.021,1.942,0.515,0.957
"10","Particles",3.052e-05,0.864,0.007,3545,2355,12.529,0.006,1.045,0.957,0.914
"115","Particles",9.506e-05,0.856,0.012,1848,1702,69.864,0.011,1.096,0.912,0.94
"210","Particles",0.0004288,0.883,0.028,3095,2271,106.477,0.02,1.371,0.73,0.976
"36","Particles",0.0002157,0.755,0.021,1836,2996,19.093,0.014,1.495,0.669,0.95
"116","Particles",0.002,0.777,0.053,3702,2083,137.891,0.043,1.135,0.881,0.965
"211","Particles",4.922e-05,0.651,0.011,1796,2515,54.689,0.007,1.851,0.54,0.866
"37","Particles",4.57e-05,0.916,0.009,1812,3453,142.125,0.007,1.175,0.851,0.934
"43","Particles",0.0003369,0.767,0.029,1770,3582,169.426,0.016,1.781,0.561,0.961
