"","names","cat","area"
"1","plastic9","plastic",0.00056892
"2","plastic9","plastic",0.02391943
"3","plastic9","plastic",0.0014194
"4","plastic9","plastic",0.0002462
"5","plastic9","plastic",0.00097661
"6","plastic9","plastic",0.0005746
"7","plastic9","plastic",0.0006989
"8","plastic9","plastic",0.0211219
"9","plastic9","plastic",0.0066786511
"10","plastic9","plastic",2.306e-05
"11","plastic9","plastic",0.00843549
"12","plastic9","plastic",0.0023247
"13","plastic9","plastic",0.00680063
"14","plastic9","plastic",0.0005996
"15","plastic9","plastic",0.0009944
"16","plastic9","plastic",3.375e-06
"17","plastic9","plastic",0.0138182
"18","plastic9","plastic",0.0171079
"19","plastic9","plastic",0.0008323
"20","plastic9","plastic",0.0004454
"21","plastic9","plastic",0.0003752
"22","plastic9","plastic",0.0089744
"23","plastic9","plastic",0.001
