"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Fibers",1.828e-06,0.178,0.006,1850,2524,137.726,0.0009525,9.147,0.109,0.433
"2","Fibers",4.303e-05,0.274,0.011,2781,3296,137.862,0.008,1.233,0.811,0.685
"3","Fragments",0.002,0.457,0.068,1739,2525,154.142,0.045,1.484,0.674,0.934
"4","Fragments",0.0008094,0.309,0.041,2768,3078,117.269,0.03,1.302,0.768,0.894
"5","Particles",0.0006435,0.912,0.031,3453,1923,15.562,0.026,1.158,0.863,0.983
"6","Particles",8.438e-07,0.686,0.002,1743,2521,53.13,0.0009361,2.519,0.397,0.706
"7","Particles",1.266e-06,0.923,0.002,1867,2540,126.87,0.001,1.539,0.65,0.9
"8","Particles",7.031e-07,1,0.001,1871,2546,146.31,0.00075,1.553,0.644,0.909
"9","Particles",1.406e-06,0.925,0.002,1894,2579,158.199,0.00075,2.5,0.4,1
"10","Particles",1.547e-06,1,0.002,1898,2586,53.13,0.001,1.372,0.729,0.957
"11","Particles",1.266e-06,0.799,0.002,1893,2609,53.13,0.001,1.595,0.627,0.818
"12","Particles",5.625e-07,1,0.001,2831,3072,135,0.00075,1,1,1
"13","Particles",1.266e-06,1,0.002,2803,3080,36.87,0.001,1.539,0.65,0.9
"14","Particles",1.266e-06,1,0.002,2765,3114,143.13,0.001,1.817,0.55,0.857
"15","Particles",8.438e-07,0.769,0.002,2789,3296,143.13,0.0007955,2.81,0.356,0.75
"16","Particles",4.781e-06,0.625,0.004,2785,3313,160.017,0.002,2.474,0.404,0.8
"17","Particles",7.073e-05,0.93,0.01,2884,3640,41.987,0.009,1.02,0.98,0.956
"18","Particles",0.002,0.843,0.064,2480,1770,39.548,0.045,1.482,0.675,0.983
"19","Particles",0.000182,0.846,0.019,2349,1730,160.115,0.013,1.481,0.675,0.959
"110","Particles",6.244e-05,0.941,0.01,1908,1891,125.538,0.009,1.062,0.942,0.954
"111","Fragments",5.203e-06,0.567,0.004,2347,2731,119.055,0.002,1.672,0.598,0.771
"21","Fragments",0.004,0.439,0.106,2592,3137,125.774,0.058,1.845,0.542,0.932
"31","Particles",0.0004853,0.907,0.026,3261,1881,160.017,0.023,1.105,0.905,0.978
"41","Particles",9.563e-06,0.911,0.004,1714,2188,142.125,0.003,1.279,0.782,0.895
"51","Particles",2.25e-06,0.795,0.003,2580,3185,63.435,0.001,2.125,0.471,0.8
"61","Particles",4.219e-07,1,0.001,2604,3247,135,0.00075,1.464,0.683,0.857
"71","Particles",1.688e-06,0.967,0.002,2610,3253,158.199,0.001,1.61,0.621,0.889
"112","Fibers",0.003,0.236,0.09,2230,2139,68.552,0.053,2.016,0.496,0.787
"210","Fibers",0.003,0.187,0.101,2009,3574,62.957,0.045,2.434,0.411,0.793
"32","Fragments",3.994e-05,0.377,0.009,2215,1956,9.09,0.007,1.148,0.871,0.764
"42","Fragments",1.406e-06,0.462,0.003,2256,1950,98.13,0.00075,3.596,0.278,0.769
"52","Fragments",3.375e-06,0.572,0.004,2028,3559,71.565,0.002,2.337,0.428,0.696
"62","Particles",1.406e-06,0.806,0.002,2327,1924,101.31,0.001,1.445,0.692,0.833
"72","Particles",3.375e-06,0.686,0.003,2330,1941,159.444,0.002,1.908,0.524,0.774
"81","Particles",1.181e-05,0.69,0.006,2233,1964,70.346,0.004,1.672,0.598,0.808
"91","Particles",2.109e-06,0.674,0.003,2258,1969,50.194,0.001,2.753,0.363,0.75
