"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"37","Particles",2.531e-06,0.965,0.002,2786,2202,120.964,0.002,1.175,0.851,0.857
"159","Particles",0.0001707,0.851,0.018,3858,2043,170.34,0.012,1.44,0.695,0.963
"219","Particles",0.0002209,0.918,0.018,3464,2663,23.356,0.016,1.098,0.911,0.968
"160","Particles",8.423e-05,0.94,0.012,2794,809,163.301,0.009,1.221,0.819,0.963
"220","Particles",0.0001868,0.897,0.017,1829,1554,68.429,0.015,1.186,0.843,0.962
"38","Particles",4.908e-05,0.927,0.009,1691,1674,56.976,0.007,1.245,0.803,0.95
"45","Particles",0.0008467,0.705,0.05,1561,1828,40.741,0.023,2.25,0.444,0.975
"53","Particles",0.004,0.846,0.078,1640,2030,66.656,0.055,1.424,0.702,0.979
"161","Particles",0.0003784,0.913,0.023,2768,1305,25.301,0.022,1.032,0.969,0.973
"221","Particles",0.000111,0.834,0.015,3455,2385,57.095,0.01,1.593,0.628,0.951
"162","Particles",0.0002631,0.834,0.024,2170,949,99.019,0.013,1.774,0.564,0.977
"163","Particles",0.0004164,0.874,0.026,2063,3245,74.962,0.021,1.245,0.803,0.973
"164","Particles",0.0001229,0.898,0.014,2013,1751,169.563,0.011,1.314,0.761,0.96
"222","Particles",0.0002316,0.854,0.022,1871,1805,24.362,0.014,1.563,0.64,0.968
"165","Fragments",0.0009314,0.497,0.062,2392,2128,67.487,0.021,3.466,0.289,0.866
"223","Particles",0.0005463,0.678,0.038,2421,2072,70.498,0.018,2.117,0.472,0.95
"39","Particles",0.0003776,0.726,0.03,2391,2049,97.125,0.018,1.669,0.599,0.943
"166","Particles",0.0004161,0.909,0.025,2692,1609,78.69,0.022,1.125,0.889,0.976
"224","Particles",0.0004417,0.9,0.026,2880,1988,155.695,0.023,1.119,0.894,0.974
"310","Particles",5.119e-05,0.778,0.01,1821,2535,162.255,0.007,1.333,0.75,0.919
"167","Particles",0.0002185,0.771,0.023,2681,798,172.405,0.013,1.816,0.551,0.958
"225","Particles",0.0008672,0.87,0.04,2127,2014,36.656,0.028,1.441,0.694,0.982
"311","Particles",0.002,0.888,0.053,1915,2846,74.279,0.05,1.018,0.982,0.986
"168","Fragments",0.014,0.571,0.142,2879,2327,55.679,0.129,1.05,0.952,0.969
"226","Fragments",9.844e-07,0.496,0.002,3151,2078,128.66,0.0009361,3.383,0.296,0.609
"312","Particles",8.438e-07,0.686,0.002,3122,2042,126.87,0.0007955,2.81,0.356,0.75
"46","Particles",9.844e-07,1,0.002,3138,2069,135,0.001,1.596,0.626,0.875
"54","Particles",5.625e-07,0.857,0.001,2860,2302,56.31,0.00075,2.031,0.492,0.8
"63","Particles",4.219e-07,1,0.001,3072,2353,45,0.00075,1.464,0.683,0.857
"169","Particles",0.001,0.898,0.044,2326,2052,114.362,0.042,1.026,0.975,0.983
"170","Particles",6.483e-05,0.881,0.011,3118,1551,105.945,0.007,1.472,0.68,0.962
"227","Particles",0.004,0.703,0.093,3035,2523,87.241,0.061,1.563,0.64,0.978
"171","Particles",0.001,0.904,0.041,3233,2026,110.251,0.037,1.105,0.905,0.984
"172","Particles",7.158e-05,0.688,0.014,3298,671,13.671,0.006,2.434,0.411,0.933
"173","Fragments",0.012,0.578,0.132,2441,2477,80.35,0.119,1.066,0.938,0.967
"228","Particles",5.625e-07,0.645,0.002,2614,2337,104.036,0.000375,4,0.25,1
