"","names","cat","area"
"1","plastic4","plastic",0.023812
"2","plastic4","plastic",0.0015318
"3","plastic4","plastic",0.0007925
"4","plastic4","plastic",0.034109488
"5","plastic4","plastic",0.00741851
"6","plastic4","plastic",0.004
"7","plastic4","plastic",0.0013874
"8","plastic4","plastic",0.00036279
"9","plastic4","plastic",0.00733472
"10","plastic4","plastic",0.0018448
"11","plastic4","plastic",0.032
"12","plastic4","plastic",0.0030137
"13","plastic4","plastic",0.00285036
"14","plastic4","plastic",0.0013736348
"15","plastic4","plastic",0.0021002
"16","plastic4","plastic",0.001745333
"17","plastic4","plastic",0.0029955
"18","plastic4","plastic",0.00739536
"19","plastic4","plastic",0.003799914
"20","plastic4","plastic",0.00815311
"21","plastic4","plastic",0.00836877
"22","plastic4","plastic",0.001695
"23","plastic4","plastic",0.00220623
"24","plastic4","plastic",0.0021666
"25","plastic4","plastic",0.0028329219
