"","names","cat","area"
"1","plastic12","plastic1",4.655e-05
"2","plastic12","plastic1",0.000281
"3","plastic12","plastic1",0.0009624
"4","plastic12","plastic1",0.00204852
"5","plastic12","plastic1",0.00106728
"6","plastic12","plastic1",0.00132785
"7","plastic12","plastic1",6.567e-05
"8","plastic12","plastic1",0.000100266
"9","plastic12","plastic1",4.922e-05
"10","plastic12","plastic1",0.002
"11","plastic12","plastic1",0.00390821
"12","plastic12","plastic1",0.0001091
"13","plastic12","plastic1",2.559e-05
"14","plastic12","plastic1",0.001
"15","plastic12","plastic1",0.0006936
"16","plastic12","plastic1",0.00017759
"17","plastic12","plastic1",0.0001959
"18","plastic12","plastic1",0.000949
"19","plastic12","plastic1",0.0179115
"20","plastic12","plastic1",8.311e-05
"21","plastic12","plastic1",0.0004898
"22","plastic12","plastic1",0.014
"23","plastic12","plastic1",0.001
"24","plastic12","plastic1",0.00444793
"25","plastic12","plastic1",0.0010209
