"","names","cat","area"
"1","plastic7","plastic",0.007
"2","plastic7","plastic",0.0002071
"3","plastic7","plastic",0.0049507
"4","plastic7","plastic",0.0002429
"5","plastic7","plastic",0.00050527
"6","plastic7","plastic",0.0003064
"7","plastic7","plastic",0.010056595
"8","plastic7","plastic",0.007
"9","plastic7","plastic",1.617e-05
"10","plastic7","plastic",0.0003428
"11","plastic7","plastic",2.152e-05
"12","plastic7","plastic",0.0390070318
"13","plastic7","plastic",0.029
"14","plastic7","plastic",0.0100902
"15","plastic7","plastic",0.00155386
"16","plastic7","plastic",0.0013330219
"17","plastic7","plastic",0.0040019689
"18","plastic7","plastic",0.00015257
"19","plastic7","plastic",0.0002001
"20","plastic7","plastic",0.0002014
"21","plastic7","plastic",4.613e-05
"22","plastic7","plastic",0.0002445
"23","plastic7","plastic",0.0018081756
"24","plastic7","plastic",0.0012951
"25","plastic7","plastic",0.0019491469
"26","plastic7","plastic",1.252e-05
"27","plastic7","plastic",0.002782
"28","plastic7","plastic",1.097e-05
"29","plastic7","plastic",0.0022471
"30","plastic7","plastic",0.0014026
"31","plastic7","plastic",0.0007919
"32","plastic7","plastic",0.0006461
"33","plastic7","plastic",0.005
"34","plastic7","plastic",0.0054235
"35","plastic7","plastic",0.0013197
"36","plastic7","plastic",0.000218
"37","plastic7","plastic",0.0005414
"38","plastic7","plastic",0.0005372
"39","plastic7","plastic",0.0770011934
"40","plastic7","plastic",0.0604437557
"41","plastic7","plastic",0.0002415
"42","plastic7","plastic",0.0001169
"43","plastic7","plastic",7.003e-05
"44","plastic7","plastic",0.0009298
"45","plastic7","plastic",0.001481
"46","plastic7","plastic",0.0198015133
"47","plastic7","plastic",0.0319106644
"48","plastic7","plastic",0.0102495215
"49","plastic7","plastic",0.0286880704
"50","plastic7","plastic",0.0045156
"51","plastic7","plastic",0.0093020625
"52","plastic7","plastic",0.0004167
"53","plastic7","plastic",0.0201772341
"54","plastic7","plastic",0.0080566219
"55","plastic7","plastic",0.0194482432
"56","plastic7","plastic",0.00311495
