"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.000236,0.79,0.021,522,974,122.856,0.015,1.382,0.724,0.935
"11","Particles",0.0002416,0.739,0.025,2491,566,141.746,0.013,1.984,0.504,0.953
"2","Particles",0.0008627,0.646,0.051,2660,3798,76.273,0.027,1.799,0.556,0.928
"12","Particles",0.001,0.898,0.042,2626,1217,163.496,0.036,1.172,0.854,0.985
"13","Particles",0.0002098,0.871,0.02,1670,2500,99.638,0.013,1.515,0.66,0.97
"14","Particles",9.506e-05,0.904,0.013,3131,2902,74.745,0.01,1.305,0.766,0.957
"15","Particles",0.0004134,0.881,0.026,2641,1673,164.389,0.021,1.285,0.778,0.973
"16","Particles",3.22e-05,0.968,0.007,2620,752,109.44,0.006,1.013,0.988,0.942
"17","Particles",0.0001056,0.627,0.015,2240,1820,13.325,0.01,1.536,0.651,0.916
"18","Particles",0.0001042,0.881,0.013,2161,1996,9.728,0.011,1.196,0.836,0.946
"19","Particles",0.0001508,0.916,0.015,3515,1596,126.87,0.013,1.116,0.896,0.961
"110","Particles",0.005,0.811,0.1,3111,1644,12.947,0.062,1.638,0.61,0.989
"111","Particles",0.0006166,0.73,0.041,1760,1372,131.285,0.02,2.179,0.459,0.973
"21","Particles",7.523e-05,0.761,0.012,2473,2949,43.727,0.009,1.298,0.77,0.924
"112","Particles",0.0002312,0.911,0.019,3233,2431,127.776,0.016,1.172,0.853,0.97
"113","Particles",7.313e-05,0.854,0.011,2935,1977,17.819,0.009,1.168,0.856,0.945
"114","Particles",0.0001567,0.933,0.015,4142,1977,160.641,0.014,1.017,0.984,0.968
"115","Particles",0.002,0.752,0.068,2827,1072,30.964,0.043,1.558,0.642,0.972
"116","Particles",4.57e-05,0.939,0.009,2706,2780,41.424,0.007,1.099,0.91,0.949
"22","Particles",0.0001682,0.927,0.016,2725,2864,12.381,0.014,1.114,0.898,0.969
"117","Particles",4.556e-05,0.946,0.008,2629,2250,125.838,0.007,1.133,0.883,0.946
"118","Particles",0.000159,0.877,0.017,3771,1772,21.571,0.012,1.456,0.687,0.963
"119","Particles",3.783e-05,0.941,0.007,2366,689,107.526,0.007,1.064,0.94,0.942
"120","Particles",0.0001967,0.918,0.017,1964,1647,68.682,0.016,1.043,0.959,0.966
"121","Particles",7.298e-05,0.861,0.012,2316,1722,102.724,0.008,1.542,0.649,0.958
"122","Particles",0.0005806,0.76,0.038,2811,2102,58.355,0.021,1.801,0.555,0.971
"123","Particles",0.0002187,0.927,0.018,3057,2169,15.781,0.016,1.09,0.918,0.971
"124","Particles",9.352e-05,0.822,0.012,3283,2519,147.265,0.01,1.213,0.824,0.943
"125","Particles",3.108e-05,0.954,0.007,2628,1275,19.44,0.006,1.024,0.977,0.934
"23","Particles",0.0002526,0.768,0.025,2522,1325,13.829,0.013,1.968,0.508,0.964
"126","Particles",0.0009516,0.906,0.036,2550,1801,157.652,0.034,1.077,0.929,0.983
"127","Particles",0.0003516,0.887,0.025,3268,824,168.857,0.018,1.402,0.713,0.976
"128","Particles",0.0001046,0.903,0.013,2304,807,143.13,0.011,1.223,0.817,0.957
"129","Particles",0.0007102,0.787,0.036,2357,2216,39.579,0.029,1.091,0.917,0.959
"24","Particles",0.0007682,0.686,0.043,2341,2299,39.742,0.028,1.51,0.662,0.961
"130","Particles",0.0004506,0.846,0.028,2553,1836,8.569,0.021,1.278,0.783,0.968
"131","Fragments",0.001,0.54,0.069,2602,2585,70.096,0.021,3.367,0.297,0.933
"25","Particles",0.0002157,0.82,0.022,3097,1504,102.848,0.013,1.772,0.564,0.968
"3","Particles",0.0003135,0.806,0.023,2622,2452,26.565,0.019,1.173,0.852,0.953
