"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",4.148e-05,0.959,0.008,2292,2080,109.29,0.007,1.105,0.905,0.949
"11","Particles",0.0002739,0.825,0.024,1579,2657,112.62,0.014,1.712,0.584,0.967
"12","Particles",0.002,0.893,0.06,3700,1481,98.282,0.052,1.104,0.906,0.982
"13","Particles",0.0004568,0.889,0.028,2651,2155,4.574,0.021,1.337,0.748,0.978
"14","Particles",0.0002341,0.908,0.019,2202,2246,12.407,0.016,1.21,0.827,0.97
"15","Particles",0.0001894,0.921,0.017,2662,2326,148.815,0.015,1.1,0.909,0.968
"16","Particles",0.0001302,0.805,0.016,2085,2370,148.134,0.011,1.599,0.626,0.942
"17","Particles",0.0001607,0.804,0.019,2026,1813,50.477,0.011,1.876,0.533,0.955
"18","Particles",0.0001204,0.811,0.016,2340,1442,104.676,0.009,1.769,0.565,0.954
"19","Particles",0.0001263,0.896,0.015,2410,1754,35.707,0.011,1.3,0.769,0.961
"110","Particles",0.002,0.882,0.052,2140,3783,57.56,0.043,1.205,0.83,0.986
"111","Particles",0.002,0.819,0.058,1039,1197,54.246,0.034,1.703,0.587,0.983
"2","Particles",0.000298,0.848,0.025,1116,3260,169.54,0.015,1.631,0.613,0.975
"112","Particles",0.000736,0.908,0.032,3074,1931,98.036,0.03,1.065,0.939,0.98
"113","Particles",0.0001574,0.883,0.017,2641,2443,104.036,0.012,1.423,0.703,0.966
"114","Particles",0.0008813,0.894,0.037,2213,2413,102.779,0.031,1.167,0.857,0.979
"115","Particles",0.0003773,0.78,0.027,3190,1802,112.681,0.02,1.25,0.8,0.953
"21","Particles",0.0004797,0.738,0.034,3147,1926,38.66,0.019,1.608,0.622,0.964
"3","Particles",0.0007906,0.784,0.042,3284,2713,29.055,0.024,1.769,0.565,0.976
"116","Particles",6.469e-05,0.67,0.012,3290,2763,95.528,0.007,1.646,0.607,0.925
"117","Particles",0.0001225,0.924,0.013,3273,1716,144.09,0.012,1.093,0.915,0.962
"118","Particles",8.213e-05,0.893,0.012,1969,2427,167.661,0.009,1.412,0.708,0.955
"119","Particles",0.0004545,0.871,0.029,3092,2732,14.931,0.02,1.439,0.695,0.976
"120","Particles",7.298e-05,0.933,0.011,3101,1371,20.323,0.009,1.181,0.847,0.962
"121","Particles",0.0001918,0.895,0.018,2359,1793,122.381,0.014,1.313,0.762,0.966
"122","Particles",0.0002493,0.916,0.019,96,2696,110.556,0.017,1.123,0.89,0.971
"123","Particles",6.159e-05,0.889,0.01,3111,201,115.641,0.008,1.291,0.775,0.941
"124","Particles",0.000222,0.916,0.018,2821,2133,165.677,0.016,1.115,0.897,0.97
"125","Particles",0.0003061,0.71,0.029,2824,1917,98.13,0.013,2.24,0.446,0.954
"126","Particles",0.0006719,0.859,0.035,3164,2494,94.917,0.024,1.442,0.693,0.978
"127","Particles",0.0003192,0.833,0.026,1929,3225,4.145,0.016,1.643,0.609,0.971
