"","names","cat","area"
"1","plastic8","plastic",2.897e-05
"2","plastic8","plastic",0.0012033
"3","plastic8","plastic",0.001
"4","plastic8","plastic",0.0115793
"5","plastic8","plastic",0.00486529
"6","plastic8","plastic",0.0001185
"7","plastic8","plastic",0.000189288
"8","plastic8","plastic",0.0049381
"9","plastic8","plastic",0.0008927
"10","plastic8","plastic",0.000125875
"11","plastic8","plastic",3.15e-05
"12","plastic8","plastic",0.000136
"13","plastic8","plastic",0.0013367
"14","plastic8","plastic",0.0012842
"15","plastic8","plastic",0.0043628
"16","plastic8","plastic",0.0006137
"17","plastic8","plastic",0.00090988
"18","plastic8","plastic",0.00662622
"19","plastic8","plastic",0.002
"20","plastic8","plastic",0.003378
"21","plastic8","plastic",0.0001883
"22","plastic8","plastic",0.00058559
"23","plastic8","plastic",0.0004702844
"24","plastic8","plastic",0.0022032
"25","plastic8","plastic",0.0012589
"26","plastic8","plastic",0.0018483
"27","plastic8","plastic",0.00037278
"28","plastic8","plastic",0.002178813
"29","plastic8","plastic",0.00258483
"30","plastic8","plastic",6.511e-05
"31","plastic8","plastic",0.004631228
"32","plastic8","plastic",0.0007419
"33","plastic8","plastic",0.0036421
"34","plastic8","plastic",0.0015283
"35","plastic8","plastic",0.0001155
"36","plastic8","plastic",0.003
"37","plastic8","plastic",0.00041711
"38","plastic8","plastic",7.65e-05
"39","plastic8","plastic",0.0005719
"40","plastic8","plastic",4.4016e-05
"41","plastic8","plastic",0.0140236
"42","plastic8","plastic",0.0003797
"43","plastic8","plastic",0.00079726
"44","plastic8","plastic",0.003756619
"45","plastic8","plastic",0.0003098
"46","plastic8","plastic",0.0025689
"47","plastic8","plastic",0.0010714
"48","plastic8","plastic",0.002
"49","plastic8","plastic",0.00170466
"50","plastic8","plastic",0.001
"51","plastic8","plastic",0.0027176625
"52","plastic8","plastic",0.0251797404
"53","plastic8","plastic",0.0005418
"54","plastic8","plastic",0.00012262
"55","plastic8","plastic",0.00030737
"56","plastic8","plastic",0.004
"57","plastic8","plastic",0.0043343
"58","plastic8","plastic",0.0168847
"59","plastic8","plastic",0.0151015219
"60","plastic8","plastic",0.0001236
