"","names","cat","area"
"1","plastic13","plastic1",0.0001859
"2","plastic13","plastic1",0.003971
"3","plastic13","plastic1",0.00063284
"4","plastic13","plastic1",0.00014273
"5","plastic13","plastic1",0.0065432
"6","plastic13","plastic1",0.00344021
"7","plastic13","plastic1",0.0001855
"8","plastic13","plastic1",0.0007657
"9","plastic13","plastic1",0.0005074
"10","plastic13","plastic1",6.216e-05
"11","plastic13","plastic1",0.018248478
"12","plastic13","plastic1",0.0009917
"13","plastic13","plastic1",0.0009941
"14","plastic13","plastic1",0.0023407
"15","plastic13","plastic1",0.0020035
"16","plastic13","plastic1",0.00105608
"17","plastic13","plastic1",0.0022267
"18","plastic13","plastic1",6.553e-05
"19","plastic13","plastic1",0.0027057
"20","plastic13","plastic1",0.0005311
"21","plastic13","plastic1",0.0023519
"22","plastic13","plastic1",0.0008846
"23","plastic13","plastic1",0.0004251
"24","plastic13","plastic1",0.0040409
"25","plastic13","plastic1",0.0021215
"26","plastic13","plastic1",0.0039967
"27","plastic13","plastic1",0.00029711
"28","plastic13","plastic1",0.00359052
"29","plastic13","plastic1",0.0008414
"30","plastic13","plastic1",8.663e-05
"31","plastic13","plastic1",0.0003312
"32","plastic13","plastic1",0.0002354
"33","plastic13","plastic1",0.0061053
