"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.004,0.618,0.111,2933,669,151.02,0.06,1.852,0.54,0.92
"2","Particles",4.219e-07,1,0.001,2989,739,135,0.00075,1.464,0.683,0.857
"11","Particles",0.0004161,0.861,0.028,2791,1989,52.193,0.019,1.439,0.695,0.972
"12","Particles",0.001,0.845,0.047,4030,1894,162.429,0.031,1.486,0.673,0.983
"13","Fragments",0.0001441,0.434,0.016,2098,2873,8.326,0.014,1.068,0.936,0.86
"21","Particles",0.0008229,0.869,0.038,960,1457,164.445,0.027,1.368,0.731,0.982
"14","Particles",0.0004274,0.887,0.026,2931,3588,68.663,0.022,1.186,0.843,0.974
"15","Particles",0.001,0.625,0.054,2486,2890,164.814,0.028,1.972,0.507,0.954
"16","Particles",0.0001326,0.904,0.014,2433,3199,147.171,0.013,1.054,0.949,0.953
"22","Particles",2.208e-05,0.655,0.008,561,3998,174.806,0.004,2.01,0.498,0.91
"17","Particles",5.822e-05,0.91,0.01,3507,1671,131.82,0.008,1.124,0.889,0.944
"23","Particles",9.647e-05,0.806,0.015,3410,1678,124.509,0.009,1.678,0.596,0.947
"18","Particles",7.13e-05,0.925,0.011,3080,925,33.69,0.009,1.208,0.828,0.958
"24","Particles",0.002,0.823,0.055,4029,2635,72.926,0.043,1.272,0.786,0.981
"19","Particles",0.0001704,0.778,0.02,2571,1727,36.027,0.011,1.967,0.508,0.956
"110","Particles",0.0006463,0.877,0.032,2875,2120,57.995,0.027,1.17,0.855,0.977
"111","Particles",0.0001308,0.928,0.014,3123,1851,54.638,0.012,1.168,0.856,0.967
"112","Particles",0.001,0.815,0.047,2152,2885,111.886,0.029,1.669,0.599,0.982
"113","Particles",0.002,0.806,0.068,2724,3301,85.914,0.041,1.672,0.598,0.985
"114","Particles",0.0002807,0.888,0.022,1715,3097,106.607,0.017,1.33,0.752,0.972
"115","Particles",0.0002379,0.883,0.021,2453,1801,105.524,0.015,1.423,0.703,0.971
"116","Particles",0.004,0.761,0.078,1759,2325,29.779,0.063,1.167,0.857,0.978
"117","Particles",0.0001588,0.904,0.015,2432,2333,29.745,0.014,1.057,0.946,0.961
"118","Particles",0.0003309,0.886,0.024,3590,1799,61.032,0.018,1.347,0.743,0.973
"119","Particles",0.0001641,0.651,0.023,2214,689,96.546,0.009,2.775,0.36,0.951
"120","Fragments",0.0008955,0.589,0.04,3079,1359,72.741,0.031,1.328,0.753,0.956
"121","Particles",0.001,0.888,0.041,234,1869,67.62,0.032,1.299,0.77,0.983
"122","Particles",0.0002202,0.901,0.019,2786,1894,172.03,0.015,1.241,0.806,0.97
"25","Particles",0.0001405,0.903,0.015,2931,2486,31.701,0.013,1.19,0.84,0.958
"123","Particles",3.994e-05,0.948,0.008,3309,2172,57.095,0.007,1.005,0.995,0.945
"124","Particles",0.0003894,0.885,0.026,2713,2087,35.059,0.019,1.35,0.741,0.974
"125","Fibers",6.469e-06,0.258,0.007,2794,1694,59.036,0.002,4.877,0.205,0.601
"26","Fragments",0.000285,0.32,0.029,2767,1718,67.094,0.015,2.27,0.441,0.854
"3","Particles",0.0001498,0.615,0.019,2761,1680,38.48,0.012,1.583,0.632,0.899
"4","Particles",2.531e-06,0.755,0.003,2798,1684,45,0.002,1.488,0.672,0.818
"5","Particles",0.0003008,0.889,0.022,3215,2556,165.964,0.018,1.18,0.847,0.97
"126","Particles",0.0003451,0.901,0.023,3301,1216,113.199,0.02,1.131,0.884,0.972
"127","Particles",0.0002291,0.855,0.021,1775,1862,39.289,0.014,1.554,0.644,0.966
"128","Particles",0.002,0.745,0.061,1830,2467,19.983,0.041,1.448,0.69,0.976
"129","Fragments",8.845e-05,0.441,0.014,2593,838,73.009,0.01,1.554,0.643,0.836
"27","Particles",5.625e-07,0.857,0.001,2587,811,56.31,0.00075,2.031,0.492,0.8
"130","Fragments",0.0007419,0.427,0.039,1990,1556,150.732,0.029,1.293,0.774,0.891
"28","Particles",4.781e-06,0.77,0.004,2033,1543,21.801,0.002,2.243,0.446,0.861
"31","Particles",7.031e-07,1,0.001,2051,1549,146.31,0.00075,1.553,0.644,0.909
"41","Particles",1.547e-06,1,0.002,2022,1555,53.13,0.001,1.372,0.729,0.957
"51","Particles",9.844e-07,1,0.001,2027,1553,123.69,0.001,1.069,0.936,0.875
"131","Particles",2.7e-05,0.668,0.007,2191,1098,74.476,0.006,1.297,0.771,0.873
"132","Particles",0.0005553,0.895,0.029,3430,2943,17.969,0.025,1.152,0.868,0.976
"133","Fragments",0.0001846,0.599,0.023,2966,503,99.31,0.011,2.302,0.434,0.886
"29","Particles",0.0002467,0.675,0.025,2885,608,11.976,0.013,2.005,0.499,0.94
"134","Fragments",0.0009899,0.565,0.046,3528,1634,63.642,0.028,1.66,0.603,0.948
"210","Fragments",0.000191,0.518,0.022,2180,2585,98.82,0.012,1.856,0.539,0.904
"32","Particles",9.844e-07,1,0.002,3571,1521,26.565,0.00075,1.936,0.517,0.933
"42","Particles",8.494e-05,0.843,0.013,2153,2727,69.444,0.009,1.439,0.695,0.943
"135","Particles",0.0003686,0.901,0.023,2820,1962,101.129,0.021,1.099,0.91,0.973
"136","Particles",3.136e-05,0.923,0.007,2662,2854,70.56,0.006,1.016,0.984,0.937
"137","Particles",5.85e-05,0.923,0.01,1558,2364,65.376,0.008,1.213,0.825,0.947
"211","Particles",0.0001851,0.801,0.021,3289,2390,53.746,0.012,1.817,0.55,0.955
"138","Particles",0.0004227,0.877,0.026,1517,1570,9.189,0.022,1.208,0.828,0.974
"139","Particles",7.214e-05,0.943,0.01,3219,1403,156.251,0.009,1.056,0.947,0.956
"212","Particles",0.0005566,0.779,0.036,2798,2980,82.725,0.022,1.655,0.604,0.961
"140","Particles",1.884e-05,0.953,0.006,789,3883,53.13,0.005,1.171,0.854,0.927
"141","Particles",0.0006711,0.778,0.037,2711,2406,77.661,0.024,1.586,0.63,0.973
"142","Particles",3.572e-05,0.97,0.007,2559,1330,161.565,0.007,1.022,0.978,0.944
"213","Particles",0.0001278,0.747,0.017,1859,2634,169.919,0.01,1.842,0.543,0.933
"143","Particles",7.72e-05,0.837,0.012,3383,1877,76.866,0.009,1.261,0.793,0.925
"144","Particles",0.001,0.843,0.048,1710,1302,111.801,0.036,1.326,0.754,0.982
"214","Particles",0.001,0.66,0.062,3587,2752,82.017,0.026,2.494,0.401,0.975
"145","Particles",0.0003271,0.906,0.023,3395,2078,149.199,0.019,1.182,0.846,0.975
"146","Particles",0.0003686,0.836,0.028,2811,1783,82.972,0.017,1.631,0.613,0.974
"215","Particles",0.0001831,0.887,0.017,2935,1896,57.724,0.015,1.162,0.861,0.961
"147","Particles",0.001,0.69,0.057,3573,941,93.389,0.024,2.373,0.421,0.978
"216","Particles",0.0003465,0.811,0.024,2793,1428,95.356,0.019,1.301,0.769,0.958
"148","Particles",0.0004047,0.818,0.03,220,2471,80.538,0.019,1.592,0.628,0.972
"149","Particles",0.002,0.672,0.071,2256,2118,36.448,0.033,2.281,0.438,0.97
"150","Particles",0.0002184,0.855,0.018,2810,3157,127.569,0.016,1.141,0.877,0.96
"151","Particles",0.0002829,0.753,0.027,3121,2939,81.983,0.014,2.05,0.488,0.963
"152","Particles",0.0002673,0.815,0.024,2020,2118,31.724,0.014,1.769,0.565,0.966
"153","Particles",2.784e-05,0.949,0.007,3047,1005,56.31,0.005,1.139,0.878,0.957
"154","Fragments",0.002,0.44,0.105,2324,2557,37.731,0.034,3.217,0.311,0.894
"217","Particles",9.844e-07,1,0.001,2530,2431,123.69,0.001,1.069,0.936,0.875
"33","Particles",8.438e-07,1,0.001,2527,2437,33.69,0.001,1.291,0.775,0.8
"43","Particles",0.0001735,0.88,0.018,3102,3512,12.011,0.013,1.428,0.7,0.967
"155","Particles",0.018,0.759,0.174,3557,1659,69.343,0.129,1.315,0.761,0.979
"218","Particles",5.625e-07,0.698,0.002,3466,1530,45,0.0007955,2.654,0.377,0.667
"156","Particles",0.000153,0.886,0.017,1433,2317,158.682,0.012,1.373,0.728,0.965
"157","Particles",3.698e-05,0.909,0.008,3774,2031,54.782,0.006,1.23,0.813,0.944
"158","Fragments",0.0003104,0.451,0.027,2480,2228,33.254,0.017,1.612,0.62,0.916
"219","Particles",2.109e-06,0.612,0.003,2488,2206,39.806,0.001,2.703,0.37,0.732
"34","Particles",6.469e-06,0.761,0.005,2499,2232,14.036,0.002,2.556,0.391,0.885
"159","Particles",0.001,0.846,0.044,2076,1560,38.811,0.028,1.546,0.647,0.981
"160","Fragments",1.617e-05,0.579,0.005,3640,2589,120.256,0.005,1.052,0.951,0.849
"220","Fragments",1.28e-05,0.39,0.006,2829,3871,116.565,0.004,1.192,0.839,0.679
"35","Particles",9.422e-06,0.964,0.004,2856,3898,146.31,0.003,1.267,0.789,0.924
"161","Particles",0.0004348,0.743,0.034,2739,2363,78.566,0.016,2.124,0.471,0.971
"162","Particles",0.001,0.725,0.05,2752,1579,110.204,0.033,1.494,0.669,0.958
"221","Particles",0.000533,0.713,0.031,2816,1720,68.325,0.022,1.466,0.682,0.945
"163","Particles",0.001,0.861,0.05,2137,1645,110.606,0.035,1.435,0.697,0.986
"164","Particles",0.0005259,0.889,0.029,2201,1976,61.798,0.024,1.238,0.808,0.974
"165","Particles",0.0006491,0.872,0.033,2499,3085,59.37,0.027,1.179,0.848,0.98
"166","Particles",9.113e-05,0.792,0.014,3315,2294,31.504,0.009,1.543,0.648,0.935
"167","Particles",2.559e-05,0.634,0.007,3009,1007,167.471,0.005,1.326,0.754,0.845
"168","Particles",1.294e-05,0.978,0.005,2791,1837,153.435,0.003,1.386,0.722,0.944
"169","Particles",0.001,0.686,0.048,1817,2440,48.478,0.034,1.376,0.727,0.96
"222","Particles",4.219e-07,1,0.001,1871,2428,45,0.00075,1.464,0.683,0.857
"170","Particles",1.955e-05,0.946,0.006,4937,450,143.13,0.005,1.071,0.933,0.959
"223","Particles",0.0005205,0.89,0.03,2581,2601,103.861,0.022,1.294,0.773,0.979
"171","Particles",0.000397,0.889,0.025,2848,530,46.809,0.02,1.23,0.813,0.973
"172","Particles",0.0005636,0.902,0.03,2944,2718,100.176,0.024,1.236,0.809,0.98
"173","Fibers",0.057,0.273,0.313,2203,2755,63.005,0.266,1.086,0.921,0.904
"224","Particles",1.125e-06,0.71,0.002,2464,2012,158.199,0.0009487,2.617,0.382,0.696
"36","Particles",2.531e-06,0.868,0.003,2457,2017,26.565,0.002,1.587,0.63,0.783
"44","Particles",0.0006532,0.797,0.039,3531,2068,127.2,0.022,1.826,0.548,0.977
"52","Particles",5.709e-05,0.855,0.01,3708,2105,107.745,0.008,1.231,0.812,0.931
"6","Particles",2.25e-06,0.958,0.002,1984,2340,120.964,0.002,1.09,0.918,0.889
"7","Particles",8.438e-07,1,0.002,2154,2611,45,0.001,1.809,0.553,0.8
"8","Particles",1.406e-06,1,0.002,2170,2611,143.13,0.001,1.559,0.641,0.909
"9","Particles",1.406e-06,0.65,0.002,2152,2614,170.538,0.001,2.015,0.496,0.769
"10","Particles",1.266e-06,0.799,0.002,2174,2617,45,0.001,2.094,0.477,0.75
"1110","Particles",1.828e-06,0.922,0.002,2591,2622,51.34,0.001,1.911,0.523,0.839
"1210","Particles",5.625e-07,0.857,0.001,2129,2638,123.69,0.00075,2.031,0.492,0.8
"1310","Particles",3.234e-06,0.756,0.003,2325,2670,50.194,0.002,1.498,0.668,0.73
"1410","Particles",5.625e-07,0.857,0.001,2561,2674,56.31,0.00075,2.031,0.492,0.8
"1510","Particles",1.688e-06,0.719,0.002,2554,2679,99.462,0.001,1.892,0.529,0.828
"1610","Particles",3.234e-06,0.824,0.003,2210,2686,29.745,0.002,1.837,0.544,0.807
"174","Particles",4.781e-06,0.685,0.004,2496,2688,108.435,0.002,1.526,0.655,0.773
"181","Particles",1.266e-06,0.923,0.002,2167,2691,126.87,0.001,1.539,0.65,0.9
"191","Particles",1.125e-06,1,0.002,2542,2702,45,0.001,1.229,0.814,0.941
"20","Particles",5.484e-06,0.674,0.004,2176,2705,109.983,0.002,2.585,0.387,0.83
"2110","Particles",1.266e-06,1,0.002,2497,2705,153.435,0.001,1.536,0.651,0.857
"225","Particles",0.000213,0.724,0.02,2229,2719,130.486,0.015,1.192,0.839,0.917
"175","Fragments",0.012,0.514,0.163,3067,1811,145.471,0.115,1.55,0.645,0.874
"226","Fragments",2.109e-06,0.357,0.004,3079,1974,108.435,0.002,2.477,0.404,0.536
"37","Particles",0.008,0.612,0.122,3050,1971,39.873,0.088,1.355,0.738,0.919
"45","Particles",0.003,0.617,0.072,3236,2034,8.633,0.05,1.399,0.715,0.924
"53","Particles",1.125e-06,1,0.002,3073,1973,165.964,0.001,1.195,0.837,0.8
"176","Particles",0.0004658,0.89,0.026,3206,2865,141.47,0.023,1.128,0.886,0.974
"177","Particles",0.0007227,0.699,0.042,2080,2220,73.35,0.026,1.746,0.573,0.928
"178","Fragments",0.005,0.575,0.109,2368,2695,104.995,0.064,1.79,0.559,0.922
"227","Particles",0.001,0.881,0.048,2562,1345,140.993,0.037,1.304,0.767,0.985
"38","Particles",4.219e-07,0.809,0.001,2355,2802,108.435,0.000375,3,0.333,1
"179","Particles",0.0001316,0.924,0.014,2135,1772,66.194,0.012,1.099,0.91,0.963
"180","Particles",0.0007768,0.866,0.039,2869,1550,96.71,0.026,1.457,0.687,0.98
"182","Particles",0.0001578,0.834,0.018,2132,2401,34.019,0.012,1.572,0.636,0.949
"183","Particles",4.88e-05,0.954,0.009,1806,1761,66.801,0.007,1.078,0.927,0.949
"184","Fibers",0.0003547,0.243,0.035,2389,2758,29.899,0.018,2.363,0.423,0.785
"228","Particles",4.978e-05,0.681,0.009,2410,2711,82.875,0.008,1.097,0.911,0.87
"39","Particles",3.684e-05,0.759,0.009,2391,2741,118.811,0.007,1.197,0.836,0.896
"46","Particles",7.031e-07,1,0.001,2423,2747,146.31,0.00075,1.553,0.644,0.909
"185","Particles",0.018,0.678,0.163,2677,2378,6.748,0.149,1.085,0.922,0.966
"229","Particles",5.625e-07,1,0.001,2958,2517,161.565,0.00075,1.468,0.681,0.8
"310","Particles",2.109e-06,0.869,0.002,2962,2523,38.66,0.002,1.736,0.576,0.789
"47","Particles",7.031e-07,1,0.001,2848,2528,56.31,0.00075,1.553,0.644,0.909
"54","Particles",9.844e-07,0.687,0.002,2849,2531,36.87,0.001,2.281,0.438,0.609
"186","Particles",0.0004438,0.799,0.03,2180,2291,36.444,0.02,1.409,0.71,0.964
"230","Particles",0.0003822,0.828,0.027,2119,2255,148.079,0.019,1.215,0.823,0.967
"187","Fibers",0.0003161,0.296,0.027,3409,2830,168.845,0.021,1.312,0.762,0.792
"231","Particles",8.438e-07,0.769,0.002,3425,2852,26.565,0.001,2.023,0.494,0.706
"311","Particles",1.969e-06,0.911,0.002,3426,2858,120.964,0.002,1.556,0.643,0.848
"188","Particles",0.0003739,0.882,0.025,2294,1819,128.395,0.02,1.291,0.775,0.973
"189","Particles",0.001,0.633,0.058,2366,1786,126.353,0.025,2.326,0.43,0.966
"190","Particles",0.0004932,0.891,0.029,1604,2127,160.145,0.022,1.289,0.776,0.977
"192","Particles",0.0006889,0.759,0.033,2382,1597,126.741,0.028,1.112,0.899,0.963
"193","Particles",0.0006986,0.787,0.04,2654,1810,38.157,0.024,1.722,0.581,0.972
"194","Particles",0.0002399,0.885,0.021,2299,1410,36.87,0.015,1.356,0.737,0.968
"195","Particles",0.0001945,0.765,0.02,4183,1392,38.157,0.014,1.507,0.664,0.939
"196","Particles",0.0001192,0.885,0.015,2347,2790,98.746,0.01,1.411,0.709,0.963
"197","Particles",0.0001633,0.868,0.018,2676,2365,78.93,0.012,1.478,0.676,0.965
"198","Particles",0.0006131,0.77,0.033,3591,1387,127.131,0.024,1.346,0.743,0.965
"199","Particles",0.0006834,0.69,0.041,2976,107,101.104,0.021,1.946,0.514,0.963
"1100","Particles",0.0001032,0.881,0.014,2058,1344,83.66,0.01,1.376,0.727,0.957
"1101","Particles",0.0003188,0.792,0.025,2402,3884,30.379,0.017,1.52,0.658,0.956
"232","Particles",0.0002725,0.757,0.023,2406,3961,30.324,0.016,1.495,0.669,0.951
"1102","Particles",0.002,0.766,0.072,2889,1974,32.037,0.045,1.604,0.623,0.978
"1103","Particles",0.006,0.736,0.099,2532,1777,122.722,0.082,1.157,0.865,0.956
"233","Particles",0.003,0.744,0.071,2488,2041,12.791,0.052,1.406,0.711,0.946
"1104","Particles",0.003,0.837,0.076,2432,2279,112.793,0.06,1.236,0.809,0.985
"1105","Fragments",4.078e-06,0.36,0.005,3590,2021,12.995,0.002,4.143,0.241,0.598
"1106","Particles",0.002,0.78,0.07,2937,2483,138.9,0.042,1.679,0.595,0.976
"1107","Fibers",0.01,0.218,0.191,2936,75,8.481,0.08,2.281,0.438,0.924
"234","Fragments",2.812e-06,0.513,0.004,3434,13,60.945,0.001,3.517,0.284,0.741
"312","Particles",2.391e-06,1,0.002,3010,21,149.036,0.002,1.276,0.784,0.919
"48","Particles",3.094e-06,0.681,0.003,3010,28,29.745,0.002,1.498,0.667,0.746
"55","Particles",2.672e-06,0.681,0.003,3007,28,135,0.002,2.207,0.453,0.76
"61","Particles",1.927e-05,0.616,0.007,3363,54,51.843,0.005,1.307,0.765,0.815
"71","Particles",5.161e-05,0.617,0.01,3375,57,29.476,0.008,1.093,0.915,0.875
"81","Particles",1.266e-06,0.799,0.002,3404,42,126.87,0.001,1.709,0.585,0.75
"91","Particles",5.063e-06,0.815,0.003,3347,67,116.565,0.003,1.29,0.775,0.8
"101","Particles",5.344e-06,0.766,0.004,3349,83,161.565,0.002,1.494,0.669,0.826
"1111","Particles",3.094e-06,0.809,0.003,3318,121,146.31,0.002,1.134,0.882,0.846
"1211","Particles",2.25e-06,0.719,0.002,2974,133,170.538,0.002,1.262,0.792,0.727
"1311","Particles",3.656e-06,0.719,0.003,3268,147,110.556,0.002,1.902,0.526,0.812
"1411","Particles",2.812e-06,0.674,0.003,3257,165,35.538,0.002,2.108,0.474,0.769
"1511","Particles",2.109e-06,0.804,0.003,3026,179,146.31,0.001,2.371,0.422,0.789
"1611","Particles",0.0002672,0.77,0.026,4111,1590,170.811,0.013,2.026,0.494,0.964
"1710","Particles",0.0002391,0.72,0.026,1590,1954,3.318,0.011,2.317,0.432,0.964
"1108","Particles",0.002,0.729,0.057,2959,1564,167.879,0.039,1.463,0.683,0.97
"235","Particles",0.0002685,0.898,0.021,2027,2925,140.856,0.018,1.19,0.84,0.97
"1109","Particles",0.0003312,0.838,0.026,3923,905,83.387,0.017,1.593,0.628,0.972
"236","Particles",0.0005567,0.752,0.037,2382,2419,102.216,0.02,1.889,0.529,0.972
"1112","Particles",0.0001607,0.829,0.019,1671,247,98.13,0.011,1.654,0.605,0.96
"1113","Fragments",0.0004999,0.585,0.033,2382,1910,166.759,0.021,1.66,0.603,0.918
"237","Particles",1.28e-05,0.892,0.005,3139,2095,143.973,0.004,1.392,0.718,0.91
"1114","Particles",0.0009172,0.774,0.043,2712,1370,151.666,0.028,1.526,0.655,0.974
"1115","Particles",0.0007107,0.883,0.035,1741,1807,175.03,0.028,1.232,0.812,0.978
"1116","Particles",0.0002107,0.911,0.018,2576,1921,149.657,0.016,1.127,0.888,0.967
"1117","Particles",0.0009832,0.652,0.047,3112,2249,165.743,0.031,1.549,0.646,0.909
"1118","Particles",0.002,0.904,0.051,1731,1727,8.489,0.045,1.122,0.891,0.987
"1119","Particles",3.291e-05,0.94,0.007,3727,1309,161.565,0.006,1.054,0.949,0.94
"1120","Fragments",0.0008137,0.58,0.055,1987,1968,100.166,0.018,3.134,0.319,0.965
"238","Particles",0.0007196,0.623,0.05,1702,1556,151.902,0.02,2.593,0.386,0.95
"313","Particles",0.0009913,0.667,0.056,1892,1738,114.158,0.024,2.452,0.408,0.969
"1121","Particles",0.0002275,0.722,0.022,1767,2729,14.036,0.015,1.49,0.671,0.939
"1122","Particles",0.0002417,0.838,0.023,1737,1458,58.392,0.014,1.679,0.596,0.969
"239","Particles",0.0003739,0.882,0.023,3371,2696,148.878,0.022,1.051,0.951,0.971
"314","Particles",6.3e-05,0.91,0.011,3541,2688,112.932,0.008,1.35,0.741,0.95
"1123","Particles",0.0001284,0.915,0.014,2980,1790,113.806,0.012,1.145,0.873,0.963
"1124","Fragments",0.0007374,0.385,0.043,2717,3110,148.523,0.026,1.774,0.564,0.878
"240","Particles",1.969e-06,0.911,0.002,2784,3170,59.036,0.002,1.308,0.765,0.824
"315","Particles",1.547e-06,0.659,0.002,2788,3172,161.565,0.001,1.876,0.533,0.759
"1125","Particles",0.002,0.709,0.067,2482,1687,124.492,0.044,1.487,0.672,0.959
"1126","Particles",0.0005909,0.833,0.029,2326,1627,74.876,0.027,1.058,0.945,0.971
"1127","Particles",0.0001214,0.883,0.015,2555,2382,140.013,0.011,1.433,0.698,0.959
"1128","Particles",0.0001363,0.763,0.015,2540,2239,36.027,0.013,1.141,0.876,0.929
"1129","Particles",2.742e-05,0.929,0.007,1842,2160,13.241,0.006,1.108,0.903,0.92
"1130","Particles",0.0003378,0.913,0.023,2817,2692,32.106,0.019,1.156,0.865,0.975
