"","names","cat","area"
"1","paper8","paper",0.00733397
"2","paper8","paper",0.0146068625
"3","paper8","paper",0.0020164
"4","paper8","paper",0.002516797
"5","paper8","paper",0.00138751
"6","paper8","paper",0.00050854
"7","paper8","paper",0.0053949
"8","paper8","paper",0.0650904558
"9","paper8","paper",0.0143316987
"10","paper8","paper",0.0001503
"11","paper8","paper",0.0007629
"12","paper8","paper",0.00481764
"13","paper8","paper",0.00228853
"14","paper8","paper",0.0001569
"15","paper8","paper",0.001
"16","paper8","paper",0.000216
"17","paper8","paper",0.0007414
"18","paper8","paper",0.0008009
"19","paper8","paper",0.0003327
"20","paper8","paper",0.0067843
"21","paper8","paper",0.015
"22","paper8","paper",0.00185529
"23","paper8","paper",0.0002691
"24","paper8","paper",0.0025345
"25","paper8","paper",0.0040387
"26","paper8","paper",0.0008758
"27","paper8","paper",0.0002670438
"28","paper8","paper",0.00140944
"29","paper8","paper",0.0031104063
"30","paper8","paper",0.0040012656
"31","paper8","paper",0.0047689
"32","paper8","paper",0.000333325
