"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.0003106,0.664,0.026,3420,542,106.858,0.018,1.532,0.653,0.858
"2","Particles",0.0005687,0.716,0.035,3394,683,149.876,0.023,1.634,0.612,0.935
"3","Particles",0.0001754,0.867,0.016,3385,737,144.462,0.015,1.072,0.933,0.954
"4","Particles",8.297e-05,0.926,0.011,3437,774,168.69,0.009,1.179,0.848,0.955
"5","Particles",0.0008227,0.818,0.042,2076,1186,78.69,0.025,1.709,0.585,0.98
"6","Particles",0.0002831,0.893,0.021,2618,2065,169.875,0.017,1.233,0.811,0.972
"7","Particles",0.0002655,0.905,0.02,2577,2220,29.876,0.017,1.168,0.856,0.969
"8","Particles",0.0004726,0.816,0.033,2612,3806,166.122,0.019,1.775,0.564,0.978
"11","Particles",0.0001001,0.879,0.014,2113,1379,77.471,0.009,1.5,0.667,0.958
"21","Particles",0.000324,0.866,0.024,2619,3594,98.881,0.017,1.442,0.693,0.971
"31","Particles",0.001,0.704,0.05,2620,4000,3.871,0.029,1.709,0.585,0.981
"12","Fragments",0.004,0.46,0.115,2570,2361,104.763,0.054,2.179,0.459,0.896
"22","Particles",0.0002978,0.77,0.027,2096,1668,106.164,0.014,1.932,0.518,0.962
"13","Particles",0.0009315,0.873,0.038,1633,2118,66.949,0.032,1.199,0.834,0.981
"14","Particles",0.0002625,0.896,0.02,3067,1717,107.103,0.017,1.194,0.838,0.972
"15","Fragments",0.122,0.467,0.656,3293,2726,89.312,0.275,2.477,0.404,0.911
"23","Particles",9.844e-07,0.8,0.002,3111,2462,36.87,0.001,2.041,0.49,0.778
"16","Particles",0.0009879,0.802,0.042,2638,2081,20.376,0.033,1.296,0.772,0.954
"17","Particles",0.0003509,0.876,0.026,2842,1307,112.426,0.018,1.443,0.693,0.974
"18","Fragments",0.0002783,0.413,0.036,1390,1159,100.729,0.011,4.142,0.241,0.83
"24","Particles",0.000172,0.701,0.022,1394,1198,104.036,0.01,2.247,0.445,0.945
"19","Particles",9.492e-05,0.91,0.012,2548,1321,56.31,0.011,1.143,0.875,0.952
"110","Particles",0.0007747,0.857,0.039,3154,1672,62.939,0.026,1.498,0.668,0.981
"111","Particles",0.0005245,0.874,0.029,1954,1556,146.514,0.025,1.187,0.842,0.975
"112","Particles",0.0001818,0.659,0.024,2836,3999,179.091,0.011,1.912,0.523,0.969
"113","Particles",0.001,0.812,0.056,2720,1163,155.842,0.032,1.672,0.598,0.977
"114","Particles",0.008,0.823,0.125,2277,1718,61.897,0.091,1.388,0.72,0.984
"115","Particles",0.0004482,0.713,0.029,2865,1218,144.638,0.022,1.289,0.776,0.954
"116","Particles",0.0004404,0.87,0.026,2443,1694,155.695,0.023,1.108,0.903,0.969
"117","Particles",0.001,0.643,0.056,3560,804,5.404,0.027,2.03,0.493,0.958
"25","Particles",0.0001993,0.922,0.017,2806,1354,110.854,0.015,1.077,0.928,0.968
"118","Particles",0.00048,0.725,0.035,2135,2810,94.97,0.018,1.986,0.504,0.968
"119","Particles",0.001,0.892,0.042,2828,2337,157.341,0.033,1.244,0.804,0.984
"120","Particles",0.0004597,0.892,0.028,737,172,159.624,0.022,1.252,0.798,0.976
"121","Fragments",0.002,0.576,0.073,2194,1920,142.306,0.04,1.941,0.515,0.91
"122","Fragments",0.007,0.549,0.109,2930,954,155.114,0.088,1.123,0.89,0.974
"26","Fragments",1.125e-06,0.479,0.003,3194,1070,63.435,0.0008385,3.896,0.257,0.696
"32","Particles",1.688e-06,0.643,0.003,2948,937,26.565,0.001,2.675,0.374,0.75
"41","Particles",9.844e-07,0.943,0.002,3197,1051,63.435,0.00075,1.936,0.517,0.933
"123","Fragments",0.004,0.352,0.13,2263,2372,78.82,0.051,2.987,0.335,0.731
"124","Particles",0.001,0.638,0.046,2496,2497,106.966,0.029,1.616,0.619,0.962
"125","Particles",0.0003943,0.896,0.026,1696,1639,95.877,0.02,1.254,0.797,0.975
"126","Particles",0.0003776,0.821,0.025,3347,1275,56.793,0.021,1.073,0.932,0.96
"27","Particles",0.0004478,0.781,0.03,3348,1276,166.477,0.022,1.279,0.782,0.949
"127","Particles",0.000919,0.757,0.045,1762,2994,94.764,0.03,1.487,0.673,0.946
"128","Particles",1.688e-05,0.969,0.005,2660,1880,146.31,0.004,1.234,0.811,0.923
"129","Particles",0.0009383,0.862,0.042,2949,2575,100.905,0.03,1.414,0.707,0.98
"130","Particles",0.004,0.745,0.077,3120,2165,84.958,0.064,1.152,0.868,0.973
"131","Fragments",0.003,0.591,0.087,1952,2175,164.224,0.039,2.503,0.4,0.886
"28","Particles",0.0009267,0.785,0.041,2028,2164,133.128,0.03,1.144,0.874,0.957
"33","Particles",0.0007574,0.746,0.041,1960,2163,130.888,0.029,1.368,0.731,0.949
"42","Particles",0.000794,0.796,0.038,2110,2173,117.316,0.028,1.325,0.755,0.949
"132","Particles",6.792e-05,0.952,0.01,1078,1796,31.329,0.009,1.101,0.908,0.959
"29","Particles",0.003,0.666,0.067,3058,2129,28.713,0.06,1.048,0.954,0.946
"34","Particles",5.625e-07,1,0.001,3093,2131,135,0.00075,1,1,1
"43","Particles",0.000269,0.888,0.022,1127,2653,68.749,0.016,1.336,0.748,0.971
"133","Fragments",0.001,0.344,0.052,4072,1459,65.487,0.042,1.094,0.914,0.788
"210","Particles",6.145e-05,0.625,0.012,4119,1333,114.146,0.007,1.795,0.557,0.892
"35","Particles",0.001,0.666,0.044,4027,1366,140.882,0.035,1.26,0.794,0.928
"44","Particles",2.672e-06,0.725,0.003,4118,1369,29.745,0.002,1.965,0.509,0.776
"51","Particles",1.688e-06,0.967,0.002,4134,1384,68.199,0.001,1.469,0.681,0.889
"61","Particles",6.764e-05,0.664,0.011,1453,1929,24.775,0.01,1.089,0.918,0.881
"71","Particles",5.625e-07,1,0.001,1474,1932,33.69,0.00075,2.031,0.492,0.8
