"","names","cat","area"
"1","plastic5","plastic",0.0003495
"2","plastic5","plastic",0.001
"3","plastic5","plastic",0.0004028
"4","plastic5","plastic",0.005
"5","plastic5","plastic",0.0002637
"6","plastic5","plastic",0.0006154
"7","plastic5","plastic",0.0046482538
"8","plastic5","plastic",0.0007733
"9","plastic5","plastic",0.0002133
"10","plastic5","plastic",0.00778823
"11","plastic5","plastic",0.0054626
"12","plastic5","plastic",3.389e-05
"13","plastic5","plastic",0.0096006
"14","plastic5","plastic",0.0022516
"15","plastic5","plastic",0.00475238
"16","plastic5","plastic",1.406e-05
"17","plastic5","plastic",0.0042559
"18","plastic5","plastic",0.0001965
"19","plastic5","plastic",0.0066449
"20","plastic5","plastic",0.0037442
"21","plastic5","plastic",0.00011531
"22","plastic5","plastic",6.905e-05
"23","plastic5","plastic",0.02102561
"24","plastic5","plastic",0.0015071
"25","plastic5","plastic",0.00099333
"26","plastic5","plastic",0.0022154
"27","plastic5","plastic",0.0027967
"28","plastic5","plastic",0.0019779
"29","plastic5","plastic",0.0023828
"30","plastic5","plastic",0.000279708
"31","plastic5","plastic",0.0004189
"32","plastic5","plastic",0.0213699
"33","plastic5","plastic",0.0015902
"34","plastic5","plastic",0.0012666
"35","plastic5","plastic",0.00206313
"36","plastic5","plastic",0.0004528
"37","plastic5","plastic",0.00094402
"38","plastic5","plastic",0.003940994
"39","plastic5","plastic",0.00206919
"40","plastic5","plastic",0.00127723
"41","plastic5","plastic",0.00403927
"42","plastic5","plastic",0.0260173
"43","plastic5","plastic",0.0011665
