"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",6.82e-05,0.929,0.011,3174,2159,73.496,0.008,1.25,0.8,0.958
"11","Particles",0.000389,0.882,0.024,2137,2262,17.301,0.022,1.089,0.918,0.967
"12","Particles",0.000847,0.843,0.04,2766,1989,39.251,0.03,1.353,0.739,0.979
"13","Particles",1.744e-05,0.907,0.005,2791,1828,146.31,0.005,1.065,0.939,0.912
"14","Particles",0.0004946,0.83,0.029,3128,2028,15.843,0.024,1.182,0.846,0.969
"15","Particles",0.0002973,0.909,0.021,2309,403,67.62,0.019,1.086,0.921,0.969
"16","Particles",0.001,0.826,0.052,988,2486,6.613,0.033,1.58,0.633,0.984
"17","Fragments",0.0003447,0.5,0.036,2066,2677,53.973,0.014,2.99,0.334,0.904
"2","Particles",0.0002537,0.635,0.025,2091,2659,62.281,0.014,1.862,0.537,0.941
"3","Particles",8.663e-05,0.739,0.013,2068,2678,74.745,0.01,1.289,0.776,0.919
"18","Particles",0.0002298,0.919,0.018,1873,2110,33.024,0.017,1.036,0.965,0.97
"19","Particles",0.0002966,0.854,0.023,1290,2486,22.329,0.018,1.268,0.789,0.969
"110","Particles",0.0003111,0.887,0.022,1987,3372,139.086,0.018,1.223,0.818,0.972
"111","Particles",0.0008245,0.874,0.036,2739,2096,167.276,0.031,1.141,0.876,0.979
"112","Particles",0.000136,0.891,0.015,3072,2311,111.541,0.012,1.323,0.756,0.961
"113","Particles",2.292e-05,0.946,0.006,1563,1525,97.125,0.005,1.103,0.906,0.921
"114","Particles",0.0001893,0.921,0.017,3067,1399,57.031,0.015,1.076,0.929,0.968
"115","Particles",0.0001495,0.896,0.016,3002,2094,126.607,0.012,1.363,0.734,0.962
"116","Fragments",1.392e-05,0.376,0.01,2420,0,177.879,0.002,4.894,0.204,0.917
"117","Particles",0.0003154,0.847,0.025,2218,2518,157.249,0.017,1.537,0.65,0.971
"118","Particles",0.00034,0.912,0.024,3296,2233,75.303,0.018,1.265,0.79,0.977
"119","Particles",2.194e-05,0.939,0.006,595,2248,150.255,0.005,1.161,0.861,0.929
"120","Fragments",0.02,0.541,0.269,2170,1912,144.805,0.111,2.731,0.366,0.896
"21","Particles",0.006,0.78,0.102,2190,1897,106.032,0.082,1.124,0.889,0.975
"31","Particles",0.007,0.731,0.122,2410,2020,109.938,0.088,1.268,0.789,0.976
"4","Particles",0.007,0.717,0.123,2526,2093,132.285,0.092,1.304,0.767,0.945
"121","Particles",0.0007736,0.802,0.038,1693,2391,32.428,0.029,1.32,0.757,0.957
"122","Particles",0.0003644,0.874,0.026,1589,1038,58.61,0.019,1.399,0.715,0.975
"123","Particles",0.0001811,0.911,0.017,1947,1964,33.341,0.014,1.201,0.833,0.968
"124","Particles",0.0001567,0.877,0.017,1462,2834,34.38,0.012,1.473,0.679,0.962
"125","Particles",0.0005039,0.894,0.029,2317,2236,142.386,0.023,1.271,0.787,0.976
"126","Particles",0.0003431,0.894,0.023,1595,2439,16.966,0.019,1.178,0.849,0.972
"127","Particles",0.008,0.768,0.128,2918,2063,169.184,0.082,1.598,0.626,0.983
"128","Particles",0.0003022,0.92,0.021,1955,2409,23.334,0.019,1.069,0.935,0.973
"129","Fibers",0.004,0.184,0.105,2841,3949,42.109,0.054,1.95,0.513,0.757
"22","Fragments",9.844e-07,0.496,0.002,2884,3883,141.34,0.000975,3.102,0.322,0.609
"32","Particles",0.000421,0.909,0.026,3487,2311,107.904,0.021,1.182,0.846,0.977
"41","Particles",4.219e-07,1,0.001,2848,3740,45,0.00075,1.464,0.683,0.857
"5","Particles",2.812e-06,0.925,0.003,2917,3773,56.31,0.002,1.433,0.698,0.93
"6","Particles",4.219e-07,1,0.001,3058,3824,45,0.00075,1.464,0.683,0.857
"7","Particles",9.844e-07,1,0.001,2986,3833,123.69,0.001,1.069,0.936,0.875
"8","Particles",1.125e-06,0.914,0.002,2821,3853,116.565,0.001,1.435,0.697,0.842
"9","Particles",1.406e-06,1,0.002,2875,3881,53.13,0.001,1.551,0.645,0.909
"10","Particles",7.031e-07,0.873,0.002,2957,3881,45,0.0007955,2.308,0.433,0.769
"1110","Particles",9.844e-07,1,0.002,2887,3903,26.565,0.00075,1.936,0.517,0.933
"1210","Particles",9.844e-07,1,0.002,2867,3914,45,0.001,1.596,0.626,0.875
"131","Particles",7.031e-07,0.873,0.001,2916,3916,108.435,0.001,1,1,0.714
"141","Particles",2.391e-06,0.911,0.002,2911,3926,38.66,0.002,1.556,0.643,0.829
"151","Particles",8.438e-07,1,0.001,2841,3940,123.69,0.00075,1.5,0.667,1
"161","Particles",1.125e-06,0.914,0.002,2845,3952,143.13,0.001,1.939,0.516,0.842
"171","Particles",4.219e-07,0.967,0.001,2788,3999,161.565,0.000375,3,0.333,1
"130","Particles",4.163e-05,0.962,0.008,2337,2940,112.834,0.007,1.019,0.981,0.949
"132","Particles",0.0005188,0.806,0.034,3235,2087,147.189,0.021,1.661,0.602,0.972
"133","Particles",0.0007498,0.875,0.036,1722,4171,126.511,0.029,1.2,0.833,0.978
"134","Particles",0.006,0.672,0.114,2967,1805,130.99,0.079,1.583,0.632,0.936
"135","Particles",2.25e-05,0.939,0.006,468,2000,34.695,0.005,1.022,0.978,0.92
"136","Particles",0.000241,0.855,0.021,1826,2018,132.138,0.015,1.456,0.687,0.961
"23","Particles",9.323e-05,0.936,0.012,2725,2657,60.945,0.011,1.023,0.978,0.959
"137","Particles",0.0008135,0.879,0.036,1176,2285,39.579,0.031,1.156,0.865,0.98
"138","Particles",0.001,0.866,0.039,1389,2659,77.829,0.034,1.107,0.904,0.979
"139","Particles",7.973e-05,0.906,0.012,3520,2688,19.026,0.009,1.275,0.784,0.952
"140","Fragments",0.013,0.592,0.158,1756,2603,20.064,0.116,1.417,0.706,0.932
"24","Particles",0.007,0.679,0.127,1776,2624,67.224,0.073,1.698,0.589,0.961
"33","Particles",5.625e-07,0.857,0.001,1748,2554,123.69,0.00075,2,0.5,0.8
"42","Particles",4.219e-07,1,0.001,2099,2556,45,0.00075,1.464,0.683,0.857
"142","Particles",0.000138,0.9,0.015,2930,2064,100.176,0.012,1.196,0.836,0.958
"143","Particles",0.0004568,0.606,0.032,2780,2164,164.332,0.021,1.554,0.644,0.944
"144","Particles",0.0002122,0.865,0.02,2980,2024,68.199,0.014,1.494,0.669,0.967
"145","Particles",5.906e-05,0.89,0.01,1941,4300,102.995,0.008,1.306,0.766,0.944
"146","Particles",0.0002526,0.881,0.021,2930,2122,107.475,0.015,1.371,0.73,0.97
"147","Particles",5.034e-05,0.945,0.009,2166,2659,66.801,0.008,1.022,0.978,0.948
"148","Particles",0.002,0.881,0.053,3454,2316,24.578,0.045,1.187,0.842,0.986
"149","Particles",0.0001554,0.841,0.018,1912,2752,21.125,0.012,1.571,0.637,0.956
"150","Particles",4.908e-05,0.943,0.008,1893,1705,147.724,0.007,1.063,0.94,0.947
"152","Particles",8.227e-05,0.93,0.011,2388,2071,120.964,0.01,1.052,0.951,0.952
"153","Particles",0.0004632,0.906,0.026,1294,1916,121.39,0.024,1.073,0.932,0.978
"154","Particles",0.000435,0.856,0.029,2545,3122,11.023,0.02,1.501,0.666,0.974
"155","Particles",0.0002218,0.897,0.018,2368,1323,111.801,0.016,1.129,0.886,0.967
"156","Particles",0.0004478,0.819,0.031,143,1462,174.428,0.018,1.688,0.592,0.974
"157","Particles",0.0001195,0.916,0.014,2715,1551,167.471,0.011,1.207,0.828,0.962
"158","Particles",0.015,0.783,0.155,1616,1413,146.58,0.131,1.155,0.866,0.979
"159","Particles",0.00028,0.899,0.022,2803,2559,158.749,0.017,1.284,0.779,0.974
"160","Particles",0.0001184,0.828,0.014,2864,1901,122.829,0.011,1.231,0.812,0.945
"162","Particles",0.000269,0.716,0.024,2858,1464,113.318,0.015,1.606,0.623,0.952
"163","Particles",0.0001561,0.856,0.017,3066,1829,10.081,0.012,1.46,0.685,0.96
"164","Particles",0.0001787,0.907,0.017,2544,2247,18.825,0.013,1.293,0.773,0.968
"165","Particles",0.00087,0.701,0.046,2022,2157,64.676,0.025,1.957,0.511,0.969
"166","Particles",0.0001931,0.815,0.021,2871,3131,71.896,0.013,1.685,0.593,0.962
