"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Fragments",0.005,0.332,0.148,2853,2454,64.406,0.066,2.086,0.479,0.774
"2","Fragments",8.438e-07,0.589,0.002,3008,2108,36.87,0.001,2.558,0.391,0.571
"3","Particles",2.391e-06,0.625,0.003,3006,2117,69.444,0.001,3.099,0.323,0.85
"4","Particles",9.844e-07,0.8,0.002,3005,2121,116.565,0.001,1.668,0.6,0.778
"5","Particles",5.625e-07,0.611,0.002,2967,2170,26.565,0.0007115,3.093,0.323,0.667
"6","Particles",3.094e-06,0.84,0.003,2939,2181,56.31,0.002,1.238,0.808,0.8
"7","Particles",2.25e-06,0.671,0.003,2931,2180,33.69,0.002,2.066,0.484,0.821
"11","Particles",0.000181,0.876,0.018,3010,2121,8.297,0.013,1.424,0.702,0.964
"12","Particles",9.577e-05,0.876,0.012,2592,1666,146.31,0.011,1.107,0.904,0.946
"13","Fragments",0.001,0.575,0.064,2625,2289,38.346,0.027,2.775,0.36,0.861
"21","Particles",0.0007449,0.687,0.041,2659,2219,13.908,0.026,1.608,0.622,0.919
"31","Particles",0.0005697,0.836,0.032,2651,2305,84.623,0.024,1.245,0.803,0.964
"14","Particles",0.0001167,0.904,0.014,2266,2050,158.199,0.011,1.312,0.762,0.961
"22","Particles",0.0001804,0.781,0.016,2168,2070,138.691,0.015,1.084,0.923,0.944
"15","Particles",0.00089,0.877,0.038,3072,3002,125.863,0.03,1.271,0.787,0.978
"16","Fragments",0.002,0.527,0.06,3002,2191,118.156,0.047,1.3,0.769,0.956
"23","Particles",0.000269,0.888,0.021,3065,2090,124.824,0.017,1.235,0.81,0.966
"17","Particles",0.000186,0.913,0.017,2878,1899,150.101,0.014,1.206,0.829,0.968
"24","Particles",0.001,0.791,0.047,2887,2549,109.747,0.034,1.374,0.728,0.977
"18","Fragments",0.007,0.571,0.12,2213,2295,29.612,0.09,1.342,0.745,0.94
"25","Particles",4.078e-06,0.784,0.003,2372,2069,14.036,0.002,1.473,0.679,0.806
"19","Particles",0.001,0.886,0.044,2886,2426,82.213,0.037,1.2,0.833,0.983
"110","Particles",0.0002101,0.671,0.026,3387,2345,164.745,0.01,2.564,0.39,0.962
"111","Particles",0.001,0.894,0.043,3086,1698,124.951,0.037,1.141,0.876,0.983
"112","Particles",0.0009193,0.876,0.04,3038,2023,73.457,0.031,1.304,0.767,0.98
"113","Particles",0.001,0.863,0.04,3057,2002,37.405,0.035,1.137,0.879,0.977
"114","Particles",0.0002377,0.892,0.019,3060,2294,170.91,0.017,1.14,0.877,0.963
"115","Particles",6.497e-05,0.932,0.01,3372,1749,171.254,0.009,1.102,0.908,0.948
"116","Particles",0.0001315,0.834,0.017,2258,2237,69.146,0.01,1.707,0.586,0.955
"117","Particles",0.0003298,0.92,0.021,3277,2977,21.615,0.02,1.036,0.965,0.974
"118","Particles",0.001,0.893,0.039,3634,1633,72.777,0.034,1.15,0.87,0.982
"119","Particles",0.0006273,0.801,0.034,2163,2051,169.303,0.026,1.198,0.835,0.965
"26","Particles",0.0005257,0.804,0.03,2253,2070,97.927,0.025,1.081,0.925,0.964
"120","Fragments",6.413e-05,0.443,0.01,3415,1500,111.038,0.009,1.111,0.9,0.844
"27","Particles",9.141e-06,0.92,0.004,3428,1345,123.69,0.003,1.231,0.812,0.897
"32","Particles",0.0002672,0.891,0.022,3499,2165,67.457,0.016,1.324,0.755,0.971
"121","Particles",0.009,0.666,0.133,2066,2166,141.87,0.108,1.305,0.766,0.934
"122","Particles",0.0006099,0.908,0.03,3642,2241,164.554,0.027,1.092,0.916,0.979
"123","Particles",0.000359,0.899,0.023,2443,2133,150.141,0.02,1.166,0.858,0.97
"124","Particles",0.0003046,0.906,0.022,3118,2283,15.68,0.018,1.227,0.815,0.974
"125","Particles",0.0006494,0.749,0.041,4019,2201,21.114,0.021,1.973,0.507,0.973
"126","Particles",0.0003139,0.839,0.026,3188,2125,165.763,0.016,1.668,0.6,0.974
"127","Particles",0.0001851,0.927,0.016,890,1794,122.574,0.015,1.032,0.969,0.969
"128","Particles",0.001,0.832,0.05,2322,1475,138.652,0.032,1.601,0.625,0.981
"129","Particles",0.0001669,0.929,0.016,2394,1455,113.552,0.014,1.141,0.876,0.968
"130","Particles",0.000271,0.917,0.019,2329,3154,164.358,0.018,1.048,0.955,0.97
"131","Particles",0.0001759,0.909,0.016,3115,1200,143.673,0.015,1.064,0.94,0.962
"28","Particles",6.933e-05,0.907,0.011,2307,2238,165.964,0.008,1.313,0.761,0.952
"132","Particles",0.0004129,0.91,0.024,2427,2076,169.38,0.022,1.078,0.928,0.974
"133","Particles",0.006,0.71,0.097,1892,2394,147.478,0.077,1.216,0.823,0.978
"134","Particles",0.0002256,0.923,0.018,2683,2225,147.619,0.017,1.091,0.917,0.97
"135","Fragments",0.0006563,0.372,0.037,2912,1534,160.656,0.025,1.556,0.643,0.913
"29","Particles",1.406e-06,0.65,0.003,2937,1576,153.435,0.001,3.081,0.325,0.769
"33","Particles",1.828e-06,0.922,0.002,2968,1581,149.036,0.001,1.74,0.575,0.812
"41","Particles",1.266e-06,1,0.002,2975,1587,63.435,0.001,1.185,0.844,0.857
"51","Particles",1.758e-05,0.94,0.006,3892,1623,121.608,0.005,1.265,0.791,0.919
"136","Particles",0.000255,0.897,0.021,2461,2018,141.667,0.016,1.285,0.778,0.97
"137","Particles",2.841e-05,0.972,0.007,1421,2960,59.036,0.006,1.07,0.934,0.942
"210","Particles",0.0001443,0.932,0.015,1285,3547,34.509,0.013,1.083,0.923,0.967
"138","Fragments",0.005,0.586,0.121,2662,2839,83.954,0.058,2.217,0.451,0.928
"139","Particles",0.002,0.733,0.067,3199,1821,43.403,0.044,1.524,0.656,0.967
"140","Particles",0.0003741,0.92,0.023,2585,3397,37.626,0.021,1.054,0.949,0.977
"141","Fragments",0.0002936,0.431,0.026,2488,3907,17.904,0.018,1.431,0.699,0.876
"142","Particles",0.0002278,0.897,0.02,3034,3709,105.35,0.015,1.303,0.768,0.971
"143","Particles",6.595e-05,0.893,0.01,2059,2385,143.973,0.009,1.095,0.913,0.944
"144","Particles",0.0007298,0.905,0.032,2770,3852,17.592,0.03,1.077,0.929,0.98
"145","Fragments",0.0003765,0.378,0.027,2986,1554,144.744,0.02,1.313,0.761,0.894
"146","Fragments",0.002,0.316,0.1,2939,1689,49.422,0.038,2.93,0.341,0.807
"211","Particles",1.125e-06,0.914,0.002,2997,1622,116.565,0.001,1.416,0.706,0.8
"34","Particles",5.625e-07,0.857,0.001,3003,1644,108.435,0.00075,1.468,0.681,0.8
"147","Particles",0.0001495,0.912,0.015,3040,2408,162.897,0.013,1.194,0.837,0.964
"148","Particles",0.002,0.762,0.062,2264,2269,176.878,0.051,1.2,0.833,0.978
"149","Fragments",0.0004658,0.377,0.054,2882,2019,66.485,0.012,5.158,0.194,0.896
"212","Particles",0.00036,0.74,0.031,3486,1659,99.118,0.015,2.102,0.476,0.965
"150","Particles",0.0005801,0.897,0.028,3387,1610,67.203,0.027,1.004,0.996,0.974
