"","Label","Area","Circ.","Feret","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity"
"1","Particles",0.002,0.875,0.052,2157,2692,22.335,0.044,1.174,0.852,0.981
"11","Particles",0.0005723,0.756,0.036,2776,2593,169.16,0.021,1.748,0.572,0.972
"12","Particles",0.004,0.624,0.095,2279,2101,138.03,0.063,1.574,0.635,0.915
"13","Particles",0.0007726,0.872,0.036,3229,2764,11.547,0.029,1.147,0.872,0.972
"14","Fragments",0.001,0.486,0.044,2191,2734,69.102,0.032,1.387,0.721,0.928
"2","Particles",1.125e-06,0.914,0.002,2182,2710,126.87,0.001,1.939,0.516,0.842
"3","Particles",7.031e-07,0.873,0.001,2205,2737,33.69,0.001,1.496,0.668,0.714
"4","Particles",8.438e-07,0.916,0.002,2213,2737,153.435,0.00075,2.237,0.447,0.857
"15","Particles",1.266e-05,0.9,0.005,2235,1624,32.471,0.004,1.193,0.838,0.905
"16","Particles",0.0007158,0.69,0.037,2384,2592,83.53,0.027,1.407,0.711,0.957
"21","Particles",4.219e-07,1,0.001,2360,2558,135,0.00075,1.464,0.683,0.857
"17","Fragments",0.0004912,0.425,0.032,2981,1566,150.086,0.022,1.365,0.732,0.9
"22","Fragments",4.219e-07,0.524,0.002,2990,1599,135,0.0005303,4.123,0.243,0.6
"31","Particles",0.0007376,0.898,0.034,2021,3134,9.462,0.028,1.191,0.84,0.98
"18","Particles",0.0005212,0.609,0.04,2322,2436,96.399,0.018,2.386,0.419,0.953
"19","Particles",0.0003348,0.739,0.03,2698,2649,97.214,0.013,2.208,0.453,0.972
"110","Fragments",0.03,0.497,0.22,2265,2680,79.59,0.191,1.098,0.911,0.963
"23","Fragments",4.359e-06,0.526,0.004,2323,2669,161.565,0.002,1.519,0.658,0.681
"32","Particles",4.219e-07,0.967,0.001,2419,2119,161.565,0.000375,3,0.333,1
"41","Particles",9.844e-07,0.647,0.002,2075,2343,68.199,0.00075,2.731,0.366,0.824
"5","Particles",4.219e-07,0.809,0.001,2077,2436,108.435,0.000375,3,0.333,1
"6","Particles",1.125e-06,0.645,0.002,2537,2547,68.199,0.001,2.35,0.425,0.727
"7","Particles",5.625e-07,0.857,0.001,2147,2555,123.69,0.00075,2.031,0.492,0.8
"8","Particles",5.625e-07,0.857,0.001,2526,2564,56.31,0.00075,2,0.5,0.8
"9","Particles",2.672e-06,0.681,0.003,2493,2581,165.964,0.001,2.362,0.423,0.884
"10","Particles",7.031e-07,0.873,0.002,2464,2583,135,0.0008385,2.188,0.457,0.714
"111","Particles",1.547e-06,0.976,0.002,2436,2599,143.13,0.002,1.218,0.821,0.815
"121","Particles",4.219e-07,1,0.001,2191,2617,135,0.00075,1.464,0.683,0.857
"131","Particles",4.219e-07,1,0.001,2390,2629,45,0.00075,1.464,0.683,0.857
"141","Particles",4.219e-07,1,0.001,2376,2637,45,0.00075,1.464,0.683,0.857
